evidence_id,evidence_type,evidence_role,safe_relative_path,page_number,coordinate_system,scope,bytes,sha256,tool_or_method,status,review_state,continuation_cursor,caveat
SGA2-VII-PUBLIC-BUILD-001,editable_source,audited_checkpoint_tex,SGA2_Expose_VII_English_SourceAligned_Cumulative_Checkpoint.tex,,reader,Exposé VII bounded assembly,21022,223E2062D760263FC675878BC19B9F08E68BCBAA37B6825E07711F6FEBC0BAFC,SHA-256 after independent audit state update,passed_exact_hash_and_component_body_gate,independently_audited_bounded_checkpoint,French line 2501; Expose VIII begins after blank line 2499 and layout line 2500,Six apparatus-only transforms plus front-matter state wording outside component bodies
SGA2-VII-PUBLIC-BUILD-002,built_pdf,audited_checkpoint_pdf,SGA2_Expose_VII_English_SourceAligned_Cumulative_Checkpoint.pdf,,reader,Exposé VII bounded assembly,354056,F38CBDB91522FF7DE95388A99F32B6512420E3436EDE85B056BD4132589B33F9,fresh clean-directory two-pass pdfLaTeX,passed_two_pass_build_zero_final_diagnostics,independently_audited_bounded_checkpoint,French line 2501; Expose VIII begins after blank line 2499 and layout line 2500,Seven-page bounded reader; untagged and no XMP packet
SGA2-VII-PUBLIC-BUILD-003,pdf_structure,pdfinfo,build_evidence/PDFINFO.txt,,reader,audited checkpoint PDF,885,C84F8817BC699F5EE7633AB2A652006D3D3BB0A76A55D9A5E25437EBB33CB7C6,Poppler pdfinfo,passed_7_A4_pages,independently_audited_bounded_checkpoint,French line 2501; Expose VIII begins after blank line 2499 and layout line 2500,Structural evidence only
SGA2-VII-PUBLIC-BUILD-004,font_structure,pdffonts,build_evidence/PDFFONTS.txt,,reader,audited checkpoint PDF,2444,B68223FFFDEB77A7E5B2320B4538C850BEA083C29706126727FE68C2D2DBDD4B,Poppler pdffonts,passed_all_24_rows_embedded_subset_unicode,independently_audited_bounded_checkpoint,French line 2501; Expose VIII begins after blank line 2499 and layout line 2500,Structural evidence only
SGA2-VII-PUBLIC-BUILD-005,target_render,target_page_1,render_qa/target-page-1.png,1,reader_pdf_page,reader page 1,666533,2BB4CEDC89798A5DFA9E0222F31073A96E4E2080ADB29EF860B2151DA692FCFB,Poppler 300 dpi plus original-resolution inspection,passed_render_generation_and_visual_inspection,independently_audited_bounded_checkpoint,French line 2501; Expose VIII begins after blank line 2499 and layout line 2500,Target render only; no source raster
SGA2-VII-PUBLIC-BUILD-006,target_render,target_page_2,render_qa/target-page-2.png,2,reader_pdf_page,reader page 2,530763,D53A771B3194AA1E2D19BD54F026B2AE1CC1A993676E583D32CC09E11044203F,Poppler 300 dpi plus original-resolution inspection,passed_render_generation_and_visual_inspection,independently_audited_bounded_checkpoint,French line 2501; Expose VIII begins after blank line 2499 and layout line 2500,Target render only; no source raster
SGA2-VII-PUBLIC-BUILD-007,target_render,target_page_3,render_qa/target-page-3.png,3,reader_pdf_page,reader page 3,526043,364A25CBC5A7DACF4FCBAE6C0C184E5C208DDEE0A08ED8953BCA5B282D59BD90,Poppler 300 dpi plus original-resolution inspection,passed_render_generation_and_visual_inspection,independently_audited_bounded_checkpoint,French line 2501; Expose VIII begins after blank line 2499 and layout line 2500,Target render only; no source raster
SGA2-VII-PUBLIC-BUILD-008,target_render,target_page_4,render_qa/target-page-4.png,4,reader_pdf_page,reader page 4,520606,131E65FF4481733338ECE34C8AEE549FF39611940A8ED33B341283719F79051E,Poppler 300 dpi plus original-resolution inspection,passed_render_generation_and_visual_inspection,independently_audited_bounded_checkpoint,French line 2501; Expose VIII begins after blank line 2499 and layout line 2500,Target render only; no source raster
SGA2-VII-PUBLIC-BUILD-009,target_render,target_page_5,render_qa/target-page-5.png,5,reader_pdf_page,reader page 5,509884,F165376F213F149CDE0CF7E01FBD6EF973143278D3A844F1A58B331EEC1A5D9C,Poppler 300 dpi plus original-resolution inspection,passed_render_generation_and_visual_inspection,independently_audited_bounded_checkpoint,French line 2501; Expose VIII begins after blank line 2499 and layout line 2500,Target render only; no source raster
SGA2-VII-PUBLIC-BUILD-010,target_render,target_page_6,render_qa/target-page-6.png,6,reader_pdf_page,reader page 6,330073,0B49D3271ADF130C822112445C4B288C7A7D8C2F60EB381C8CB38E1A373421DB,Poppler 300 dpi plus original-resolution inspection,passed_render_generation_and_visual_inspection,independently_audited_bounded_checkpoint,French line 2501; Expose VIII begins after blank line 2499 and layout line 2500,Target render only; no source raster
