evidence_id,record_revision,supersedes,evidence_type,scope,source_locator,target_locator,status,method,result,bytes,sha256,reviewed_count,total_count,continuation_cursor,caveat
SGA2-VII-INDEP-AUDIT-001,1,,authority_and_boundary,French lines 2274-2498; blank 2499; layout 2500; cursor 2501,corrected French arXiv TeX,SGA2_Expose_VII_English_SourceAligned_Cumulative_Checkpoint.tex,passed,line-by-line authority and boundary inspection,exact scope and cursor confirmed,586789,C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042,225,225,French line 2501; Expose VIII begins after blank line 2499 and layout line 2500,Line count is inclusive source body span; blank/layout boundary checked separately
SGA2-VII-INDEP-AUDIT-002,1,,direct_pdf_source_check,physical pages 69-74; printed pages 77-83,direct French PDF,SGA2_Expose_VII_English_SourceAligned_Cumulative_Checkpoint.pdf,passed,six 300-dpi source-page renders inspected against TeX and target,page/formula/footnote source controls confirmed,1576954,41AD02C57321A8D2200FF32A929BC93ADBC3DE0D59DCD5A284D28D859FB87A90,6,6,French line 2501; Expose VIII begins after blank line 2499 and layout line 2500,Source renders are excluded from the public payload
SGA2-VII-INDEP-AUDIT-003,1,,component_artifact_hash_and_seal,components C01-C12,twelve bounded-unit evidence packages,ledgers/PUBLIC_COMPONENT_INTEGRATION.csv,passed,artifact manifest hash and independent seal revalidation,all TeX PDF seal validation and unit-hash controls agree,7141,4AFBF5D870C72BE0ACA1420AC814C976D17C16C1BAA97EFD52437C9B71A4FA85,12,12,French line 2501; Expose VIII begins after blank line 2499 and layout line 2500,Public ledger omits private locators; exact source controls remain outside payload
SGA2-VII-INDEP-AUDIT-004,1,,cumulative_integration,components C01-C12 and all seams,twelve reviewed component bodies,SGA2_Expose_VII_English_SourceAligned_Cumulative_Checkpoint.tex,passed,exact normalized-body comparison plus marker/order and heading review,no omission duplication or seam defect,21022,223E2062D760263FC675878BC19B9F08E68BCBAA37B6825E07711F6FEBC0BAFC,12,12,French line 2501; Expose VIII begins after blank line 2499 and layout line 2500,Normalization limited to documented wrapper heading-level and whitespace rules
SGA2-VII-INDEP-AUDIT-005,1,,mathematical_review,all theorem proof formula and logical transitions,corrected French TeX plus direct French PDF,SGA2_Expose_VII_English_SourceAligned_Cumulative_Checkpoint.tex,passed,independent full bounded mathematical review,no substantive mathematical defect found,4318,95889C3B3415D5B4CDDFEDEB543BC80C76A0C91F703FF10EB83A222F85B16D8E,12,12,French line 2501; Expose VIII begins after blank line 2499 and layout line 2500,Transparent repairs remain apparatus-documented
SGA2-VII-INDEP-AUDIT-006,1,,high_risk_source_controls,Z/Z-prime; M/P; Corollary 1.4; Proposition 2.1; Lemma 2.2; Proposition 2.3,French TeX and direct PDF,ledgers/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,passed,symbol formula note and logical-control comparison,all required controls present and correctly dispositioned,4318,95889C3B3415D5B4CDDFEDEB543BC80C76A0C91F703FF10EB83A222F85B16D8E,6,6,French line 2501; Expose VIII begins after blank line 2499 and layout line 2500,Unresolved source readings are not silently emended
SGA2-VII-INDEP-AUDIT-007,1,,public_projection_transform,six apparatus-only records,internal cumulative candidate,SGA2_Expose_VII_English_SourceAligned_Cumulative_Checkpoint.tex,passed,deterministic exact replacement reconstruction and component math-body comparison,exactly six ledgered apparatus transformations; zero theorem proof or mathematics change,1407,4AC76209B9292B80A31E522075F4A1F1C5A8B959CAA6ACDBF6AF520BF58B27A5,6,6,French line 2501; Expose VIII begins after blank line 2499 and layout line 2500,Front-matter state wording was separately updated outside component markers
SGA2-VII-INDEP-AUDIT-008,1,SGA2-VII-PUBLIC-BUILD-001;SGA2-VII-PUBLIC-BUILD-002,fresh_build,audited TeX and PDF,SGA2_Expose_VII_English_SourceAligned_Cumulative_Checkpoint.tex,SGA2_Expose_VII_English_SourceAligned_Cumulative_Checkpoint.pdf,passed,fresh clean-directory two-pass pdfLaTeX,zero final diagnostic matches; seven A4 pages,354056,F38CBDB91522FF7DE95388A99F32B6512420E3436EDE85B056BD4132589B33F9,2,2,French line 2501; Expose VIII begins after blank line 2499 and layout line 2500,Compile transcripts and auxiliaries excluded from public payload
SGA2-VII-INDEP-AUDIT-009,1,SGA2-VII-PUBLIC-BUILD-003;SGA2-VII-PUBLIC-BUILD-004,pdf_structure_font_text,audited seven-page PDF,SGA2_Expose_VII_English_SourceAligned_Cumulative_Checkpoint.pdf,build_evidence/PDFINFO.txt;build_evidence/PDFFONTS.txt,passed,pdfinfo pdffonts and pdftotext,structure fonts and extractable text confirmed,3329,C84F8817BC699F5EE7633AB2A652006D3D3BB0A76A55D9A5E25437EBB33CB7C6;B68223FFFDEB77A7E5B2320B4538C850BEA083C29706126727FE68C2D2DBDD4B,3,3,French line 2501; Expose VIII begins after blank line 2499 and layout line 2500,PDF remains untagged and has no XMP packet
SGA2-VII-INDEP-AUDIT-010,1,SGA2-VII-PUBLIC-BUILD-005;SGA2-VII-PUBLIC-BUILD-006;SGA2-VII-PUBLIC-BUILD-007;SGA2-VII-PUBLIC-BUILD-008;SGA2-VII-PUBLIC-BUILD-009;SGA2-VII-PUBLIC-BUILD-010;SGA2-VII-PUBLIC-BUILD-011,render_visual_qa,reader pages 1-7,SGA2_Expose_VII_English_SourceAligned_Cumulative_Checkpoint.pdf,render_qa/target-page-1.png through target-page-7.png,passed,Poppler 300 dpi and original-resolution page inspection,no clipping overlap missing formula or visual defect,3472929,,7,7,French line 2501; Expose VIII begins after blank line 2499 and layout line 2500,Target renders only
