"packet","paper","row_id","target","note","source","boundary","source_use_label_c33","boundary_c33","source_use_label_de6","boundary_de6","source_use_label_a7d","boundary_a7d","source_use_label_faa2","boundary_faa2","current_head","carryforward_head","source_use_label_faa2_support","boundary_faa2_support"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","","","","","marginal-intelligibility note; no gate promotion claim","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","marginal-intelligibility ledger carryforward","Fable routing context only"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","","","","","marginal-intelligibility note; no gate promotion claim","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","marginal-intelligibility ledger carryforward","Fable routing context only"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","","","","","marginal-intelligibility note; no gate promotion claim","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","marginal-intelligibility ledger carryforward","Fable routing context only"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","","","","","marginal-intelligibility note; no gate promotion claim","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","marginal-intelligibility ledger carryforward","Fable routing context only"
"SLAVIC_PAPER05_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper05","P05-MARG-0001","","Polje is broadly mathematical but field/body ambiguity remains.","","marginal-intelligibility note; no gate promotion claim","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","marginal-intelligibility ledger carryforward","Fable routing context only"
"SLAVIC_PAPER05_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper05","P05-MARG-0002","","Learned register helps but needs source/context note against module-basis overread.","","marginal-intelligibility note; no gate promotion claim","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","marginal-intelligibility ledger carryforward","Fable routing context only"
"SLAVIC_PAPER05_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper05","P05-MARG-0003","","Close cognate across Slavic technical registers.","","marginal-intelligibility note; no gate promotion claim","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","marginal-intelligibility ledger carryforward","Fable routing context only"
"SLAVIC_PAPER05_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper05","P05-MARG-0004","","Historical source term; keep explanation in context notes.","","marginal-intelligibility note; no gate promotion claim","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","marginal-intelligibility ledger carryforward","Fable routing context only"
"SLAVIC_PAPER05_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper05","P05-MARG-0005","","Hilbert irreducibility term requires local-language alternatives.","","marginal-intelligibility note; no gate promotion claim","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","marginal-intelligibility ledger carryforward","Fable routing context only"
"SLAVIC_PAPER18_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper18","","","","","marginal-intelligibility note; no gate promotion claim","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","marginal-intelligibility carryforward","Fable routing context only","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","marginal-intelligibility ledger carryforward","Fable routing context only"
