"metric","value","notes"
"artifact","SLAVIC_FAA2C330_SOURCE_GATED_DRAFT_SUPPORT_20260706","FAA2 source-gated draft/pretranslation/interlinear support packet"
"current_head","faa2c330deb886098750dafb5c500e244e1333fe","branch verified before artifact generation"
"draft_rows","55","source-gated pretranslation/interlinear rows"
"papers_in_draft_rows","8","paper groups"
"source_witness_rows","36","source/body witness carryforward"
"formula_context_rows","23","formula-neighboring/source-context notes"
"term_alternative_rows","68","term alternatives only"
"source_use_rows","27","Fable/source-use rows"
"adverse_rows","36","adverse/risk rows"
"branch_weight_rows","24","Fable branch-weight rows"
"marginal_intelligibility_rows","24","Fable marginal rows"
"do_not_use_normalization_rows","18","DNU/normalization rows"
"interslavic_state_c_rows","6","State C correction boundary"
"blocker_rows","4","exact blocker/recovery rows"
"completion_claim","none","generated-draft/non-canonical/source-use/gap support only"
