"packet","paper","term_de","uk_options","ru_options","isv_options","note","boundary","source_use_label_c33","boundary_c33","source_use_label_de6","boundary_de6","source_use_label_a7d","boundary_a7d","source_use_label_faa2","boundary_faa2","current_head","carryforward_head","source_use_label_faa2_support","boundary_faa2_support"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","","","","","Core domain term.","term alternatives only; no accepted terminology claim","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","term alternatives carryforward","term alternatives only; not accepted terminology"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","","","","","No completion claim; register needs review.","term alternatives only; no accepted terminology claim","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","term alternatives carryforward","term alternatives only; not accepted terminology"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","","","","","Symbolic invariant theory.","term alternatives only; no accepted terminology claim","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","term alternatives carryforward","term alternatives only; not accepted terminology"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","","","","","Draft term; must not be promoted without review.","term alternatives only; no accepted terminology claim","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","term alternatives carryforward","term alternatives only; not accepted terminology"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","","","","","Technical register retained.","term alternatives only; no accepted terminology claim","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","term alternatives carryforward","term alternatives only; not accepted terminology"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","","","","","Formula-neighboring term.","term alternatives only; no accepted terminology claim","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","term alternatives carryforward","term alternatives only; not accepted terminology"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","","","","","Avoid confusing with factorization theorem.","term alternatives only; no accepted terminology claim","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","term alternatives carryforward","term alternatives only; not accepted terminology"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","","","","","Invariant differential-operation context.","term alternatives only; no accepted terminology claim","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","term alternatives carryforward","term alternatives only; not accepted terminology"
"SLAVIC_PAPER05_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper05","rationaler Funktionenkörper","раціональне поле функцій | раціональний функціональний корпус (avoid as default)","рациональное поле функций | рациональный функциональный корпус (avoid as default)","racionalno funkcijno polje | racionalny funkcijny korpus (register-marked)","Use field/pole where mathematical field is intended; korpus only as source-register note.","term alternatives only; no accepted terminology claim","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","term alternatives carryforward","term alternatives only; not accepted terminology"
"SLAVIC_PAPER05_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper05","Zahlkörper","числове поле","числовое поле","čislovo polje","Do not paraphrase as coefficient ring.","term alternatives only; no accepted terminology claim","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","term alternatives carryforward","term alternatives only; not accepted terminology","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","term alternatives carryforward","term alternatives only; not accepted terminology"
