"packet","paper","segment_id","source_anchor","formula_neighboring_note","boundary","source_use_label_c33","boundary_c33","source_use_label_de6","boundary_de6","source_use_label_a7d","boundary_a7d","source_use_label_faa2","boundary_faa2","current_head","carryforward_head","source_use_label_faa2_support","boundary_faa2_support"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","P03-S0004","","","carried formula-neighboring usage note; generated-draft/noncanonical","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","formula-neighboring source-context carryforward","formula/source-context notes only; not translation completion"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","P03-S0005","","","carried formula-neighboring usage note; generated-draft/noncanonical","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","formula-neighboring source-context carryforward","formula/source-context notes only; not translation completion"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","P03-S0006","","","carried formula-neighboring usage note; generated-draft/noncanonical","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","formula-neighboring source-context carryforward","formula/source-context notes only; not translation completion"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","P03-S0007","","","carried formula-neighboring usage note; generated-draft/noncanonical","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","formula-neighboring source-context carryforward","formula/source-context notes only; not translation completion"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","P03-S0008","","","carried formula-neighboring usage note; generated-draft/noncanonical","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","formula-neighboring source-context carryforward","formula/source-context notes only; not translation completion"
"SLAVIC_PAPER03_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper03","P03-S0010","","","carried formula-neighboring usage note; generated-draft/noncanonical","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","formula-neighboring source-context carryforward","formula/source-context notes only; not translation completion"
"SLAVIC_PAPER05_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper05","P05-S0006","$n$ Unbestimmten","Definition of rational function field; preserve $n$ and coefficient number-field domain.","carried formula-neighboring usage note; generated-draft/noncanonical","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","formula-neighboring source-context carryforward","formula/source-context notes only; not translation completion"
"SLAVIC_PAPER05_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper05","P05-S0007","$n$ algebraisch unabhängige Funktionen","First-kind field condition and invariant-field reduction; do not collapse invariant count into variable count.","carried formula-neighboring usage note; generated-draft/noncanonical","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","formula-neighboring source-context carryforward","formula/source-context notes only; not translation completion"
"SLAVIC_PAPER05_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper05","P05-S0010","genau $n$ Funktionen","Minimal basis cardinality and algebraic independence condition.","carried formula-neighboring usage note; generated-draft/noncanonical","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","formula-neighboring source-context carryforward","formula/source-context notes only; not translation completion"
"SLAVIC_PAPER05_SOURCE_GATED_DRAFT_SUPPORT_20260706","paper05","P05-S0011","Gruppe $G$","Group-dependent parameter construction; keep $G$ literal.","carried formula-neighboring usage note; generated-draft/noncanonical","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","formula-neighboring source-context carryforward","draft support context; not translation completion","faa2c330deb886098750dafb5c500e244e1333fe","FAA2C330","formula-neighboring source-context carryforward","formula/source-context notes only; not translation completion"
