"bytes","sha256","source_use_label","path"
"596","fc0ec737899aee66f8b54eae558b06f93e074ae83b575b32952d1dab06a048d8","metadata/source-gated-audit","b3\B3_ROUTE.csv"
"5318","bb5dcae25a03ce7e09c555ee184c0b99ce72fd70ff46cc52f2421ec58c1a7de0","metadata/source-gated-audit","blockers\R6_8BE81510_SOURCE_GATED_AND_RECOVERY_BLOCKERS.csv"
"293","81d3abfa636da7b93436be758e7718fca0474a671ba429ad33a80eb881334dc1","metadata/source-gated-audit","branch-current\R6_8BE81510_BRANCH_CHECK.csv"
"3762","0d7616b7ceb5eb77d6c10be47119c0a8c3994309794893413d5a57f9a0ed991e","metadata/source-gated-audit","draft-support\R6_8BE81510_FORMULA_NEIGHBORING_INTERLINEAR_AUDIT.csv"
"5940","9339e4b3b3f41a8b58f6fc2f951b6c67cf10bb2cafc84cba34cf40fce2d921f7","metadata/source-gated-audit","draft-support\R6_8BE81510_SOURCE_GATED_DRAFT_RENDERINGS_AUDIT.csv"
"2603","fe9bbfa8ef1fecf71e5ecb983cf99edcccb3e46515c8fa933e62f5812e85d7e5","metadata/source-gated-audit","fable\R6_8BE81510_SOURCE_GATED_BRANCH_WEIGHT_ADVERSE_LEDGER.csv"
"749","67697e175e32ed21e6c76bac7bfc204612b2e80c3e78496825dc66938d5eca7f","metadata/source-gated-audit","logs\LOGBOOK_EXCERPT_20260706.md"
"581","33751180413e5ec48453ec21d64be496adf87b25adeeba967a76c620526fb9c0","metadata/source-gated-audit","R6_8BE81510_SOURCE_GATED_AUDIT_COUNTS.csv"
"1079","1aefc1d7d75060b1a529e8811fcc7784717cc8f7a857bb40f2d7b1baac29c44a","metadata/source-gated-audit","README.md"
"3737","966532dd666b094509bedd2fed56695990aa8872d0e6d7f66c79a5a17b108d09","metadata/source-gated-audit","source-use\R6_8BE81510_SOURCE_GATED_SOURCE_USE_DECISIONS.csv"
"9835","537ff45572f9231aa9b8a80a07292199b007cf2e176a43ee3d1b9dabe2ec2d24","metadata/source-gated-audit","verification\INPUT_PACKET_SHA_VERIFICATION.csv"
