row_id,language_lane,english_concept,draft_target_rendering,term_alternatives_or_scope,source_context_note,formula_neighboring_usage_note,interlinear_or_linguistic_scaffold,source_use_label,non_claim_boundary
term-ja-0010,japanese,module,加群,,"Existing queue row is ready for page-context note entry: local extraction recorded 73/73 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant.","Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: module -> 加群; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0011,japanese,simple module,単純加群,,"Existing queue row is ready for page-context note entry: local extraction recorded 1/1 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant.","Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: simple module -> 単純加群; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0012,japanese,free module,自由加群,,"Existing queue row is ready for page-context note entry: local extraction recorded 21/21 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant.","Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: free module -> 自由加群; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0013,japanese,submodule,部分加群,,"Existing queue row is ready for page-context note entry: local extraction recorded 47/47 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant.","Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: submodule -> 部分加群; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0026,japanese,Lie group,リー群,,"Existing queue row is ready for page-context note entry: local extraction recorded 3/3 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant. Use the Japanese representation exact-source retry and CJK codepoint redo as stronger supplemental evidence.","Formula-neighboring note: preserve source TeX/math notation and do not upgrade the draft term beyond the cited source context. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: Lie group -> リー群; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0027,japanese,semisimple,半単純,,"Existing queue row is ready for page-context note entry: local extraction recorded 13/13 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant. Use the Japanese representation exact-source retry and CJK codepoint redo as stronger supplemental evidence.","Formula-neighboring note: preserve source TeX/math notation and do not upgrade the draft term beyond the cited source context. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: semisimple -> 半単純; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0028,japanese,completely reducible,完全可約,,"Existing queue row is ready for page-context note entry: local extraction recorded 5/5 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant. Use the Japanese representation exact-source retry and CJK codepoint redo as stronger supplemental evidence.","Formula-neighboring note: preserve source TeX/math notation and do not upgrade the draft term beyond the cited source context. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: completely reducible -> 完全可約; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0029,japanese,character,指標,,"Existing queue row is ready for page-context note entry: local extraction recorded 3/3 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant. Use the Japanese representation exact-source retry and CJK codepoint redo as stronger supplemental evidence.","Formula-neighboring note: preserve source TeX/math notation and do not upgrade the draft term beyond the cited source context. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: character -> 指標; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0030,japanese,irreducible representation,既約表現,,"Existing queue row is ready for page-context note entry: local extraction recorded 12/12 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant. Use the Japanese representation exact-source retry and CJK codepoint redo as stronger supplemental evidence.","Formula-neighboring note: preserve source TeX/math notation and do not upgrade the draft term beyond the cited source context. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: irreducible representation -> 既約表現; alternatives/register scope:,generated-draft,draft/non-canonical support only; not native CJK source evidence
term-ja-0031,japanese,group ring/group algebra,群環／群代数,use 群環 for group ring; 群代数 for group algebra,"Existing queue row is ready for page-context note entry: local extraction recorded 3/3 exact page hits. Main witnesses are the Chinese/Japanese native math shelf, the CJK local-standard shelf, and the Japanese Papers 41-43 addendum; later representation and codepoint-redo logs strengthen representation/Noether/invariant-theory evidence where relevant. Use the Japanese representation exact-source retry and CJK codepoint redo as stronger supplemental evidence.","Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Japanese draft scaffold: group ring/group algebra -> 群環／群代数; alternatives/register scope: use 群環 for group ring; 群代数 for group algebra,generated-draft,draft/non-canonical support only; not native CJK source evidence
