correction_id	status	independent_check
C001	PASS	source title accent restored
C002	PASS	opening phrase restored
C003	PASS	de Rham abutment restored
C004	PASS	source tag 1.1.1
C005	PASS	Euler sum unrestricted
C006	PASS	paragraph 1.4 and Proposition 1.5
C007	PASS	Theorem 1.6 and Corollary 1.7
C008	PASS	page-6 statement numbering
C009	PASS	algebraization sentence source order
C010	PASS	quadratic ramified lift base
C011	PASS	source paragraph 2.1/2.3 without empty headings
C012	PASS	source-native formula labels through 2.5.2
C013	PASS	Proposition 2.2
C014	PASS	fixed-i Hom target
C015	PASS	Proposition 2.4
C016	PASS	Corollary 2.4.4
C017	PASS	Cartesian Frobenius diagram arrows
C018	PASS	degree-two divisibility locus
C019	PASS	reduced kernel formula
C020	PASS	Remarks 2.7
C021	PASS	image scope encloses reduction map
C022	PASS	degree-four Tate crystal
C023	PASS	Filtration complex begins with pO_X
C024	PASS	Proposition 2.9 source line bundle
C025	PASS	Remark 2.9.5
C026	PASS	paragraphs 2.10 and 2.11
C027	PASS	appendix heading and local joint credit
C028	PASS	cycle-class c-ell notation
C029	PASS	page-19 source structure
C030	PASS	projective lift base W
C031	PASS	logarithmic de Rham extension and dlog target
C032	PASS	four cross-pair transversality list
C033	PASS	paragraph 3.4 and rational injection only
C034	PASS	torsion-free total crystalline cohomology
C035	PASS	two separate address columns
C036	PASS	complete 16-entry bibliography and EOF
C037	PASS	source spelling Shafarevitch
C038	PASS	formal hull objects underlined
C039	PASS	Sigma and formal line bundle
C040	PASS	page-9 relative-family notation
C041	PASS	relative Frobenius underlined
C042	PASS	both source vertical arrows
C043	PASS	Mazur-Ogus relative-family notation
C044	PASS	image-operator scope
C045	PASS	formal-family Picard/Chern domain
C046	PASS	unbounded logarithm series
C047	PASS	underlined Proposition 2.9 Frobenius/J objects
C048	PASS	page-17 relative objects underlined
C049	PASS	proof of 1.6 class assignment
C050	PASS	page-18 relative Hodge spaces
C051	PASS	English has no synthetic source-address prose
C052	PASS	source emphasis at 3.1.4
C053	PASS	English bibliography heading translated
C054	PASS	extension phrase relation
C055	PASS	English source spelling retained
C056	PASS	single English bibliography heading
C057	PASS	English tensor notation
C058	PASS	degreewise inverse limit and indices
C059	PASS	H-bullet functor
C060	PASS	indexed exterior powers
C061	PASS	empty Katz-Oda citation retained
C062	PASS	source address spelling
C063	PASS	source bibliography wording and punctuation
