physical_page	source_tags	english_tags	status
1			PASS
2	1.1.1	1.1.1	PASS
3	1.3,1.4.1,1.5.0	1.3,1.4.1,1.5.0	PASS
4	1.5.1,1.5.2,1.5.3,1.5.4	1.5.1,1.5.2,1.5.3,1.5.4	PASS
5			PASS
6			PASS
7	2.1.1,2.1.2	2.1.1,2.1.2	PASS
8	2.1.3,2.3.1	2.1.3,2.3.1	PASS
9	2.3.0,2.3.2,2.3.2.1,2.3.3,2.3.4,2.3.5,2.3.6	2.3.0,2.3.2,2.3.2.1,2.3.3,2.3.4,2.3.5,2.3.6	PASS
10	2.3.7,2.3.8,2.3.9,2.3.10,2.3.11,2.3.12	2.3.7,2.3.8,2.3.9,2.3.10,2.3.11,2.3.12	PASS
11	2.3.13,2.3.14,2.4.1,2.4.2	2.3.13,2.3.14,2.4.1,2.4.2	PASS
12	2.4.3,2.5.1,2.5.2	2.4.3,2.5.1,2.5.2	PASS
13	2.5.3,2.5.4,2.6.1	2.5.3,2.5.4,2.6.1	PASS
14	2.6.2,2.6.3,2.7.1	2.6.2,2.6.3,2.7.1	PASS
15	2.8.1,2.8.2,2.8.3,2.8.4,2.8.5	2.8.1,2.8.2,2.8.3,2.8.4,2.8.5	PASS
16	2.8.6,2.9.1,2.9.2,2.9.3,2.9.4	2.8.6,2.9.1,2.9.2,2.9.3,2.9.4	PASS
17	2.10.1	2.10.1	PASS
18	3.1.1	3.1.1	PASS
19	3.1.2,3.1.3,3.1.4,3.2.1,3.2.2,3.2.3.1	3.1.2,3.1.3,3.1.4,3.2.1,3.2.2,3.2.3.1	PASS
20			PASS
21	3.4.1,3.4.2	3.4.1,3.4.2	PASS
22			PASS
