"decision_id","evidence_class","authority_role","unit_id","source_term_or_delta","source_locator","target_locator","chosen_english_or_action","normalization_class","adverse_delta","rejected_alternative","motivation","status","confidence","record_revision","continuation_cursor","revisit_condition"
"SGA2-VIII-C22-TERM-001","terminology","corrected_french_tex","SGA2-VIII-C22-STM","Corollaire 2.2","French line2662","corollary heading","Corollary 2.2","source_numbering_register","none","unnumbered Corollary","visible numbering and label are structural source data","applied_self_reviewed","high","1","French source line2670 after blank line2669","independent numbering review"
"SGA2-VIII-C22-TERM-002","terminology","corrected_french_tex","SGA2-VIII-C22-STM","sous les hypotheses du theoreme precedent","French line2663","opening sentence","under the hypotheses of the preceding theorem","source_close_theorem_register","none","assuming the previous result","preserve exact dependency on hypotheses rather than conclusion","applied_self_reviewed","high","1","French source line2670 after blank line2669","SGA-wide theorem register revision"
"SGA2-VIII-C22-TERM-003","terminology","corrected_french_tex","SGA2-VIII-C22-STM","est equivalente a","French line2663","opening sentence","is equivalent to","standard_logic_register","none","implies","source asserts biconditional equivalence","applied_self_reviewed","high","1","French source line2670 after blank line2669","authority replacement"
"SGA2-VIII-C22-TERM-004","note_register","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-C22-NDE3","N.D.E.","French line2664 and physical79 note3","marked footnote3","Editor's note","established_lane_editor_note_register","abbreviation is expanded in English","translator's note","the note belongs to the French editor rather than this translation","applied_self_reviewed","high","1","French source line2670 after blank line2669","SGA-wide note-label revision"
"SGA2-VIII-C22-TERM-005","terminology","corrected_french_tex","SGA2-VIII-C22-NDE3","stricto sensu","French line2664","editor note opening","strictly speaking","source_close_editorial_register","none","in fact","preserve the source's qualification strength","applied_self_reviewed","high","1","French source line2670 after blank line2669","editorial register revision"
"SGA2-VIII-C22-TERM-006","terminology","corrected_french_tex","SGA2-VIII-C22-RED","ouverts immergeables dans des schemas reguliers","French line2664","editor note reduction","open subsets embeddable in regular schemes","cross_unit_geometric_register","possible distinction between immersion and embedding","opens immersible in regular schemes","align with directly source-checked Theorem2.1 terminology","applied_self_reviewed","medium_high","1","French source line2670 after blank line2669","manager immersion-policy conflict"
"SGA2-VIII-C22-TERM-007","terminology","corrected_french_tex","SGA2-VIII-C22-RED","dimension projective finie","French line2664","editor note reduction","finite projective dimension","standard_homological_register","none","finite-dimensional projective module","preserve the homological invariant","applied_self_reviewed","high","1","French source line2670 after blank line2669","SGA-wide homological register revision"
"SGA2-VIII-C22-TERM-008","normalization_choice","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-C22-DUAL","la question d)","French line2664 and physical79 note3","dual implication chain","condition d)","contextual_editorial_normalization","literal source says question d)","question d)","the referenced item is a labeled condition and the candidate independently suggests the same idiomatic reading but is not authority","applied_disclosed_self_reviewed","medium_high","1","French source line2670 after blank line2669","independent source/editorial review"
"SGA2-VIII-C22-TERM-009","reference_policy","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-C22-DUAL","infra and suivant 2.4","French line2664 and physical79 note3","end of editor note","see below; see the discussion following 2.4","source_cross_reference_preservation","none","omit both references","the pointers constrain where the proof supplies the non-tautological implication","applied_self_reviewed","high","1","French source line2670 after blank line2669","cumulative cross-reference validation"
"SGA2-VIII-C22-TERM-010","comparison_rejection","comparison_only_not_authority","SGA2-VIII-C22-CAND","candidate Corollary heading and F notation","jcreinhold ii08 lines286-292","heading and condition c","retain visible 2.2 and calligraphic F","adverse_candidate_delta","candidate drops number and uses plain F","follow candidate layout and notation","source structure and corrected branch control both choices","rejected_after_source_check","high","1","French source line2670 after blank line2669","candidate revision with source evidence"
"SGA2-VIII-C22-TERM-011","independent_normalization_review","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-C22-IND-NOTE","la question d)","French line2664 physical79 plus later lines2733 and2759","editor note prime-condition chain","condition d)","transparent_contextual_source_correction","literal source says question d) while later source explicitly introduces condition d)","question d)","later same-authority context identifies d) as a condition and supplies the exact c-prime-to-d-to-a-prime logic; the correction remains disclosed","independently_accepted_disclosed","high","2","French source line2670 after blank line2669","authority replacement or editorial policy change"
"SGA2-VIII-C22-TERM-012","independent_register_review","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-C22-IND-NOTE","ouverts immergeables dans des schemas reguliers","French line2664 physical79","editor note reduction","open subsets embeddable in regular schemes","cross_unit_geometric_register","possible immersion-versus-embedding nuance remains logged","opens immersible in regular schemes","the current wording matches the preceding source-checked theorem unit and preserves the existence of an embedding","independently_accepted","medium_high","2","French source line2670 after blank line2669","manager immersion-policy conflict"
"SGA2-VIII-C22-TERM-013","independent_notation_review","corrected_french_tex_plus_direct_compiled_pdf","SGA2-VIII-C22-IND-FORM","H superscript i-minus1 of calligraphic F subscript x","French lines2665-2668 physical79","condition c formula","retain H^{i-1}(mathcal F_x)=0","source_notation_preservation","none","plain F global sheaf or exponent i-plus1","the source uses the stalk subscript calligraphic sheaf symbol exponent i-minus1 and equality zero","independently_accepted","high","1","French source line2670 after blank line2669","artifact mutation or authority replacement"
