"current_frontier","fact","value","boundary"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","verified_live_frontier","2c2df6b09c48aa13b0341219929ae89ff3d5fe33","read-only branch/frontier verification"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","paths_5838_to_live","87","route/package context classification"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","paths_61f_to_live","211","route/package context classification"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","direct_r7_keyword_paths_5838_to_live","0","no direct R7 source-body trigger"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","direct_r7_literal_source_body_hits_5838_to_live","0","no direct R7 source-body evidence"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","direct_r7_source_body_promotions","0","promotion remains zero"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","exact_blockers_carried_forward","8","blocker rows routed"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","comparator_only_rows","4","comparator-only is not translation evidence"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","prior_packet_sha_ok","13","prior R7 packet replay evidence"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","prior_packet_sha_nonok","0","prior R7 packet replay evidence"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","r7_manifest_bad","0","local packet replay by coordinator"
