"current_frontier","packet_label","file","csv_rows_excluding_header","boundary"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","r7_2c2_current_frontier_return","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\R7_2C2DF6B0_CURRENT_FRONTIER_AFTER_5838_ROUTE_SOURCE_USE_GAP_20260707\MANIFEST.csv","13","R7 child rows routed as source-use/gap/Fable/adverse or blockers"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","r7_2c2_current_frontier_return","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\R7_2C2DF6B0_CURRENT_FRONTIER_AFTER_5838_ROUTE_SOURCE_USE_GAP_20260707\R7_2C2_B3_HANDOFF_BOUNDARY_ROWS.csv","5","R7 child rows routed as source-use/gap/Fable/adverse or blockers"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","r7_2c2_current_frontier_return","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\R7_2C2DF6B0_CURRENT_FRONTIER_AFTER_5838_ROUTE_SOURCE_USE_GAP_20260707\R7_2C2_BRANCH_COMMIT_SPAN_ROWS.csv","6","R7 child rows routed as source-use/gap/Fable/adverse or blockers"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","r7_2c2_current_frontier_return","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\R7_2C2DF6B0_CURRENT_FRONTIER_AFTER_5838_ROUTE_SOURCE_USE_GAP_20260707\R7_2C2_BRANCH_DELTA_CLASS_SUMMARY.csv","12","R7 child rows routed as source-use/gap/Fable/adverse or blockers"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","r7_2c2_current_frontier_return","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\R7_2C2DF6B0_CURRENT_FRONTIER_AFTER_5838_ROUTE_SOURCE_USE_GAP_20260707\R7_2C2_BRANCH_DELTA_PATH_LEDGER.csv","298","R7 child rows routed as source-use/gap/Fable/adverse or blockers"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","r7_2c2_current_frontier_return","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\R7_2C2DF6B0_CURRENT_FRONTIER_AFTER_5838_ROUTE_SOURCE_USE_GAP_20260707\R7_2C2_COMPARATOR_ONLY_CARRYFORWARD_ROWS.csv","4","R7 child rows routed as source-use/gap/Fable/adverse or blockers"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","r7_2c2_current_frontier_return","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\R7_2C2DF6B0_CURRENT_FRONTIER_AFTER_5838_ROUTE_SOURCE_USE_GAP_20260707\R7_2C2_EXACT_BLOCKER_CARRYFORWARD_ROWS.csv","8","R7 child rows routed as source-use/gap/Fable/adverse or blockers"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","r7_2c2_current_frontier_return","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\R7_2C2DF6B0_CURRENT_FRONTIER_AFTER_5838_ROUTE_SOURCE_USE_GAP_20260707\R7_2C2_FRONTIER_STATUS_ROWS.csv","7","R7 child rows routed as source-use/gap/Fable/adverse or blockers"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","r7_2c2_current_frontier_return","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\R7_2C2DF6B0_CURRENT_FRONTIER_AFTER_5838_ROUTE_SOURCE_USE_GAP_20260707\R7_2C2_PRIOR_61F_PACKET_SHA_REVERIFY_ROWS.csv","13","R7 child rows routed as source-use/gap/Fable/adverse or blockers"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","r7_2c2_current_frontier_return","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\R7_2C2DF6B0_CURRENT_FRONTIER_AFTER_5838_ROUTE_SOURCE_USE_GAP_20260707\R7_2C2_SOURCE_USE_GAP_FABLE_ADVERSE_ROWS.csv","5","R7 child rows routed as source-use/gap/Fable/adverse or blockers"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","r7_2c2_current_frontier_return","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\R7_2C2DF6B0_CURRENT_FRONTIER_AFTER_5838_ROUTE_SOURCE_USE_GAP_20260707\R7_2C2_VERIFICATION_ROWS.csv","5","R7 child rows routed as source-use/gap/Fable/adverse or blockers"
