row_id,surface,risk,kind,replacement_hint,source_file,line,context,apply_action,citation_form,current_lemma,warning
entirely,Vpolně,sanctioned_doublet_record,doublet,sovsěm/vpolně/popolno all sanctioned; no global replace,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,86,"\item[\S\,5.] Vpolně reducibilne predstavjenja --- polno reducibilne moduly",record_sanctioned_doublet_no_global_replace,sȯvsěm,sovsěm,popolno is dict-sanctioned; v4 scatter note amended
reg-dopuščati,dozvolja,deferred_no_apply,deferred,deferred; allow/admit variant scatter,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,139,dozvolja obhvatiti rezultaty oběh oblasti pod jednym sjedinenym pogledom i,deferred_no_apply,,,deferred
power-exponent,stepena,deferred_no_apply,deferred,deferred; power/exponent variant scatter,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,152,\emph{Direktno predstavjenje} $n$-togo stepena od $\cO$ v tělě $\KK$ jest,deferred_no_apply,,,deferred
series-sequence-red,reda,human_review_only,high_divergence,human review: high-divergence series/row/order; mandatory gloss,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,153,homomorfizm od $\cO$ v kolco $\KK_n$ kvadratnyh matric $n$-togo reda s elementami,human_review_before_any_apply,ręd (with mandatory 4-branch gloss block),ręd,HIGH-DIVERGENCE ROW: no pan lexeme (F12c); ред(S/E)=order homograph; final texts should gloss on first use per paper; strongest candidate for reviewer sign-off
holds-is-valid,važi,human_review_only,register_extension,human review: register-extension holds/valid,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,155,"$A(a) \in \KK_n$, i važi:",human_review_before_any_apply,važiti (REGISTER EXTENSION),važi,REGISTER-EXTENSION row: document explicitly that math sense extends dict sense; candidate for reviewer question
power-exponent,stepena,deferred_no_apply,deferred,deferred; power/exponent variant scatter,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,160,\emph{Recipročno predstavjenje} $n$-togo stepena od $\cO$ v $\KK$ jest podkolco,deferred_no_apply,,,deferred
power-exponent,stepena,deferred_no_apply,deferred,deferred; power/exponent variant scatter,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,161,"$\cD^*$ kolca $\KK_n^*$ matric $n$-togo stepena s elementami iz $\KK$, na ktoro",deferred_no_apply,,,deferred
remain-ostati,obstaje,context_check_only,sense_split,context-check: remain vs exist; no automatic rewrite,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,169,"\emph{ekvivalentnymi}, ako obstaje jedna fiksna regularna matrica $T \in \KK_n$",prepare_candidate_rewrites_after_review,ostati / ostavati,ostati,keep nastal/nastalo OUT (nastati=arise — fixed in v2.4)
corresponds,sootvětny,candidate_after_review,lexeme_switch,odpovědati-family; rehead lemma; manual inflection,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,200,"\item Dva predstavjenja sut ekvivalentne točno togda, kogda sootvětny moduly",prepare_candidate_rewrites_after_review,odpovědati,sootvětstvovati,lexicon group lemma should be re-headed to odpovědati
entirely,Vpolně,sanctioned_doublet_record,doublet,sovsěm/vpolně/popolno all sanctioned; no global replace,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,204,"\subsection*{\S\,5. Vpolně reducibilne predstavjenja --- polno reducibilne moduly}",record_sanctioned_doublet_no_global_replace,sȯvsěm,sovsěm,popolno is dict-sanctioned; v4 scatter note amended
corresponds,sootvětny,candidate_after_review,lexeme_switch,odpovědati-family; rehead lemma; manual inflection,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,206,"Predstavjenje nazyva se \emph{vpolně reducibilnym}, ako sootvětny modul",prepare_candidate_rewrites_after_review,odpovědati,sootvětstvovati,lexicon group lemma should be re-headed to odpovědati
entirely,vpolně,sanctioned_doublet_record,doublet,sovsěm/vpolně/popolno all sanctioned; no global replace,germanOut/renders/endmatter/post44/source-fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex,206,"Predstavjenje nazyva se \emph{vpolně reducibilnym}, ako sootvětny modul",record_sanctioned_doublet_no_global_replace,sȯvsěm,sovsěm,popolno is dict-sanctioned; v4 scatter note amended
