row_id,apply_action,risk,kind,citation_form,current_lemma,confidence,occurrences,files,surface_counts,candidate_normalizations,replacement_hint,warning,branch_evidence
corresponds,prepare_candidate_rewrites_after_review,candidate_after_review,lexeme_switch,odpovědati,sootvětstvovati,high,737,162,sootvětně:94; sootvětuje:94; sootvětny:83; sootvětno:74; sootvětnost:36; sootvětnogo:31; sootvětujut:28; sootvětnyh:24; sootvětne:24; sootvětnymi:22; sootvětnu:14; sootvětnujut:14,sootvet*/sootvęt* -> odpovědati family in prose; group lemma changes sootvětstvovati->odpovědati,odpovědati-family; rehead lemma; manual inflection,lexicon group lemma should be re-headed to odpovědati,odpovídá W111/S0; odgovara S30; sootvetstv E+bg5
reg-odnovrěmenno,prepare_candidate_rewrites_after_review,candidate_after_review,lexeme_switch_high_value,jednočasno,odnovrěmenno,high,151,62,odnovrěmenno:115; istočasno:20; odnovočasno:11; odnovremenno:5,odnovrěmenno/odnovremenno (E-flavored) -> jednočasno; istočasno -> jednočasno with S-alias note; odnovočasno hybrid -> jednočasno,jednočasno; high-value W+S switch; manual review,HIGH-VALUE SWITCH: corpus-dominant odnovrěmenno is the E-outlier; dict jednočasno buys W+S simultaneously (both branches use čas-root) — cleanest win in the whole R1 set,odnovremen E-only; istočas/istovrem S33; současně/jednocześnie W60
reg-obći,prepare_candidate_rewrites_after_review,candidate_after_review,orthography_flavor,obći / obće (adv),obći,high,132,68,vobče:33; obščem:16; obščejše:16; voobče:14; obščnosti:11; obščih:10; obščej:6; obščejših:5; obščejšem:4; obščim:3; obščejšoj:2; obščejšim:2,voobče/vobče (E-flavored) -> obće; obšč* (E-orthography) -> obć* in prose,obće / obć*-family; orthography/flavor normalization,"root is pan (ob-ьt-j-); scatter is orthography+flavoring, not lexeme choice; sl splošen = only true competitor, gloss it",obecn W86; splošn sl82; opći S33
length,prepare_candidate_rewrites_after_review,candidate_after_review,orthography,dȯlgosť (co-sanctioned: dȯlžina),dlugost,high,62,14,dlugosti:32; dlugost:26; dlugostju:2; dlugostij:2,dlugost -> dolgost orthography,dolgost/dȯlgosť; orthographic normalization,two sanctioned forms; corpus dlugost = pl-flavored spelling of dolgost,dług pl; délka cs; dolžin/duljin S
step,prepare_candidate_rewrites_after_review,candidate_after_review,lexeme_switch,krok,korak,high,57,31,korakah:24; korakov:8; korak:8; koraka:6; korakih:4; koraku:3; korakom:2; koraky:2,korak* -> krok* in final prose,krok-family; morphology must be inflected by reviewer/Codex,,krok W-only(v1) korak S-only; be крок family
take-vzeti,prepare_candidate_rewrites_after_review,candidate_after_review,orthography,vzęti,vzęti,high,55,40,vzeti:37; vzeto:6; vzetogo:5; vzetomu:4; vzetih:3,vzeti/vzeto -> vzęti/vzęto (nasal); uzet* kept as S-alias,vzęti/vzęto; nasal orthography,,vzít/wziąć W; uzeti S; vzeti sl
reg-imenno,prepare_candidate_rewrites_after_review,candidate_after_review,branch_flavor,imenno,imenno,high,38,32,naime:16; namreč:16; totiž:6,"namreč/naime -> imenno in prose with S-gloss; totiž (W-leak, live F12b) -> imenno with W-gloss",imenno plus mandatory W/S gloss; manual,F12b poster child: imenno has ZERO W/S presence — the register documentation MUST carry totiž/mianowicie/naime or W+S readers lose the connective,imenno E-only(be2); namreč/naime S189; totiž W9
reg-pytanje,prepare_candidate_rewrites_after_review,candidate_after_review,slovenian_leak,pytańje,pytanje,high,34,10,vprašanje:16; vprašanja:8; vprašanjah:3; vprašanjom:2; vprašanjam:2; vprašanju:2; vprašanj:1,"vprašanj* -> pytanje in prose (sl-leak), keep as alias",pytanje/pytańje-family; manual inflection,,otázka W; pytanie pl; pitanje/vprašanje S; вопрос E
follows-from,prepare_candidate_rewrites_after_review,candidate_after_review,branch_flavor,slědovati (slěduje iz),slěduje,high,32,6,slijedi:30; sledimo:2,slijedi/sledi -> slěduje orthography; vyplyva (W-leak) -> slěduje with W-gloss in register doc,"slěduje/slědovati-family, but keep W gloss; manual",,sled S+E pan; vyplýv/wynika W-only
type,prepare_candidate_rewrites_after_review,candidate_after_review,orthography,tip,tip,high,0,0,,typ -> tip in prose (zero W-cost: same word),tip-family; zero W-cost same lexeme,,typ W81; tip S23+E
