book_page,source_pdf_page,png
348,366,../img/p348_src366.png
349,367,../img/p349_src367.png
350,368,../img/p350_src368.png
351,369,../img/p351_src369.png
352,370,../img/p352_src370.png
353,371,../img/p353_src371.png
354,372,../img/p354_src372.png
355,373,../img/p355_src373.png
356,374,../img/p356_src374.png
357,375,../img/p357_src375.png
358,376,../img/p358_src376.png
359,377,../img/p359_src377.png
360,378,../img/p360_src378.png
361,379,../img/p361_src379.png
362,380,../img/p362_src380.png
363,381,../img/p363_src381.png
364,382,../img/p364_src382.png
365,383,../img/p365_src383.png
366,384,../img/p366_src384.png
367,385,../img/p367_src385.png
368,386,../img/p368_src386.png
369,387,../img/p369_src387.png
370,388,../img/p370_src388.png
371,389,../img/p371_src389.png
372,390,../img/p372_src390.png
373,391,../img/p373_src391.png
374,392,../img/p374_src392.png
375,393,../img/p375_src393.png
376,394,../img/p376_src394.png
377,395,../img/p377_src395.png
