priority,lane,target,local_status,source_type,source_or_id,action
P0,PDE/control,"Zuazua, Exact Controllability and Stabilization of the Wave Equation",PDF good; 129 pp; already in packet,arXiv TeX source likely available; arXiv HTML exists,arXiv:2402.17894,Fetch e-print source tarball first; use as first true TeX translation target.
P0,signal/Fourier,"Osgood, The Fourier Transform and its Applications",PDF text extraction good,Stanford PDF/SEE course materials; no public TeX source found in quick search,Stanford SEE EE261 PDF/course page,Use pdftotext/Mathpix-style extraction or manual TeX reconstruction; OCR not a blocker.
P0,state estimation,"Labbe, Kalman and Bayesian Filters in Python",not in packet,GitHub Jupyter-book source; PDF template includes LaTeX conversion route,rlabbe/Kalman-and-Bayesian-Filters-in-Python,"Use as fast Ukrainian training text for Kalman/Bayesian filtering; translate notebooks/Markdown, not TeX."
P0,state estimation/robotics,"Barfoot, State Estimation for Robotics, 2nd ed draft",not in packet; web PDF found,author PDF draft; no public TeX found,Barfoot author draft PDF,Use as reference; do not assume redistribution rights. Extract PDF text if needed.
P0,state estimation/robotics,"Solà–Deray–Atchuthan, A micro Lie theory for state estimation in robotics",not in packet,arXiv TeX/source candidate,arXiv:1812.01537,Fetch e-print source; excellent compact replacement/supplement for Lie groups in SLAM/VIO.
P1,robotics/autonomy,Introduction to Autonomous Robots,not in packet,GitHub LaTeX source; book.tex and chapter .tex files; CC BY-NC-ND,Introduction-to-Autonomous-Robots/Introduction-to-Autonomous-Robots,"High-value LaTeX-ready robotics source: kinematics, sensors, localization, path planning, SLAM."
P1,robotics/control,"Tedrake, Underactuated Robotics",not in packet,GitHub/source-backed course text; not plain book LaTeX,RussTedrake/underactuated,Use for source-backed control/robotics modules; check license and format before translation.
P1,robot motion planning,"LaValle, Planning Algorithms",PDF text extraction good in ukies2 book.pdf,official free PDF/HTML chapter PDFs; no public TeX source found,lavalle.pl/planning,"Use PDF extraction. For TeX-ready alternatives, use arXiv planning papers and open robotics texts."
P1,motion planning/recent papers,Universal Plans: One Action Sequence to Solve Them All,not in packet,arXiv TeX/source candidate,arXiv:2407.02090,Useful recent planning theory supplement; not a core textbook.
P1,motion planning/recent papers,Graph-based Path Planning with Dynamic Obstacle Predictions,not in packet,arXiv HTML/source candidate,arXiv:2504.12616,Recent path-planning supplement; translate only non-operational planning math.
P1,motion planning/recent papers,BIT*: Sampling-based Optimal Planning via Implicit Random Geometric Graphs,not in packet,arXiv source candidate,arXiv:1405.5848,Good algorithmic planning paper; translate as selected module if planning lane starts.
P1,computer vision,"Szeliski, Computer Vision: Algorithms and Applications",PDF text extraction good in ukies1,official PDF via author site; no public LaTeX source found,szeliski.org/Book,Use local/existing PDF extraction; source not a blocker.
P1,computer vision/multiview,"Hartley–Zisserman, Multiple View Geometry",PDF text extraction good in ukies2,publisher/PDF; no public TeX source found,VGG code exists; book source not found,"Use PDF extraction and VGG code as support, not a source-text replacement."
