source,path,pages,sample_pages,chars_sample,chars_per_page,status,errors
packet,packet/selected_working_sources/01 The Fourier Transform and its Applications.pdf,428,26,54035,2078.3,GOOD digital/OCR text extraction,
packet,packet/selected_working_sources/02 Exact Controllability and Stabilization of the Wave Equation.pdf,129,26,47710,1835.0,GOOD digital/OCR text extraction,
packet,packet/selected_working_sources/03 Algorithms for Optimization.pdf,621,26,36973,1422.0,"USABLE extraction, verify math/layout",
packet,packet/selected_working_sources/04 The Princeton Companion to Applied Mathematics.pdf,1032,26,81629,3139.6,GOOD digital/OCR text extraction,
packet,packet/selected_working_sources/05 Princeton Lectures in Analysis Volumes I IV.pdf,1589,26,32804,1261.7,"USABLE extraction, verify math/layout",
packet,packet/selected_working_sources/06 High Dimensional Statistics A Non Asymptotic Viewpoint.pdf,571,26,50010,1923.5,GOOD digital/OCR text extraction,
packet,packet/selected_working_sources/07 Spectral and Algebraic Graph Theory.pdf,400,26,41756,1606.0,GOOD digital/OCR text extraction,
packet,packet/selected_working_sources/08 Lattice Rules Numerical Integration Approximation and Discrepancy.pdf,584,26,51284,1972.5,GOOD digital/OCR text extraction,
packet,packet/selected_working_sources/09 Continuous Parameter Markov Processes and Stochastic Differential Equations.pdf,502,26,72561,2790.8,GOOD digital/OCR text extraction,
packet,packet/selected_working_sources/10 Foundations of Data Science.pdf,486,26,61472,2364.3,GOOD digital/OCR text extraction,
packet,packet/selected_working_sources/11 Partial Differential Equations Modeling Analysis and Numerical Approximation.pdf,403,26,48705,1873.3,GOOD digital/OCR text extraction,
packet,packet/selected_working_sources/12 Spectral and Spectral Element Methods for Fractional Ordinary and Partial Differential Equ.pdf,740,26,49110,1888.8,GOOD digital/OCR text extraction,
packet,packet/selected_working_sources/13 Linear Systems Signal Processing and Hypercomplex Analysis.pdf,320,26,43847,1686.4,GOOD digital/OCR text extraction,
packet,packet/selected_working_sources/14 Semirings Automata Languages Linear Algebra.pdf,99,26,45423,1747.0,GOOD digital/OCR text extraction,
packet,packet/selected_working_sources/15 Handbook of Weighted Automata.pdf,610,26,43510,1673.5,GOOD digital/OCR text extraction,
packet,packet/selected_working_sources/16 Encyclopedia of Mathematical Physics 2006.pdf,3324,26,89023,3424.0,GOOD digital/OCR text extraction,
ukies1,"ukies1/ukies/Optimal state estimation Kalman, H [infinity] and nonlinear approache.pdf",529,26,46992,1807.4,GOOD digital/OCR text extraction,
ukies1,"ukies1/ukies/Proakis J., Salehi M. Digital Communications.djvu",,0,0,0.0,DJVU: local text not audited; needs djvutxt/OCR or replacement source,
ukies1,ukies1/ukies/Ross Sheldon M. Introduction to Probability Models. Studen's Manual.pdf,859,26,46441,1786.2,GOOD digital/OCR text extraction,
ukies1,"ukies1/ukies/Samuel Blackman, Robert Popoli. Design and Analysis of Modern Tracking Systems.pdf",2517,26,1,0.0,"POOR/none; scan or malformed text, needs OCR or source replacement",
ukies1,ukies1/ukies/Small Unmanned Aircraft Theory and Practice (Randal W. Beard  Timothy W. McLain).pdf,317,26,38261,1471.6,"USABLE extraction, verify math/layout",
ukies1,"ukies1/ukies/Software Defined Radio using MATLAB  Simulink and the RTL-SDR (Robert Stewart , Kenneth Barlee etc.).pdf",674,26,42425,1631.7,GOOD digital/OCR text extraction,
ukies1,"ukies1/ukies/Strapdown Inertial Navigation Technology (Titterton, David H. Weston, John L.).pdf",462,26,37636,1447.5,"USABLE extraction, verify math/layout",
ukies1,ukies1/ukies/Szeliski Richard. Computer Vision Algorithms and Applications.pdf,979,26,41588,1599.5,GOOD digital/OCR text extraction,
ukies1,ukies1/ukies/Understanding Digital Signal Processing (RICHARD G.LYONS).pdf,270,26,1,0.0,"POOR/none; scan or malformed text, needs OCR or source replacement",
ukies1,ukies1/ukies/Understanding Digital Signal Processing with MATLAB® and Solutions..pdf,472,26,52882,2033.9,GOOD digital/OCR text extraction,
ukies1,ukies1/ukies/Zarchan P. Tactical and Strategic Missile Guidance.pdf,1095,26,40901,1573.1,GOOD digital/OCR text extraction,
ukies2,"ukies2/Aircraft control and simulation  dynamics, controls design, and autonomous systems (Brian L. Stevens, Frank L. Lewis etc.).pdf",764,26,31868,1225.7,"USABLE extraction, verify math/layout",
ukies2,ukies2/Antenna Theory Analysis and Design (Constantine A. Balanis).pdf,1095,26,49511,1904.3,GOOD digital/OCR text extraction,
ukies2,ukies2/DeBerg_-_Computational_Geometry_-_Algorithms_and_Applications_2e.pdf,388,26,43531,1674.3,GOOD digital/OCR text extraction,
ukies2,"ukies2/Frederick S. Hillier & Gerald J. Lieberman, Introduction to Operations Research.pdf",1240,26,69553,2675.1,GOOD digital/OCR text extraction,
ukies2,"ukies2/Handbook of Multisensor Data Fusion Theory and Practice (Martin E. Liggins, David L. Hall etc.).pdf",872,26,47633,1832.0,GOOD digital/OCR text extraction,
ukies2,"ukies2/Introduction to Probability Models (Sheldon M. Ross) (z-library.sk, 1lib.sk, z-lib.sk).pdf",816,26,37507,1442.6,"USABLE extraction, verify math/layout",
ukies2,ukies2/Liapunov Functions and Stability in Control Theory.pdf,245,26,38629,1485.7,"USABLE extraction, verify math/layout",
ukies2,"ukies2/Mathematical Techniques in Multisensor Data Fusion, Second Edition (David L. Hall, Sonya A.H. McMullen) (.pdf",458,26,33272,1279.7,"USABLE extraction, verify math/layout",
ukies2,ukies2/Microwave Engineering (David M. Poza.pdf,756,26,38570,1483.5,"USABLE extraction, verify math/layout",
ukies2,ukies2/Modern Exterior Ballistics (Robert L. McCoy.pdf,326,26,1,0.0,"POOR/none; scan or malformed text, needs OCR or source replacement",
ukies2,"ukies2/Multiple View Geometry in Computer Vision (Richard Hartley, Andrew Zisserman).pdf",673,26,51271,1972.0,GOOD digital/OCR text extraction,
ukies2,ukies2/book.pdf,512,26,100337,3859.1,GOOD digital/OCR text extraction,
ukies2,ukies2/goodfellow_ian_bengio_yoshua_courville_aaron_deep_learning_b.djvu,,0,0,0.0,DJVU: local text not audited; needs djvutxt/OCR or replacement source,
