visual_id,work,expose,parent_scan_title,parent_pdf_sha256,parent_pdf_pages,parent_pdf_index_0based,physical_pdf_page_1based,book_folio,bbox_fx0,bbox_fy0,bbox_fx1,bbox_fy1,render_dpi,width_px,height_px,color_mode,bytes,sha256,original_filename,archive_member,linked_tex_file,qa_disposition,source_check_purpose,read_count,first_read_timestamp_utc,last_read_timestamp_utc,prior_visual_id,publication_disposition
SGA7-LEAD-001,SGA7I,I,SGA 7 I public scan,9CD40FF06EB1E488AF385A56899D4F492492A06A1E2E3C0ED6876B82E3E3603F,540,12,13,1,,,,,2000,1982,3050,L,439673,0F2DDFDEC06FE764291578BBDFB2A38837B94C9E3EA71E437EBDEB7372959DD6,p12.png,images/SGA7I_p12.png,expose_I_body.tex,lead_opened_source_evidence,opened_in_source_audit_session,1,2026-07-30T10:51:24.580Z,2026-07-30T10:51:24.580Z,SGA7I-VIS-00877,public_actual_pixel_deduplicated
SGA7-LEAD-002,SGA7I,I,SGA 7 I public scan,9CD40FF06EB1E488AF385A56899D4F492492A06A1E2E3C0ED6876B82E3E3603F,540,15,16,4,,,,,,1958,3050,L,487055,B650F759C8A8A075A9886D05A3E428B487D3A6582AAE924F3B66905B135F45C0,p15.png,images/SGA7I_p15.png,expose_I_body.tex,lead_opened_source_evidence,opened_in_source_audit_session,1,2026-07-30T10:33:42.636Z,2026-07-30T10:33:42.636Z,SGA7I-VIS-10458,public_actual_pixel_deduplicated
SGA7-LEAD-003,SGA7I,VII,SGA 7 I public scan,9CD40FF06EB1E488AF385A56899D4F492492A06A1E2E3C0ED6876B82E3E3603F,540,165,166,154,,,,,,1958,3050,L,469780,499E5642BF08DBE90D98C1B5BF8067CBEBC0D30635268C3A5C617563CDE0A972,p165.png,images/SGA7I_p165.png,expose_VII_body.tex,lead_opened_source_evidence,opened_in_source_audit_session,1,2026-07-30T10:22:21.442Z,2026-07-30T10:22:21.442Z,SGA7I-VIS-04214,public_actual_pixel_deduplicated
SGA7-LEAD-004,SGA7I,VII,SGA 7 I public scan,9CD40FF06EB1E488AF385A56899D4F492492A06A1E2E3C0ED6876B82E3E3603F,540,166,167,155,,,,,,1943,3050,L,413866,15489E044B65063F2B7ED1FF67632834E2C825D8EEF8E375F75B314688AC9ABC,p166.png,images/SGA7I_p166.png,expose_VII_body.tex,lead_opened_source_evidence,opened_in_source_audit_session,1,2026-07-30T10:22:34.830Z,2026-07-30T10:22:34.830Z,SGA7I-VIS-01238,public_actual_pixel_deduplicated
SGA7-LEAD-005,SGA7I,VII,SGA 7 I public scan,9CD40FF06EB1E488AF385A56899D4F492492A06A1E2E3C0ED6876B82E3E3603F,540,170,171,159,,,,,,1943,3050,L,456801,77F328D7F597817E66986027CC832EBD5C341A28974DC8C1E1CD9C9854AF3BEC,p170.png,images/SGA7I_p170.png,expose_VII_body.tex,lead_opened_source_evidence,opened_in_session_and_page_named_in_review_log,1,2026-07-30T11:12:13.739Z,2026-07-30T11:12:13.739Z,SGA7I-VIS-06887,public_actual_pixel_deduplicated
SGA7-LEAD-006,SGA7I,VIII,SGA 7 I public scan,9CD40FF06EB1E488AF385A56899D4F492492A06A1E2E3C0ED6876B82E3E3603F,540,241,242,230,,,,,2000,1958,3050,L,365768,E065ED5FC4F0C08996611CF7CB0FA48053308699373D94AD96FDDB1729022412,p241.png,images/SGA7I_p241.png,expose_VIII_body.tex,lead_opened_source_evidence,opened_in_session_and_page_named_in_review_log,1,2026-07-30T10:46:37.362Z,2026-07-30T10:46:37.362Z,SGA7I-VIS-12868,public_actual_pixel_deduplicated
SGA7-LEAD-007,SGA7I,IX,SGA 7 I public scan,9CD40FF06EB1E488AF385A56899D4F492492A06A1E2E3C0ED6876B82E3E3603F,540,352,353,341,,,,,4200,1916,3050,L,412375,2B9882F261E656DF34FCE86BF55784A62223493B0DBDBC94081EA9F2B989C243,p352.png,images/SGA7I_p352.png,expose_IX_body.tex,lead_opened_source_evidence,opened_in_session_and_page_named_in_review_log,1,2026-07-30T15:55:07.426Z,2026-07-30T15:55:07.426Z,SGA7I-VIS-02477,public_actual_pixel_deduplicated
SGA7-LEAD-008,SGA7I,VI,SGA 7 I public scan,9CD40FF06EB1E488AF385A56899D4F492492A06A1E2E3C0ED6876B82E3E3603F,540,52,53,41,,,,,,1982,3050,L,627635,51E6E9FDFEE24CB6E55FACF88AD2007E231AC9ABB5471F52F3E939449D97C292,p52.png,images/SGA7I_p52.png,expose_VI_body.tex,lead_opened_source_evidence,opened_in_session_and_page_named_in_review_log,1,2026-07-30T15:12:55.680Z,2026-07-30T15:12:55.680Z,SGA7I-VIS-04694,public_actual_pixel_deduplicated
SGA7-LEAD-009,SGA7I,VI,SGA 7 I public scan,9CD40FF06EB1E488AF385A56899D4F492492A06A1E2E3C0ED6876B82E3E3603F,540,112,113,101,,,,,,2166,3400,L,754558,E004BC67F71326D9A810948AC652F774B2750B96882214E07B2746658E3A8AE5,r112_full.png,images/SGA7I_r112_full.png,expose_VI_body.tex,lead_opened_source_evidence,opened_in_source_audit_session,1,2026-07-30T10:09:22.148Z,2026-07-30T10:09:22.148Z,SGA7I-VIS-12844,public_actual_pixel_deduplicated
SGA7-LEAD-010,SGA7I,VII,SGA 7 I public scan,9CD40FF06EB1E488AF385A56899D4F492492A06A1E2E3C0ED6876B82E3E3603F,540,172,173,161,,,,,,2039,3200,L,476406,92470372AEB6BC37C62DD13D19A3D9E31CBAFAB94E66833FC96C3822C7D1EBEF,r172_full.png,images/SGA7I_r172_full.png,expose_VII_body.tex,lead_opened_source_evidence,opened_in_source_audit_session,1,2026-07-30T10:19:39.376Z,2026-07-30T10:19:39.376Z,SGA7I-VIS-08386,public_actual_pixel_deduplicated
