"crosswalk_id","term_decision_id","source_locator","exact_german_phrase","zh_hans_cn_producer_form","zh_hant_controlled_form","zh_hant_status","ja_form","ko_form","ja_ko_evidence_status","sense_window","excluded_senses","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","evidence_class","independent_check_status"
"P20-ZH-X001","P20-ZH-T001","segments/source/P20_A_lines12377_12437.tex; source lines 12377, 12384, and 12386","absolute Irreduzibilität","绝对不可约性","絕對不可約性","controlled generic script record only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO unconsulted and non-authorizing for Chinese","The paper's field-independent irreducibility condition: the polynomial remains irreducible over the stated algebraically closed extension.","irreducibility only over one fixed coefficient field; absolute value; primality of an integer; inability to simplify an expression","modern Sino-xenic coinage/calque","Qualitative medium debt: 绝对不可约性 is strongly normalized in Mainland algebra, but adjective/noun granularity and historical non-Mainland forms were not researched.","producer terminology proposal extracted only from the supplied Paper 20 German fragments, PRC-oriented Hans producer segments/current target, and worker returns; inherited Chinese witness unconsulted; no source comparison, terminology adjudication, translation review, or independent validation","independent check absent; pending"
"P20-ZH-X002","P20-ZH-T002","segments/source/P20_A_lines12377_12437.tex line 12386; segments/source/P20_C_lines12520_12588.tex lines 12564–12573","Reduzibilitätsform","可约性形式","可約性形式","controlled generic script record only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO unconsulted and non-authorizing for Chinese","A specially constructed reducibility-detecting form R(Z,u), not a generic description of any reducible form.","a reduced normal form; a factorable polynomial itself; a reduction formula; a discriminant automatically","mixed/contested","Qualitative high debt: 可约性形式 is transparent Mainland prose, while 可约形式 and 判别式 compounds are strong lexical attractors and regional historical usage is absent.","producer terminology proposal extracted only from the supplied Paper 20 German fragments, PRC-oriented Hans producer segments/current target, and worker returns; inherited Chinese witness unconsulted; no source comparison, terminology adjudication, translation review, or independent validation","independent check absent; pending"
"P20-ZH-X003","P20-ZH-T003","segments/source/P20_A_lines12377_12437.tex line 12384","algebraisch-abgeschlossener Körper","代数闭域","代數閉域","controlled generic script record only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO unconsulted and non-authorizing for Chinese","An algebraically closed field in the field-theoretic sense used to define absolute irreducibility.","the algebraic closure as an extension object; a topologically closed set; a merely complete field; any algebraic extension","modern Sino-xenic coinage/calque","Qualitative medium debt: 代数闭域 is Mainland-standard-looking, but 闭域 can attract topological closure and non-Mainland historical labels were not consulted.","producer terminology proposal extracted only from the supplied Paper 20 German fragments, PRC-oriented Hans producer segments/current target, and worker returns; inherited Chinese witness unconsulted; no source comparison, terminology adjudication, translation review, or independent validation","independent check absent; pending"
"P20-ZH-X004","P20-ZH-T004","segments/source/P20_A_lines12377_12437.tex lines 12384 and 12392","Koeffizientenbereich","系数域","係數域","controlled generic script record only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO unconsulted and non-authorizing for Chinese","The coefficient field serving as the base field for irreducibility and extension.","a numerical range of coefficient values; a coefficient ring without a field assumption; a domain of a coefficient function; a list of coefficients","mixed/contested","Qualitative high debt: the producer narrows the historical Bereich to 域 from context; this Mainland field-term inference and regional 体/域 preferences were not independently researched.","producer terminology proposal extracted only from the supplied Paper 20 German fragments, PRC-oriented Hans producer segments/current target, and worker returns; inherited Chinese witness unconsulted; no source comparison, terminology adjudication, translation review, or independent validation","independent check absent; pending"
"P20-ZH-X005","P20-ZH-T005","segments/source/P20_A_lines12377_12437.tex lines 12388 and 12427; segments/source/P20_B_lines12438_12519.tex line 12463","homogene Form","齐次形式","齊次形式","controlled generic script record only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO unconsulted and non-authorizing for Chinese","A homogeneous algebraic form in the polynomial/form sense used throughout the reduction.","a differential form; an arbitrary homogeneous function; visual formatting; a form with merely equal-looking terms","modern Sino-xenic coinage/calque","Qualitative medium debt: 齐次形式 is broad Mainland wording; 型 and 多项式 variants may better mark the algebraic object, and regional convention was not researched.","producer terminology proposal extracted only from the supplied Paper 20 German fragments, PRC-oriented Hans producer segments/current target, and worker returns; inherited Chinese witness unconsulted; no source comparison, terminology adjudication, translation review, or independent validation","independent check absent; pending"
"P20-ZH-X006","P20-ZH-T006","segments/source/P20_A_lines12377_12437.tex lines 12386 and 12427; segments/source/P20_C_lines12520_12588.tex lines 12547, 12552, and 12577","Graderniedrigung","降次","降次","controlled generic script record only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO unconsulted and non-authorizing for Chinese","Degree reduction of the specialized inhomogeneous polynomial in the exact exceptional case discussed by the paper.","dimension reduction; reduction modulo an ideal; cancellation without degree loss; the paper's proof reduction; lowering an index","mixed/contested","Qualitative high debt: the current producer target contains both 降次 and 次数降低; selecting 降次 for indexing does not resolve that internal lexical variation or regional preference.","producer terminology proposal extracted only from the supplied Paper 20 German fragments, PRC-oriented Hans producer segments/current target, and worker returns; inherited Chinese witness unconsulted; no source comparison, terminology adjudication, translation review, or independent validation","independent check absent; pending"
"P20-ZH-X007","P20-ZH-T007","segments/source/P20_A_lines12377_12437.tex line 12425","Ideal aus Polynomen","多项式理想","多項式理想","controlled generic script record only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO unconsulted and non-authorizing for Chinese","An ideal in the relevant polynomial ring, characterized by closure under difference and multiplication by arbitrary ring polynomials.","a single ideal polynomial; a module merely because the historical text mentions that label; an idealized polynomial; a numerical ideal","modern Sino-xenic coinage/calque","Qualitative medium debt: 多项式理想 is concise Mainland terminology but can ambiguously name an ideal generated by polynomials rather than this specific relation ideal; regional wording is untested.","producer terminology proposal extracted only from the supplied Paper 20 German fragments, PRC-oriented Hans producer segments/current target, and worker returns; inherited Chinese witness unconsulted; no source comparison, terminology adjudication, translation review, or independent validation","independent check absent; pending"
"P20-ZH-X008","P20-ZH-T008","segments/source/P20_A_lines12377_12437.tex line 12425; segments/source/P20_C_lines12520_12588.tex lines 12571 and 12577","Primideal","素理想","素理想","controlled generic script record only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO unconsulted and non-authorizing for Chinese","A prime ideal in the commutative-algebra or algebraic-number-theory sense instantiated by the local passage.","a prime number; a maximal ideal automatically; a principal ideal; an optimal or primary objective","modern Sino-xenic coinage/calque","Qualitative high debt: 素理想 is strongly Mainland-normalized while 質理想 is a significant regional attractor; the controlled Hant glyph record does not settle that lexical choice.","producer terminology proposal extracted only from the supplied Paper 20 German fragments, PRC-oriented Hans producer segments/current target, and worker returns; inherited Chinese witness unconsulted; no source comparison, terminology adjudication, translation review, or independent validation","independent check absent; pending"
"P20-ZH-X009","P20-ZH-T009","segments/source/P20_A_lines12377_12437.tex lines 12423, 12425, and 12427; segments/source/P20_C_lines12520_12588.tex line 12558","Nullstelle","零点","零點","controlled generic script record only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO unconsulted and non-authorizing for Chinese","A point or value system at which the stated polynomial relations vanish.","the scalar zero coefficient; a root only of a one-variable polynomial; a point at infinity; a null vector with no polynomial relation","mixed/contested","Qualitative high debt: 零点 is compact Mainland usage but alternates between root and algebraic-set point senses; the tuple-valued sense and regional forms remain under-specified.","producer terminology proposal extracted only from the supplied Paper 20 German fragments, PRC-oriented Hans producer segments/current target, and worker returns; inherited Chinese witness unconsulted; no source comparison, terminology adjudication, translation review, or independent validation","independent check absent; pending"
"P20-ZH-X010","P20-ZH-T010","segments/source/P20_A_lines12377_12437.tex line 12427; segments/source/P20_C_lines12520_12588.tex line 12558","Parameterdarstellung","参数表示","參數表示","controlled generic script record only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO unconsulted and non-authorizing for Chinese","A parametrization or parameter representation of coefficient tuples in the paper's converse construction.","displaying parameter values; a statistical parameterization; a coordinate chart automatically; a merely symbolic substitution","mixed/contested","Qualitative high debt: 参数表示 is Mainland-readable but may describe notation rather than surjective parametrization; 参数化 is a strong modern attractor and regional usage is unknown.","producer terminology proposal extracted only from the supplied Paper 20 German fragments, PRC-oriented Hans producer segments/current target, and worker returns; inherited Chinese witness unconsulted; no source comparison, terminology adjudication, translation review, or independent validation","independent check absent; pending"
