check_id	result	evidence
SOURCE_FREEZE_REFREEZE_REPLAY	PASS	P25 source records and six runtime-hashed authority streams replayed; zero post-freeze edits
AUTHORITY_IDENTITY	PASS	174 pages; 5683015 bytes; SHA256 201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864
READERS_AND_STATE	PASS	deterministic reader check and full state validator PASS
P25_COVERAGE	PASS	authority pages 145-150 accepted; cumulative counts 150/150/150/150; P26 remains unaccepted
SEMANTIC_REPLAY	PASS	42 P25 payload-bound semantic assertions
ASSET_PIXEL_REPLAY	PASS	30 payload-derived raw crops and presentation derivatives replay exact authority-pixel operations
ZERO_ACCEPTED_REPLAY	PASS	"40 runtime-selected inherited members; 20 byte-identical lineage pairs; per-page counts {""145"":8,""146"":12,""147"":2,""148"":4,""149"":4,""150"":10}; no authority role"
CORRECTION_DIFF	PASS	18 exact payload rows spanning all P25 pages; SHA256 84155118DF19D2C5CE233C3159A088A6449FEF26F64E667C3A85B94BD8977C7A
FINAL_GATES	PASS	asset_sha256=B2BF0AC68237932C1C372E999C6798353BC147693A93BBADD9433996CEA9B39C; apparatus_final_sha256=6C07577C44D4A420B7027984EB93AA5F51047989EDAD3147C0F47A44DB8B3158; asset PASS committed before apparatus-final PASS
SESSION_LOG	PASS	S25/P25 COMPLETE with 150/150/150/150 cumulative counts
VISUAL_QA	PASS	43 runtime-derived deterministic render checks and the complete contact sheet replayed; 43 named full-resolution renders manually inspected
IDENTITY_STRING_CHECK	PASS	case-insensitive local-account string check found no matches
PRECOMMIT_AUDIT	PASS	S25_COLD_AUDIT.tsv PASS; SHA256 BC3A1E35224E0F8240A2F5C0CD0F0BEE729D0621F184EFFE18CA4D7B0BC36038
MEMBER_SIZE_GATE	PASS	2345 preexisting state files; every file below 500 MiB
NONPATCHING_PROOF	PASS	all 2345 preexisting state-file hashes unchanged during postcommit audit
