check_id	result	evidence
SOURCE_FREEZE_REFREEZE_REPLAY	PASS	P27 source records and six runtime-hashed authority streams replayed; zero post-freeze edits
AUTHORITY_IDENTITY	PASS	174 pages; 5683015 bytes; SHA256 201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864
READERS_AND_STATE	PASS	deterministic reader check and full state validator PASS
P27_COVERAGE	PASS	authority pages 157-162 accepted; cumulative counts 162/162/162/162; P28 remains unaccepted
SEMANTIC_REPLAY	PASS	42 P27 payload-bound semantic assertions
ASSET_PIXEL_REPLAY	PASS	30 payload-derived raw crops and presentation derivatives replay exact authority-pixel operations
ZERO_ACCEPTED_REPLAY	PASS	"42 runtime-selected inherited members; 21 byte-identical lineage pairs; per-page counts {""157"":6,""158"":12,""159"":4,""160"":6,""161"":8,""162"":6}; no authority role"
CORRECTION_DIFF	PASS	18 exact payload rows spanning all P27 pages; SHA256 4525E28281E3953484A99CF8DC34F342F2642176EC3D09ED6EA5A2DC3C93D768
FINAL_GATES	PASS	asset_sha256=D3F4BFB689E4A4D08E12407BE278D361CA08C75E1F8CBD3FA073C56A0553966E; apparatus_final_sha256=7E6677F883EC6A4F0D52EFAAF16BB01386CA061A4C695CA735ED57C8E5F8E934; asset PASS committed before apparatus-final PASS
SESSION_LOG	PASS	S27/P27 COMPLETE with 162/162/162/162 cumulative counts
VISUAL_QA	PASS	40 runtime-derived deterministic render checks and the complete contact sheet replayed; 40 named full-resolution renders manually inspected
IDENTITY_STRING_CHECK	PASS	case-insensitive local-account string check found no matches
PRECOMMIT_AUDIT	PASS	S27_COLD_AUDIT.tsv PASS; SHA256 B0AB2FEFD7240DF4D49F7028A5B2CF337A1259442D26A9AFC408429C5DFCF2BF
MEMBER_SIZE_GATE	PASS	2576 preexisting state files; every file below 500 MiB
NONPATCHING_PROOF	PASS	all 2576 preexisting state-file hashes unchanged during postcommit audit
