check_id	result	evidence
SOURCE_FREEZE_REFREEZE_REPLAY	PASS	P29 source records and six runtime-hashed authority streams replayed; zero post-freeze edits
AUTHORITY_IDENTITY	PASS	174 pages; 5683015 bytes; SHA256 201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864
READERS_AND_STATE	PASS	deterministic reader check and full state validator PASS
P29_COVERAGE	PASS	authority pages 169-174 accepted; cumulative counts 174/174/174/174; PAPER_COMPLETE with next prompt NONE_PROJECT_PASS
SEMANTIC_REPLAY	PASS	42 P29 payload-bound semantic assertions
ASSET_PIXEL_REPLAY	PASS	30 payload-derived raw crops and presentation derivatives replay exact authority-pixel operations
ZERO_ACCEPTED_REPLAY	PASS	"22 runtime-selected inherited members; 11 byte-identical lineage pairs; per-page counts {""169"":4,""170"":2,""171"":6,""172"":2,""173"":4,""174"":4}; no authority role"
CORRECTION_DIFF	PASS	18 exact payload rows spanning all P29 pages; SHA256 D9229F084678BE4EA7B8F7A92DF65C67FD43DB40176C3A8AE2A4225035B41C06
FINAL_GATES	PASS	asset_sha256=15E88D97454C64EA62F59A1CB20840677DF2D6659E6E3EE9F3E9EA0B04793583; apparatus_final_sha256=F2C0C241E2F2EF6DD5F855CC25C6FCA34ACD207519730E32EEE00436A9C88895; full_paper_sha256=297C49852B1B1568932B8EA69ECDC1DAE33487A9941B67D5317C6D6CF8BF0E42; asset PASS committed before apparatus-final PASS and the PAPER_COMPLETE gate
SESSION_LOG	PASS	S29/P29 COMPLETE and PAPER_COMPLETE with 174/174/174/174 cumulative counts
VISUAL_QA	PASS	44 runtime-derived deterministic render checks and the complete contact sheet replayed; 44 named full-resolution renders manually inspected
IDENTITY_STRING_CHECK	PASS	case-insensitive local-account string check found no matches
PRECOMMIT_AUDIT	PASS	S29_COLD_AUDIT.tsv PASS; SHA256 8B0FE671C7597EC75BBECDE4633D6BEA844DEB9B858367E721B834654CFEF6CE
MEMBER_SIZE_GATE	PASS	2805 preexisting state files; every file below 500 MiB
NONPATCHING_PROOF	PASS	all 2805 preexisting state-file hashes unchanged during postcommit audit
