check_id	result	evidence
SOURCE_FREEZE_REFREEZE_REPLAY	PASS	P13 source records and six runtime-hashed authority streams replayed; zero post-freeze edits
AUTHORITY_IDENTITY	PASS	174 pages; 5683015 bytes; SHA256 201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864
READERS_AND_STATE	PASS	deterministic reader check and full state validator PASS
P13_COVERAGE	PASS	authority pages 73-78 accepted; cumulative counts 78/78/78/78; P14 remains unaccepted
SEMANTIC_REPLAY	PASS	34 P13 payload-bound semantic assertions
ASSET_PIXEL_REPLAY	PASS	26 payload-derived raw crops and presentation derivatives replay exact authority-pixel operations
ZERO_ACCEPTED_REPLAY	PASS	"38 runtime-selected inherited members; 19 byte-identical lineage pairs; per-page counts {""73"":6,""74"":10,""75"":2,""76"":8,""77"":2,""78"":10}; no authority role"
CORRECTION_DIFF	PASS	24 exact payload rows spanning all P13 pages; SHA256 5A4248C039968F7A7FCE76709CF46BC646855524D6E97964131D931C8140E808
FINAL_GATES	PASS	asset_sha256=BDF8DAF84749432BEF7B9BAE54EB484BC01021F8A2AB36B4D2440CD9418F4F97; apparatus_final_sha256=99325B162CF5B201FBBA870FC80C1157F0B1B84D9CD219DCDF01884D28F624FB; asset PASS committed before apparatus-final PASS
SESSION_LOG	PASS	S13/P13 COMPLETE with 78/78/78/78 cumulative counts
VISUAL_QA	PASS	47 runtime-derived deterministic render checks and the complete contact sheet replayed; 12 named full-resolution renders manually inspected
IDENTITY_STRING_CHECK	PASS	case-insensitive local-account string check found no matches
PRECOMMIT_AUDIT	PASS	S13_COLD_AUDIT.tsv PASS; SHA256 AAEF627D03968B1EF917941DA0BC679DE6D9701B78E610419B7980BB9966F954
MEMBER_SIZE_GATE	PASS	935 preexisting state files; every file below 500 MiB
NONPATCHING_PROOF	PASS	all 935 preexisting state-file hashes unchanged during postcommit audit
