diff_id	prompt_id	authority_page	layer	before	after	reason	authority_evidence
D018-P05-001	P05	25	source_pre_freeze_authority_audit	Le lieu où f est lisse	Le lien où f est lisse	The authority literally prints the source-sic noun lien.	Authority page 25 pixels; two independent authority-only audits.
D018-P05-002	P05	25	source_pre_freeze_authority_audit	ξ̂ : Hom(R,A) ≃ F(A)	ξ̂ : Hom(R,A) ⟶̃ F(A)	The display uses an arrow carrying a tilde rather than an equivalence sign.	Authority page 25 pixels; P0025-A02 fallback.
D018-P05-003	P05	26	source_pre_freeze_authority_audit	k[[x,y]]/(xy)	k[[X,Y]]/(XY)	The authority uses uppercase X and Y.	Authority page 26 pixels.
D018-P05-004	P05	26	source_pre_freeze_authority_audit	α_o or α_0 silently selected	α_{o/0} with authority fallback	The round subscript glyph cannot be reliably distinguished in the scan.	Authority page 26 pixels; P0026-A01 fallback.
D018-P05-005	P05	26	source_pre_freeze_authority_audit	rationnelles. Alors	rationnelles Alors	The authority has no punctuation before Alors.	Authority page 26 pixels.
D018-P05-006	P05	27	source_pre_freeze_authority_audit	E_p ≃ ℤ/p × μ_p [mathematical normalization]	E_n ≃ ℤ/n × μ_n [printed]	The authority prints n in all three positions.	Authority page 27 pixels.
D018-P05-007	P05	28	source_pre_freeze_authority_audit	Cohen-Macaulay	Cohen-MacAulay	Section 7 consistently uses an internal capital-shaped A.	Authority page 28 pixels.
D018-P05-008	P05	28	source_pre_freeze_authority_audit	(7.1.1) [normalized display label]	(7.1 1) [printed display label]	The display omits the second dot; the next prose citation remains (7.1.1).	Authority page 28 pixels.
D018-P05-009	P05	29	source_pre_freeze_authority_audit	de s̄ dans 𝔐	de s dans 𝔐	The parenthetical visibly drops the bar on s.	Authority page 29 pixels.
D018-P05-010	P05	29	source_pre_freeze_authority_audit	𝒪^h_{𝔐,m}	𝒪̃_{𝔐,m}	The first stack-local object has a tilde-like mark; page 30 changes it to h.	Authority pages 29-30 pixels; P0029-A02 fallback.
D018-P05-011	P05	30	source_pre_freeze_authority_audit	𝔐 ×_S S' and M ×_S S' [semantic normalization]	𝔐 ⊗_S S' and M ⊗_S S' [printed]	The authority uses tensor symbols for base change.	Authority page 30 pixels.
