check_id	result	evidence
SOURCE_FREEZE_REFREEZE_REPLAY	PASS	P08 source records and six authority streams replayed; zero post-freeze edits
AUTHORITY_IDENTITY	PASS	174 pages; 5683015 bytes; SHA256 201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864
READERS_AND_STATE	PASS	deterministic reader check and full state validator PASS
P08_COVERAGE	PASS	authority pages 43-48 accepted; cumulative counts 48/48/48/48; P09 remains unaccepted
SEMANTIC_REPLAY	PASS	30 authority-bound topology, notation, source-sic, translation, and apparatus assertions
ASSET_PIXEL_REPLAY	PASS	12 raw crops and presentation derivatives replay exact authority-pixel operations
ZERO_ACCEPTED_REPLAY	PASS	40 inherited members; 20 byte-identical lineage pairs; no authority role
CORRECTION_DIFF	PASS	20 authority-bound rows; SHA256 449C74E484C2B09CC08A7BFB128E7A359072B6E0BE855030790DEC110420FF97
FINAL_GATES	PASS	asset and apparatus gates finalized after deterministic replays
SESSION_LOG	PASS	S08/P08 COMPLETE with 48/48/48/48 cumulative counts
VISUAL_QA	PASS	36 rendered pages and complete contact sheet replayed
IDENTITY_STRING_CHECK	PASS	requested case-insensitive local-account string check found no matches
MEMBER_SIZE_GATE	PASS	453 preexisting state files; every file below 500 MB
NONPATCHING_PROOF	PASS	all 453 preexisting state-file hashes unchanged during cold audit
