diff_id	prompt_id	authority_page	layer	before	after	reason	authority_evidence
D018-P07-001	P07	37	source_pre_freeze_authority_audit	Pic⁰_{C_s̄} [normalized from the preceding geometric fiber]	Pic⁰_{C_s} [printed plain s]	The authority visibly drops the bar in the Picard fiber; this is an explicit pixel trap.	Authority page 37 pixels; proof zoom; independent authority-only audit.
D018-P07-002	P07	37	source_pre_freeze_authority_audit	agit par rotations [mathematical expectation from 1.12(c)]	agit par translation [printed]	The authority repeats translation where the surrounding component-graph argument expects rotation.	Authority page 37 pixels; independent semantic audit.
D018-P07-003	P07	37	source_pre_freeze_authority_audit	une partie V ouverte et fermée ... telle que [normalized]	une partie ouverte et fermée ... tel que ... V [printed]	Lemma 1.14 omits the name V in its existence clause and uses masculine tel.	Authority page 37 pixels; P0037-A01 fallback.
D018-P07-004	P07	37	source_pre_freeze_authority_audit	V ⊃ V̄, donc V est fermé [expanded logic]	V ⊃ V̄ est fermé [printed]	The final closure phrase is syntactically compressed and is preserved literally.	Authority page 37 pixels.
D018-P07-005	P07	38	source_pre_freeze_authority_audit	π₀(C_s̄^reg) ≃ ℤ/n [normalized from the surrounding barred fibers]	π₀(C_s^reg) ≃ ℤ/n [printed plain s]	The component-group formula visibly uses plain s; this is an explicit pixel trap.	Authority page 38 pixels; independent authority-only audit.
D018-P07-006	P07	38	source_pre_freeze_authority_audit	C^reg/S [normalized superscript]	C_reg/S [printed lowered reg]	The reg marker is visibly lowered in this occurrence.	Authority page 38 pixels.
D018-P07-007	P07	38	source_pre_freeze_authority_audit	points singuliers de C_s̄ [normalized]	points singuliers de C_s [printed]	Lemma 1.16 changes from barred C_s̄ to plain C_s in its second hypothesis.	Authority page 38 pixels.
D018-P07-008	P07	38	source_pre_freeze_authority_audit	I.5.3 [normalized]	I 5.3 [printed]	The dot after the chapter numeral is absent.	Authority page 38 pixels.
D018-P07-009	P07	39	source_pre_freeze_authority_audit	près de x [mathematical expectation after Soit x ∈ U]	près de U [printed]	The authority says to localize near U rather than near the newly chosen x.	Authority page 39 pixels; P0039-A02 fallback.
D018-P07-010	P07	39	source_pre_freeze_authority_audit	(ici, V) [normalized]	(ici, = V) [printed]	The parenthesis visibly has no expression before the equals sign.	Authority page 39 pixels.
D018-P07-011	P07	40	source_pre_freeze_authority_audit	X^reg ×_S X [assumed lower-left object]	X^reg ×_S Y [printed lower-left object]	The second factor in diagram (1.17.1) is visibly Y, and the left vertical arrow is unlabeled.	Authority page 40 pixels; P0040-A01 fallback.
D018-P07-012	P07	40	source_pre_freeze_authority_audit	F le foncteur; F' sous-foncteur de F [consistent notation]	F' le foncteur; F' sous foncteur de F [printed]	The proof first names F' as the functor and later calls it a subfunctor of undeclared F.	Authority page 40 pixels; P0040-A02 fallback.
D018-P07-013	P07	40	source_pre_freeze_authority_audit	u^{−1}(u(t)(S)) [expanded notation]	u^{−1}ut(S) [printed]	The inverse-image expression is visibly compacted without inserted parentheses.	Authority page 40 pixels.
D018-P07-014	P07	41	source_pre_freeze_authority_audit	+ : Y^reg ×_S Y → Y [normalized fiber product]	+ : Y^reg × Y → Y [printed]	The constructed product omits the base subscript present in diagram (1.17.1).	Authority page 41 pixels; P0041-A01 fallback.
D018-P07-015	P07	41	source_pre_freeze_authority_audit	(x,y ∈ Y^reg(S)) [balanced punctuation]	(x,y ∈ Y^reg(S) [printed]	The outer closing parenthesis is absent.	Authority page 41 pixels.
D018-P07-016	P07	41	source_pre_freeze_authority_audit	ℤ/(n,m) [normalized cyclic quotient]	ℤ/((n,m)) [printed]	The cyclic factor is printed with doubled parentheses around the gcd notation.	Authority page 41 pixels; P0041-A02 fallback.
D018-P07-017	P07	42	source_pre_freeze_authority_audit	n·(n,m) [normalized multiplication mark]	n.(n,m) [printed]	The rank uses a baseline period as its multiplication mark.	Authority page 42 pixels.
D018-P07-018	P07	42	source_pre_freeze_authority_audit	Soit p : C → S ... et n [grammatical normalization]	Soient p : C → S ... et n [printed]	Corollary 1.20 uses plural Soient with the singular datum p.	Authority page 42 pixels.
D018-P07-019	P07	42	source_pre_freeze_authority_audit	(2.1.1) [required reference]	(2 1.1) [printed later reference]	The immediate cross-reference omits the first dot from the displayed label.	Authority page 42 pixels; P0042-A02 fallback.
D018-P07-020	P07	42	source_pre_freeze_authority_audit	continuation from page 43 [silently supplied]	page ends after pour [printed boundary]	The diplomatic record stops at the physical page boundary and supplies no text from page 43.	Authority page 42 full-page pixels.
