check_id	result	evidence
SOURCE_FREEZE_REFREEZE_REPLAY	PASS	P22 source records and six runtime-hashed authority streams replayed; zero post-freeze edits
AUTHORITY_IDENTITY	PASS	174 pages; 5683015 bytes; SHA256 201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864
READERS_AND_STATE	PASS	deterministic reader check and full state validator PASS
P22_COVERAGE	PASS	authority pages 127-132 accepted; cumulative counts 132/132/132/132; P23 remains unaccepted
SEMANTIC_REPLAY	PASS	138 P22 payload-bound semantic assertions
ASSET_PIXEL_REPLAY	PASS	30 payload-derived raw crops and presentation derivatives replay exact authority-pixel operations
ZERO_ACCEPTED_REPLAY	PASS	"32 runtime-selected inherited members; 16 byte-identical lineage pairs; per-page counts {""127"":4,""128"":6,""129"":4,""130"":6,""131"":10,""132"":2}; no authority role"
CORRECTION_DIFF	PASS	56 exact payload rows spanning all P22 pages; SHA256 EBDE37DD4552EEBEEE48EE35C5A1D67E796CC233DEDE4A16ACF66C5CD5136C58
FINAL_GATES	PASS	asset_sha256=D632ADAE9339ACB0198C3CA8ADEF8C852E1A5AC8003ED0DFE81A7A3AD963C313; apparatus_final_sha256=717369F5B444E0D06ED8FCC4B22A24A6B3E452348033179E055E6957DBD64F14; asset PASS committed before apparatus-final PASS
SESSION_LOG	PASS	S22/P22 COMPLETE with 132/132/132/132 cumulative counts
VISUAL_QA	PASS	48 runtime-derived deterministic render checks and the complete contact sheet replayed; 48 named full-resolution renders manually inspected
IDENTITY_STRING_CHECK	PASS	case-insensitive local-account string check found no matches
PRECOMMIT_AUDIT	PASS	S22_COLD_AUDIT.tsv PASS; SHA256 C75EAABAE19EDBA13EAF7D44C06DF651BBFB4BCC6A1F2B1034B96DDF5FB9DC36
MEMBER_SIZE_GATE	PASS	1985 preexisting state files; every file below 500 MiB
NONPATCHING_PROOF	PASS	all 1985 preexisting state-file hashes unchanged during postcommit audit
