check_id	result	evidence
AUTHORITY_IDENTITY	PASS	174 pages; 5683015 bytes; SHA256 201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864
STATE_VALIDATOR	PASS	validate_state.py PASS; build_readers.py --check PASS
P05_COVERAGE	PASS	authority pages 25-30 accepted; cumulative counts 30/30/30/30
CANONICAL_RECORD_LINKS	PASS	P05 source, English, apparatus, and coverage hashes replayed
SEMANTIC_REPLAY	PASS	11 authority-bound correction rows; literal anomalies and translation restraint replayed
AUTHORITY_ASSET_REPLAY	PASS	12 P05 raw crops replay exact RGB authority pixels; 12 presentation derivatives replay exact operations
ZERO_ACCEPTED_REPLAY	PASS	68 page-specific witness rows; 34 byte-identical lineage pairs; archive bytes and hashes replayed; no authority role
CORRECTION_DIFF	PASS	11 rows; SHA256 42EEE34604D231B132B2F4E7CEE1B94A1A8FF37F3C6FC032B34F56C82F2F4EDB
SESSION_LOG	PASS	one S05/P05 COMPLETE row with 30/30/30/30 cumulative counts
VISUAL_QA	PASS	13 HTML slices, 26 nonblank rendered PDF pages, 10 full-resolution manual inspections, and one complete contact-sheet inspection
IDENTITY_STRING_CHECK	PASS	case-insensitive local-account first-name search on candidate text surface: no matches
MEMBER_SIZE_GATE	PASS	232 preexisting state files; every file below 500 MB
NONPATCHING_PROOF	PASS	all 232 preexisting state-file hashes unchanged during cold audit
