diff_id	prompt_id	authority_page	layer	before	after	reason	authority_evidence
D018-P27-001	P27	157	source_language	Theorem 2.1 treated as complete on page 156	τ*(t)=f(q), (q)=(f(q)), and the proof continues into Corollary 2.2	The authority page visibly continues the theorem and begins the level-structure application.	P0157-A01; P0157-A02
D018-P27-002	P27	157	source_language	ordinary q and q^{1/n} conflated	ζ_n and the n-gon level section are retained separately	Section 2.3 introduces the cyclotomic level structure at the cusp.	P0157-A03; P0157-A04
D018-P27-003	P27	157	source_language	f_n omitted	(2.3.1) f_n:Spec(ℤ[ζ_n])→𝓜_n	The section at infinity is the terminal display on the physical page.	P0157-A04
D018-P27-004	P27	158	source_language	q^{1/n} replaced by q	the generalized curve is over ℤ[ζ_n][[q^{1/n}]]	The root parameter is printed in the authority and controls the n-section.	P0158-A01
D018-P27-005	P27	158	source_language	(2.3.2) omitted	the morphism Spec(ℤ[ζ_n][[q^{1/n}]])→𝓜_n is retained	The morphism is the extension of (2.3.1).	P0158-A01; P0158-A02
D018-P27-006	P27	158	source_language	stabilizer treated as all SL(2,ℤ/n)	the cusp stabilizer is ±U	The upper-triangular subgroup is printed at the bottom of page 158.	P0158-A05
D018-P27-007	P27	159	source_language	Corollary 2.5 skipped	cusp copies indexed by SL(2,ℤ/n)/±U	The corollary is the opening statement on page 159.	P0159-A01
D018-P27-008	P27	159	source_language	local classification had no unit	C=𝔾_m^t/(ut^k)^ℤ with u∈A*	Corollary 2.6 includes the unit and component count.	P0159-A02
D018-P27-009	P27	159	source_language	X_v extension omitted	0→μ_k→X_v→ℤ/k→0 is retained	The proof constructs the formal family through X_v.	P0159-A03
D018-P27-010	P27	160	source_language	j(E)^{-1} written without sign	j(E)^{-1}=±(ut^k)+Σ d_n(ut^k)^n	The leading ± is clearly visible in the authority formula.	P0160-A01; P0160-A05
D018-P27-011	P27	160	source_language	valuation conclusion absent	j(E) has valuation -k	The sentence immediately follows the signed formula.	P0160-A01
D018-P27-012	P27	160	source_language	integral modular forms section omitted	Definitions 3.1 and 3.2 and Lemma 3.3 included	The page starts the Fourier-expansion application.	P0160-A02; P0160-A03
D018-P27-013	P27	161	source_language	finite generation proof treated as finished	Δ∈ω^{⊗12} and ampleness are explicitly carried through	Theorem 3.4 proof occupies the top of page 161.	P0161-A01; P0161-A02
D018-P27-014	P27	161	source_language	coefficient algebra omitted	A over ℤ[ζ_n] and the tensor-power definition are included	Definition 3.6 is a distinct level-n coefficient case.	P0161-A03
D018-P27-015	P27	161	source_language	Tate evaluation ended on page 161	the phrase ‘Puisque la courbe’ continues to page 162	The physical sentence is incomplete at the page edge.	P0161-A04; P0162-A01
D018-P27-016	P27	162	source_language	Fourier coefficients allowed in arbitrary A[[q^{1/n}]]	f_φ lies in ℤ[[q^{1/n}]]⊗A	The finite-type coefficient subring is stated in (3.7.1).	P0162-A01
D018-P27-017	P27	162	source_language	gφ action uses gα	gφ(C,α)=φ(C,g^{-1}α)	The inverse level structure is printed in §3.8.	P0162-A02
D018-P27-018	P27	162	source_language	ζ_n exponent omitted from (3.8.1)	ζ_n^{amn} and both assertions of Theorem 3.9 retained	The cusp formula and descent theorem close the page.	P0162-A03; P0162-A04
