check_id	result	evidence
SOURCE_FREEZE_REFREEZE_REPLAY	PASS	P26 source records and six runtime-hashed authority streams replayed; zero post-freeze edits
AUTHORITY_IDENTITY	PASS	174 pages; 5683015 bytes; SHA256 201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864
READERS_AND_STATE	PASS	deterministic reader check and full state validator PASS
P26_COVERAGE	PASS	authority pages 151-156 accepted; cumulative counts 156/156/156/156; P27 remains unaccepted
SEMANTIC_REPLAY	PASS	42 P26 payload-bound semantic assertions
ASSET_PIXEL_REPLAY	PASS	30 payload-derived raw crops and presentation derivatives replay exact authority-pixel operations
ZERO_ACCEPTED_REPLAY	PASS	"50 runtime-selected inherited members; 25 byte-identical lineage pairs; per-page counts {""151"":10,""152"":16,""153"":8,""154"":6,""155"":6,""156"":4}; no authority role"
CORRECTION_DIFF	PASS	18 exact payload rows spanning all P26 pages; SHA256 27BF141E93F5AF4519222485050F9F095BD0037A8425E0FE6C8371E896AE4F74
FINAL_GATES	PASS	asset_sha256=0999D47351D48DC9C1B6863105361A6C071486EC746BF96A89103FE32B610B9F; apparatus_final_sha256=E449BCB3AA0378958ED9B7E328F9D8D4F78C15491F1C433D31897292EE1491B0; asset PASS committed before apparatus-final PASS
SESSION_LOG	PASS	S26/P26 COMPLETE with 156/156/156/156 cumulative counts
VISUAL_QA	PASS	46 runtime-derived deterministic render checks and the complete contact sheet replayed; 46 named full-resolution renders manually inspected
IDENTITY_STRING_CHECK	PASS	case-insensitive local-account string check found no matches
PRECOMMIT_AUDIT	PASS	S26_COLD_AUDIT.tsv PASS; SHA256 A4A63FF79EBE948F25FC5A9A0CE6939D9C31DE8B27F55C49B4E4540B486E29AC
MEMBER_SIZE_GATE	PASS	2463 preexisting state files; every file below 500 MiB
NONPATCHING_PROOF	PASS	all 2463 preexisting state-file hashes unchanged during postcommit audit
