diff_id	prompt_id	authority_page	layer	before	after	reason	authority_evidence
D018-P22-001	P22	127	source_language	start directly with Corollaire 1.2	retain the opening sentence 'L'irréductibilité des fibres de M_1 sur ℤ a le corollaire suivant.'	The authority carries the logical consequence from the preceding proof into the corollary.	Physical page 127, opening paragraph; assets P0127-A01 and P0127-A05.
D018-P22-002	P22	127	source_language	state finiteness of supersingular points without hypotheses	retain algebraically closed k of characteristic p and finiteness of isomorphism classes	These hypotheses and the classification target are explicit in Corollary 1.2.	Physical page 127, Corollary 1.2; asset P0127-A01.
D018-P22-003	P22	127	source_language	omit the proof of Corollary 1.2	retain the open multiplicative-Frobenius locus, the point at infinity, and its finite complement	The paragraph supplies the complete geometric proof of the finiteness statement.	Physical page 127, paragraph following Corollary 1.2; asset P0127-A01.
D018-P22-004	P22	127	source_language	treat j as uniquely normalized	retain the ambiguity j↦±j+n for n∈ℤ	Paragraph 1.3 explicitly records both sign and integral-translation ambiguity.	Physical page 127, opening of 1.3; asset P0127-A02.
D018-P22-005	P22	127	source_language	identify the stack and coarse-space j-maps	retain j:𝔪_1→ℙ^1 and its factorization through j:M_1→ℙ^1	The universal-property step depends on distinguishing the two domains.	Physical page 127, middle of 1.3; asset P0127-A02.
D018-P22-006	P22	127	source_language	conclude the j-map is an isomorphism from bijectivity alone	retain dominance, flatness (I 7.1.), degree one, and the isomorphism conclusion	The authority prints the full algebraic argument after the complex-point bijection.	Physical page 127, lower part of 1.3; assets P0127-A02--P0127-A03.
D018-P22-007	P22	127	source_language	omit the brute-force attribution or modular-invariant name	retain the [33] attribution and 'On appelle j l'invariant modulaire.'	Both statements close paragraph 1.3 and introduce the terminology used below.	Physical page 127, end of 1.3; asset P0127-A03.
D018-P22-008	P22	127	source_language	silently insert punctuation after 'algébriquement clos'	retain 'algébriquement clos On prouve' in the French layer	No punctuation is visible between the two clauses in the fixed authority pixels.	Physical page 127, opening of 1.4; asset P0127-A03.
D018-P22-009	P22	127	source_language	normalize all occurrences of the exceptional value to one typographic form	retain 2^6.3^3 in 1.4 and 2^6 3^3 in Lemma 1.5	The authority visibly alternates dotted and undotted forms on this page.	Physical page 127, paragraph 1.4 and Lemma 1.5; assets P0127-A03--P0127-A04.
D018-P22-010	P22	127	source_language	state that 𝔪_1→M_1 is everywhere étale	retain étaleness away from the two exceptional sections and ramification along them	Lemma 1.5 and the following paragraph state the precise exceptional locus.	Physical page 127, Lemma 1.5 and final paragraph; asset P0127-A04.
D018-P22-011	P22	127	source_language	complete the final sentence on page 127	end exactly with 'i.e. il n'y a pas de'	The object of the negation begins only on physical page 128.	Physical page 127, bottom line; assets P0127-A04 and P0127-A05.
D018-P22-012	P22	128	source_language	restart page 128 with a new paragraph	begin with 'courbe elliptique généralisée sur ℙ^1 d'invariant modulaire j.'	These words complete the sentence split from physical page 127.	Physical page 128, opening line; assets P0128-A01 and P0128-A05.
D018-P22-013	P22	128	source_language	omit or regularize Tate's punctured base	retain S=Spec ℤ[1/j](2^6 3^3 1/j-1)^{-1} and k=j-2^6 3^3	The base and abbreviation control every coefficient and invariant in Proposition 1.6.	Physical page 128, upper setup; asset P0128-A01.
D018-P22-014	P22	128	source_language	alter the coefficients of equation (1.6.1)	retain y^2+xy=x^3-(2^2 3^2/k)x-1/k	This is Tate's first displayed family over S.	Physical page 128, equation (1.6.1); assets P0128-A01--P0128-A02.
D018-P22-015	P22	128	source_language	alter the numerator or denominator in equation (1.6.2)	retain y^2+xy=x^3+(2^2 3^2/j)x-(j-2^7 3^2)/j^2	The second family has distinct j-denominators and the printed 2^7 3^2 numerator term.	Physical page 128, equation (1.6.2); asset P0128-A02.
D018-P22-016	P22	128	source_language	omit the invariant calculations	retain both c_4 and c_6 formulas and Δ=j^2/k^3, k^3/j^4	These calculations verify that both displayed curves have modular invariant j.	Physical page 128, lines following Proposition 1.6; asset P0128-A02.
D018-P22-017	P22	128	source_language	read C_o as C_0 or drop the twisting classification	retain letter-o C_o, Isom(C,C_o), the ℤ/2-torsor τ(C), and H^1(U,ℤ/2)	The letter and torsor data define the classification used in Tate's uniqueness result.	Physical page 128, middle paragraph; asset P0128-A03.
D018-P22-018	P22	128	source_language	silently rewrite the compressed normalization phrase	retain 'revêtement double de S normalisé de S[(j/k)^{1/2}]'	The authority's exact French wording is grammatically compressed and must remain exposed.	Physical page 128, twisting example; asset P0128-A03.
