check_id	result	evidence
SOURCE_FREEZE_REFREEZE_REPLAY	PASS	P12 source records and six runtime-hashed authority streams replayed; zero post-freeze edits
AUTHORITY_IDENTITY	PASS	174 pages; 5683015 bytes; SHA256 201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864
READERS_AND_STATE	PASS	deterministic reader check and full state validator PASS
P12_COVERAGE	PASS	authority pages 67-72 accepted; cumulative counts 72/72/72/72; P13 remains unaccepted
SEMANTIC_REPLAY	PASS	26 P12 payload-bound semantic assertions
ASSET_PIXEL_REPLAY	PASS	21 payload-derived raw crops and presentation derivatives replay exact authority-pixel operations
ZERO_ACCEPTED_REPLAY	PASS	"32 runtime-selected inherited members; 16 byte-identical lineage pairs; per-page counts {""67"":4,""68"":4,""69"":8,""70"":6,""71"":4,""72"":6}; no authority role"
CORRECTION_DIFF	PASS	17 exact payload rows spanning all P12 pages; SHA256 6B3741848DCAA0E1204310AB7D1DF24AEE33621799954F6B9569204E8F98F442
FINAL_GATES	PASS	asset_sha256=200C95DA6F527A26131651F254E6D9F63D1ECB1F9FC80052499DA7743C508C25; apparatus_final_sha256=6C447E922C4177DB74DDD73E49D8667FB41E589EA41315DE39ADF05351E34519; asset PASS committed before apparatus-final PASS
SESSION_LOG	PASS	S12/P12 COMPLETE with 72/72/72/72 cumulative counts
VISUAL_QA	PASS	40 runtime-derived deterministic render checks and the complete contact sheet replayed; 12 named full-resolution renders manually inspected
IDENTITY_STRING_CHECK	PASS	case-insensitive local-account string check found no matches
PRECOMMIT_AUDIT	PASS	S12_COLD_AUDIT.tsv PASS; SHA256 877C5AFED9F886817BFB2A2FE1221A047035A7534C791475B46E87DBF221360D
MEMBER_SIZE_GATE	PASS	777 preexisting state files; every file below 500 MiB
NONPATCHING_PROOF	PASS	all 777 preexisting state-file hashes unchanged during postcommit audit
