diff_id	prompt_id	authority_page	layer	before	after	reason	authority_evidence
D018-P09-001	P09	49	formula_notation	𝒪((-t)) and 𝒪(-(t)) collapsed	retain distinct 𝒪((-t)) and 𝒪(-(t))	Preserve the visibly distinct authority divisors.	Authority page 49 first display.
D018-P09-002	P09	49	formula_sign	Euler characteristic normalized	retain both printed values -1	Bind the duality computation to the printed signs.	Authority page 49 lower formulas.
D018-P09-003	P09	49	page_topology	calculation completed on page 49	end exactly after On a donc bien	The displayed equality continues on physical page 50.	Authority pages 49-50 boundary.
D018-P09-004	P09	50	source_sic_spacing	commutatifs plat	commutatifsplat	Preserve the authority's missing space rather than silently regularizing it.	Authority page 50 final paragraph.
D018-P09-005	P09	51	source_sic_subscript	C_{s̄}	S_{s̄}	Preserve the authority's printed scheme letter even though context suggests C.	Authority page 51 condition (3.1.4).
D018-P09-006	P09	51	source_sic_reference	(3.1.1)	(3.1 1)	Retain the visibly missing dot in the theorem statement.	Authority page 51 Theorem 3.2.
D018-P09-007	P09	51	source_sic_grammar	vérifient	vérifié	Preserve the printed grammatical form.	Authority page 51 plan of proof.
D018-P09-008	P09	52	source_sic_base_point	g_{s̄} ∈ G(s̄)	g_{s̄} ∈ G(s)	Preserve the authority's printed base-point notation.	Authority page 52 proof of (A).
D018-P09-009	P09	52	source_sic_punctuation	g_{s̄}. On peut appliquer	g_{s̄} On peut appliquer	Retain the authority's missing punctuation.	Authority page 52 proof of (A).
D018-P09-010	P09	52	source_sic_grammar	Soit ζ	Soient ζ	Preserve the printed plural imperative.	Authority page 52 proof for G=ℤ.
D018-P09-011	P09	52	source_sic_punctuation	(n fixe). Dans ce cas	(n fixe) Dans ce cas	Retain the authority's missing punctuation.	Authority page 52 proof for G=ℤ.
D018-P09-012	P09	52	source_sic_reference	(3.1.3)	(3 1.3)	Retain the visibly missing dot.	Authority page 52 Lemma 3.3 proof.
D018-P09-013	P09	52	page_topology	sentence completed on page 52	end exactly after soit une translation	The parenthetical continuation begins physical page 53.	Authority pages 52-53 boundary.
D018-P09-014	P09	53	component_notation	Pic⁰_{C/S}	Pic^[0]_{C/S}	Preserve the bracketed component notation in Remark 3.4.	Authority page 53 Remark 3.4.
D018-P09-015	P09	54	printed_folio	OCR -190-	pixel reading -196-	Authority pixels control the printed folio over the erroneous OCR layer.	Authority page 54 top folio.
D018-P09-016	P09	54	stack_glyph	plain M / M_*	Fraktur 𝔐 / 𝔐_*	Preserve the printed stack glyphs.	Authority page 54 sections 0.1-0.3.
D018-P09-017	P09	54	page_topology	phrase completed on page 54	end exactly after de la courbe; page 55 supplies universelle.	Preserve the physical boundary and do not borrow P10 text.	Authority pages 54-55 boundary.
