check_id	result	evidence
SOURCE_FREEZE_REFREEZE_REPLAY	PASS	P21 source records and six runtime-hashed authority streams replayed; zero post-freeze edits
AUTHORITY_IDENTITY	PASS	174 pages; 5683015 bytes; SHA256 201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864
READERS_AND_STATE	PASS	deterministic reader check and full state validator PASS
P21_COVERAGE	PASS	authority pages 121-126 accepted; cumulative counts 126/126/126/126; P22 remains unaccepted
SEMANTIC_REPLAY	PASS	82 P21 payload-bound semantic assertions
ASSET_PIXEL_REPLAY	PASS	30 payload-derived raw crops and presentation derivatives replay exact authority-pixel operations
ZERO_ACCEPTED_REPLAY	PASS	"18 runtime-selected inherited members; 9 byte-identical lineage pairs; per-page counts {""121"":2,""122"":2,""123"":2,""124"":2,""125"":6,""126"":4}; no authority role"
CORRECTION_DIFF	PASS	44 exact payload rows spanning all P21 pages; SHA256 94E5DCA14492FC8845C260908F9DA210ED1145F98D12B663043079D3CB220C24
FINAL_GATES	PASS	asset_sha256=744EB7EA18A9005B27A9399BDFAF9FDD6E562EE707A5414F2701C4C15B412123; apparatus_final_sha256=8CA789CA0A5CDF91342BB44089713DD80BA85799F9FA6307674AA06B0750F691; asset PASS committed before apparatus-final PASS
SESSION_LOG	PASS	S21/P21 COMPLETE with 126/126/126/126 cumulative counts
VISUAL_QA	PASS	48 runtime-derived deterministic render checks and the complete contact sheet replayed; 48 named full-resolution renders manually inspected
IDENTITY_STRING_CHECK	PASS	case-insensitive local-account string check found no matches
PRECOMMIT_AUDIT	PASS	S21_COLD_AUDIT.tsv PASS; SHA256 636F26FD1CDA623C2974EA4AE97B921DEA6EC3772B28FBDF38C4C01EA0DDBE6F
MEMBER_SIZE_GATE	PASS	1864 preexisting state files; every file below 500 MiB
NONPATCHING_PROOF	PASS	all 1864 preexisting state-file hashes unchanged during postcommit audit
