diff_id	prompt_id	authority_page	layer	before	after	reason	authority_evidence
D018-P13-001	P13	73	source_language	𝔪_K × 𝔪_L → 𝔪_{K∪L}	𝔪_K ×_{𝔪_1} 𝔪_L →̃ 𝔪_{K∩L}	Restore the fiber-product base, intersection subgroup, and isomorphism mark.	Physical page 73, formula (3.9.1); asset P0073-A04.
D018-P13-002	P13	73	source_language	both localizations are over ℤ[1/n]	the proof is made over ℤ[1/m], with a symmetric proof over ℤ[1/n]	Preserve the asymmetric first localization and the stated symmetry.	Physical page 73, first proof paragraph; asset P0073-A01.
D018-P13-003	P13	73	source_language	the corollary asserts only that the open locus is a scheme	Corollary 3.9.2 asserts that 𝔪_n is a scheme	Restore the compactified stack and the full corollary conclusion.	Physical page 73, Corollary 3.9.2; asset P0073-A02.
D018-P13-004	P13	73	source_language	𝔪_H is itself called the coarse space	M_H is the coarse space defined by the stack 𝔪_H	Keep roman coarse-space and fraktur stack glyphs distinct.	Physical page 73, Proposition 3.10(i); asset P0073-A03.
D018-P13-005	P13	74	source_language	M_H^o[1/n] = [𝔪_n^o[1/n]/H]	𝔪_H^o[1/n] = [M_n^o[1/n]/H], then M_H^o[1/n] = M_n^o[1/n]/H	Restore the quotient-stack equality before the coarse quotient.	Physical page 74, opening displays; asset P0074-A01.
D018-P13-006	P13	74	source_language	the quotient commutes with base change by an isomorphism	(M_n⊗F̄_p)/H → (M_n/H)⊗F̄_p is radicial	Restore the weaker and visibly printed radicial assertion.	Physical page 74, first large display; asset P0074-A05.
D018-P13-007	P13	74	source_language	Hom_S(E⊗ℚ,F⊗ℚ)=Hom_S(E,F)	Hom_S(E⊗ℚ,F⊗ℚ)=Hom_S(E,F)⊗ℚ	Restore rationalization of the Hom group.	Physical page 74, §3.11 display; asset P0074-A02.
D018-P13-008	P13	74	source_language	V̂(E)=T̂(E) and the finite-adelic factor is omitted	V̂(E)=T̂(E)⊗ℚ, isomorphic to ℤ̂²⊗ℚ=(𝔸^f)²	Restore the rational Tate space and its finite-adelic realization.	Physical page 74, §3.12 definitions; asset P0074-A03.
D018-P13-009	P13	75	source_language	the equivalence forgets the lattice	E maps to (E⊗ℚ,T̂(E)⊂V̂(E⊗ℚ))	Restore the lattice datum that makes the categorical equivalence valid.	Physical page 75, opening functor; asset P0075-A01.
D018-P13-010	P13	75	source_language	β(ℤ̂²) is the lattice	β⁻¹(ℤ̂²) is the lattice	Restore the inverse image in the lattice classification.	Physical page 75, first display of §3.13; asset P0075-A01.
