check_id	result	evidence
SOURCE_FREEZE_REPLAY	PASS	P07 source-freeze authority stream and record hashes replayed; no pre-freeze witness pixels
SOURCE_REFREEZE_REPLAY	PASS	20 correction rows and post-freeze record hashes replayed with zero post-freeze edits
AUTHORITY_IDENTITY	PASS	174 pages; 5683015 bytes; SHA256 201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864
STATE_VALIDATOR	PASS	validate_state.py PASS; build_readers.py --check PASS
P07_COVERAGE	PASS	authority pages 37-42 accepted; cumulative counts 42/42/42/42
CANONICAL_RECORD_LINKS	PASS	P07 source, English, apparatus, and coverage hashes replayed
SEMANTIC_REPLAY	PASS	20 authority-bound P07 trap rows; literal anomalies and translation payload replayed
AUTHORITY_ASSET_REPLAY	PASS	12 P07 raw crops replay exact RGB authority pixels; 12 presentation derivatives replay exact operations
ZERO_ACCEPTED_REPLAY	PASS	18 page-specific witness rows; 9 byte-identical lineage pairs; archive bytes and hashes replayed; no authority role
LEGACY_KIMI_WITNESS_REPLAY	PASS	S07_LEGACY_KIMI_WITNESS_GATE/carrier replayed; 14-row component ledger and 18-row loose-origin ledger verified
CORRECTION_DIFF	PASS	20 rows; SHA256 2B6139CB935EE38EB196EFBC4B2E8A6FB62849706D9269428C1AD7B9AC891114
FINAL_GATES	PASS	S07 asset and apparatus final gates finalized after deterministic replays
SESSION_LOG	PASS	one S07/P07 COMPLETE row with 42/42/42/42 cumulative counts
VISUAL_QA	PASS	36 P07 render PNGs and one complete contact-sheet inspection replayed
IDENTITY_STRING_CHECK	PASS	case-insensitive local-account first-name search on candidate text surface: no matches
MEMBER_SIZE_GATE	PASS	382 preexisting state files; every file below 500 MB
NONPATCHING_PROOF	PASS	all 382 preexisting state-file hashes unchanged during cold audit
