check_id	result	evidence
AUTHORITY_IDENTITY	PASS	174 pages; 5683015 bytes; SHA256 201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864
STATE_VALIDATOR	PASS	validate_state.py PASS; build_readers.py --check PASS
P03_COVERAGE	PASS	authority pages 13-18 accepted; cumulative counts 18/18/18/18
CANONICAL_RECORD_LINKS	PASS	P03 source, English, apparatus, and coverage hashes replayed
SEMANTIC_REPAIR_REPLAY	PASS	5 correction rows; page-16 n-bar repair present in all layers; superseded M_{nm} absent
AUTHORITY_ASSET_REPLAY	PASS	12 P03 raw crops replay exact authority pixels; 12 presentation derivatives replay exact operations
ZERO_ACCEPTED_REPLAY	PASS	54 page-specific witness rows; 27 byte-identical lineage pairs; no authority role
CORRECTION_DIFF	PASS	5 rows; SHA256 C376BEA3441AEED3428538AFCC2466C407EA6DDF590C8FBC0CBEDD90CE700A74
SESSION_LOG	PASS	one S03/P03 COMPLETE row with 18/18/18/18 cumulative counts
VISUAL_QA	PASS	7 nonblank headless-render screenshots hash-bound; corrected page 16 rendered in three layers
IDENTITY_STRING_CHECK	PASS	case-insensitive local-account first-name search on candidate text surface: no matches
MEMBER_SIZE_GATE	PASS	127 preexisting state files; every file below 500 MB
NONPATCHING_PROOF	PASS	all 127 preexisting state-file hashes unchanged during cold audit
