diff_id	prompt_id	authority_page	layer	before	after	reason	authority_evidence
D018-P21-001	P21	121	source_language	restart 4.14 as a complete new sentence	begin exactly 'S, avec p nilpotent sur S' as the continuation of page 120	Preserve the physical-page split after the preceding word sur.	Physical page 121, opening line; asset P0121-A01.
D018-P21-002	P21	121	source_language	flatten the connected component to C_{p^k}	retain (C_{p^k})^o and its local isomorphism with μ_{p^k}	The connected component is essential to the extension in 4.14.1.	Physical page 121, upper paragraph and diagram; asset P0121-A01.
D018-P21-003	P21	121	source_language	replace diagram (4.14.1) by prose	retain both exact rows and the three vertical over-tilde maps α′_1, α′, and α′_2	Preserve the extension topology and the induced component maps.	Physical page 121, diagram (4.14.1); asset P0121-A01.
D018-P21-004	P21	121	source_language	omit τ or identify it directly with α′	retain τ as a trivialization and α′^{-1}(ℤ/p^k) as the corresponding étale subgroup	Restore both equivalent forms of the level data.	Physical page 121, items a)--b) and following paragraph; asset P0121-A02.
D018-P21-005	P21	121	source_language	treat α′_1 and α′_2 as independent after determinant one	retain that det(α′)=1 makes α′_2 uniquely determined by α′_1	Preserve the determinant-one dependency stated by the authority.	Physical page 121, paragraph before 4.15; asset P0121-A02.
D018-P21-006	P21	121	source_language	omit the mod-p^N fiber-product description	retain 𝒥_k^h, 𝒢=𝒢(p^k), and every object and label in (4.15.1)	The square controls the two vertical torsor statements in Lemma 4.16.	Physical page 121, section 4.15 and diagram (4.15.1); asset P0121-A03.
D018-P21-007	P21	121	source_language	complete Lemma 4.16(i) from page 122	end exactly after 'la flèche verticale gauche'	Do not import the predicate across the authority page boundary.	Physical page 121, final line; assets P0121-A04--P0121-A05.
D018-P21-008	P21	122	source_language	restart page 122 with part (ii)	begin with 'fait de 𝒢^o ⊗ ℤ/p^N un espace principal homogène sous μ_{p^k}'	Preserve the completion of the sentence and of Lemma 4.16(i).	Physical page 122, opening line; asset P0122-A01.
D018-P21-009	P21	122	source_language	regularize every ℬ index to p^k	retain printed ℬ_n in 4.16(ii)--(iii), distinct from ℬ_{p^k} on page 121	Expose the authority-visible index tension rather than silently emending it.	Physical page 122, 4.16(ii)--(iii); asset P0122-A01.
D018-P21-010	P21	122	source_language	regularize 𝒥_n^h to 𝒥_k^h in part (iii)	retain printed 𝒥_n^h in 4.16(iii), while retaining 𝒥_k^h and 𝒥_k in their other printed locations	Preserve the visible n/k tension.	Physical page 122, 4.16(iii) and following normalization; assets P0122-A01--P0122-A02.
D018-P21-011	P21	122	source_language	omit the group action in the torsor statement	retain (ℤ/p^k)^* and the action (i,(C,α′_1))↦(C,iα′_1)	The group and its action specify the horizontal torsors.	Physical page 122, 4.16(iii); asset P0122-A01.
D018-P21-012	P21	122	source_language	identify 𝒥_k only through Theorem 4.17	retain its definition as the normalization of 𝔪_1⊗ℤ/p in 𝒥_k^h before the theorem	Preserve the construction and the direction of the covering.	Physical page 122, paragraph before Theorem 4.17; asset P0122-A02.
D018-P21-013	P21	122	source_language	collapse the general-n construction	retain (4.18.1) 𝒢^o=𝒢^o(m)×_{𝔪_1}𝒢^o(p^k)	Preserve the fiber-product decomposition used in the irreducibility argument.	Physical page 122, section 4.18 and formula (4.18.1); asset P0122-A03.
D018-P21-014	P21	122	source_language	regularize both residue fields to the same barred form	retain 𝔽̄_p on the left of Theorem 4.19 and unbarred 𝔽_p on the C_A side	The authority visibly distinguishes the two printed field forms.	Physical page 122, Theorem 4.19; asset P0122-A03.
D018-P21-015	P21	122	source_language	change 'corollaire suivant' to theorem or relabel Theorem 4.19	retain 'le corollaire suivant' followed by the printed heading 'Théorème 4.19'	Expose the printed heading tension without editorial repair.	Physical page 122, transition from 4.18 to Theorem 4.19; asset P0122-A03.
D018-P21-016	P21	122	source_language	merge or renumber the two 4.20 labels	retain the section-style 4.20 paragraph and the separate Théorème 4.20, ending with 𝔪_n→𝔪_m	Both labels and the forgetful-map indices are visibly printed.	Physical page 122, lower third; assets P0122-A04--P0122-A05.
