"probe_id","lane","target_language_or_access_target","query","source_title","source_author_or_owner","topic_tags","evidence_tier","source_type","source_url","repo","commit","source_path","license_or_access_signal","sha256_or_other_hash","byte_count","source_language","is_target_language_witness","is_source_level_tex_or_archive","is_pdf_docx_or_text_fallback","local_path","upload_policy","gap_or_blocker_note","non_claim_boundary"
"R7GH001","Malay-Indonesian","Malay/Malaysian context","gelanggang; Malaysia gelanggang","malaysian-mistral/neurips_2023.tex","mesolitica","Malay NLP context; not algebra","FALSE_POSITIVE_OR_CONTEXT_ONLY","GitHub TeX blob/tree metadata, no source body downloaded","https://github.com/mesolitica/research-paper/blob/23d61b5d7d835c6951c2ad98f65435d6766d6bec/malaysian-mistral/neurips_2023.tex","mesolitica/research-paper","23d61b5d7d835c6951c2ad98f65435d6766d6bec","malaysian-mistral/neurips_2023.tex","public GitHub repository; gh repo view licenseInfo null; no license clearance claimed","github_tree_blob_sha:03a9e5bb2696844c0d8c73cc066217a7dba9ddcc","79039","Malay/English context signal","false_context_only","true","false","not_downloaded_manifest_only","manifest_only_no_raw_source_body_payload_for_language_lane","GitHub TeX source exists but hit is NLP/preprint context, not algebra/invariant theory math corpus authority.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7GH002","Malay-Indonesian","Indonesian","gelanggang; matematik gelanggang","UGM 2025 Seleksi Tahap 2 Seleksi 5 Perwakilan","TetewHeroez","mathematics olympiad; algebra term signal; Indonesian","GITHUB_TEX_SOURCE_CANDIDATE_LIMITED_TOPIC","GitHub TeX blob/tree metadata, no source body downloaded","https://github.com/TetewHeroez/Olympiad/blob/3f6d2278dba6a6388db347169b334626bae09ea9/UGM%202025/Seleksi%20Tahap%202/Seleksi%205%20Perwakilan.tex","TetewHeroez/Olympiad","3f6d2278dba6a6388db347169b334626bae09ea9","UGM 2025/Seleksi Tahap 2/Seleksi 5 Perwakilan.tex","public GitHub repository; gh repo view licenseInfo null; no license clearance claimed","github_tree_blob_sha:eac7ef4bed0eefc0b589398521f26f772271e2af","5897","Indonesian signal from query/path","candidate_unverified_no_body_download","true","false","not_downloaded_manifest_only","manifest_only_no_raw_source_body_payload_for_language_lane","Contest/problem TeX source candidate only; not a specialist Noether/ring/module publication until exact content and license gates are closed.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7GH003","Malay-Indonesian","Indonesian","gelanggang; ideal gelanggang; modul gelanggang; aljabar gelanggang; matematik gelanggang","ONMIPA Nasional TeX source","KlinikAA","ONMIPA; algebra problem source; ring/module/ideal term search hits","GITHUB_TEX_SOURCE_CANDIDATE_TARGET_MATH","GitHub TeX blob/tree metadata, no source body downloaded","https://github.com/KlinikAA/ONMIPA/blob/630d0ad535e39ee7a2a1e9225a725eca4517b08b/ONMIPA%20Nasional/Soal/ONMIPA%20Nasional.tex","KlinikAA/ONMIPA","630d0ad535e39ee7a2a1e9225a725eca4517b08b","ONMIPA Nasional/Soal/ONMIPA Nasional.tex","public GitHub repository; gh repo view licenseInfo null; no license clearance claimed","github_tree_blob_sha:3aba757d28f98b45df0042f1b6c2610ff6eeef16","70515","Indonesian signal from query/path","candidate_unverified_no_body_download","true","false","not_downloaded_manifest_only","manifest_only_no_raw_source_body_payload_for_language_lane","Public TeX source candidate with algebra term hits; no raw source body downloaded and no translation authority claimed.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7GH004","Malay-Indonesian","Indonesian","gelanggang; ideal gelanggang; aljabar gelanggang; matematik gelanggang","ONMIPA Wilayah TeX source","KlinikAA","ONMIPA; algebra problem source; ring/module/ideal term search hits","GITHUB_TEX_SOURCE_CANDIDATE_TARGET_MATH","GitHub TeX blob/tree metadata, no source body downloaded","https://github.com/KlinikAA/ONMIPA/blob/630d0ad535e39ee7a2a1e9225a725eca4517b08b/ONMIPA%20Wilayah/Soal/ONMIPA%20Wilayah.tex","KlinikAA/ONMIPA","630d0ad535e39ee7a2a1e9225a725eca4517b08b","ONMIPA Wilayah/Soal/ONMIPA Wilayah.tex","public GitHub repository; gh repo view licenseInfo null; no license clearance claimed","github_tree_blob_sha:d1dae4f65ee2c1e9a6899b7f685b8b25c24350fb","210314","Indonesian signal from query/path","candidate_unverified_no_body_download","true","false","not_downloaded_manifest_only","manifest_only_no_raw_source_body_payload_for_language_lane","Public TeX source candidate with algebra term hits; no raw source body downloaded and no translation authority claimed.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7GH005","Malay-Indonesian","Indonesian","gelanggang; ideal gelanggang; aljabar gelanggang; matematik gelanggang","Proposal Tesis Bab 2 TeX source","TetewHeroez","algebra; thesis/course assignments; ring/ideal term search hits","GITHUB_TEX_SOURCE_CANDIDATE_TARGET_MATH","GitHub TeX blob/tree metadata, no source body downloaded","https://github.com/TetewHeroez/Tugas-Kuliah/blob/7dd24f0aa7eca04012a1732953f89603344fd7d8/Semester%208/Metode%20Penelitian/Proposal%20Tesis/Inti/bab%202.tex","TetewHeroez/Tugas-Kuliah","7dd24f0aa7eca04012a1732953f89603344fd7d8","Semester 8/Metode Penelitian/Proposal Tesis/Inti/bab 2.tex","public GitHub repository; gh repo view licenseInfo null; no license clearance claimed","github_tree_blob_sha:795c5b27d8490b0751249498dd36cd610131c213","27164","Indonesian signal from query/path","candidate_unverified_no_body_download","true","false","not_downloaded_manifest_only","manifest_only_no_raw_source_body_payload_for_language_lane","Likely thesis/course TeX source candidate; no raw source body downloaded and no license clearance claimed.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7GH006","Malay-Indonesian","Indonesian","invarian aljabar","Tugas Akhir Bab 2 TeX source","TetewHeroez","algebra/invariant term search hit; thesis/course assignments","GITHUB_TEX_SOURCE_CANDIDATE_LIMITED_TOPIC","GitHub TeX blob/tree metadata, no source body downloaded","https://github.com/TetewHeroez/Tugas-Kuliah/blob/7dd24f0aa7eca04012a1732953f89603344fd7d8/Semester%208/Tugas%20Akhir/Laporan%20TA/Inti/bab%202.tex","TetewHeroez/Tugas-Kuliah","7dd24f0aa7eca04012a1732953f89603344fd7d8","Semester 8/Tugas Akhir/Laporan TA/Inti/bab 2.tex","public GitHub repository; gh repo view licenseInfo null; no license clearance claimed","github_tree_blob_sha:32276e1749413728abe593872be89b1bea0f522e","55794","Indonesian signal from query/path","candidate_unverified_no_body_download","true","false","not_downloaded_manifest_only","manifest_only_no_raw_source_body_payload_for_language_lane","Invariant/algebra term candidate; exact mathematical relevance requires content gate.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7GH007","Malay-Indonesian","Indonesian","invarian aljabar","Aljabar Linear Ruang Eigen TeX source","rafikamindra98","linear algebra; eigen spaces; Indonesian course material","GITHUB_TEX_SOURCE_CANDIDATE_LIMITED_TOPIC","GitHub TeX blob/tree metadata, no source body downloaded","https://github.com/rafikamindra98/Materi-Coolyeah/blob/d982d420d7ee79f58a60503b540c6e4a8cfcf6ad/Aljabar%20Linear/Materi/23.%20Ruang%20Eigen/23.%20Ruang%20Eigen.tex","rafikamindra98/Materi-Coolyeah","d982d420d7ee79f58a60503b540c6e4a8cfcf6ad","Aljabar Linear/Materi/23. Ruang Eigen/23. Ruang Eigen.tex","public GitHub repository; gh repo view licenseInfo Other; no license clearance claimed","github_tree_blob_sha:a36f5c1f42d61ac68933c3ee528296f9aafcc4ed","11902","Indonesian signal from query/path","candidate_unverified_no_body_download","true","false","not_downloaded_manifest_only","manifest_only_no_raw_source_body_payload_for_language_lane","Linear algebra source candidate; not ring/module/Noether specialist evidence.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7GH008","Malay-Indonesian","Indonesian","invarian aljabar","Algeo2 docs main TeX source","IRK-23","algebra/geometric algorithm coursework signal; Indonesian classroom repo","GITHUB_TEX_SOURCE_CANDIDATE_LIMITED_TOPIC","GitHub TeX blob/tree metadata, no source body downloaded","https://github.com/IRK-23/algeo2-frontendbackenddeadend/blob/2068d1a463a5b4ead042113fc3487d645f1eeb2e/docs/main.tex","IRK-23/algeo2-frontendbackenddeadend","2068d1a463a5b4ead042113fc3487d645f1eeb2e","docs/main.tex","public GitHub repository; gh repo view MIT License; no downstream clearance claimed","github_tree_blob_sha:e491bf4231357162195c7ffc251f34bbb1ddbe2a","36644","Indonesian signal from repo/query","candidate_unverified_no_body_download","true","false","not_downloaded_manifest_only","manifest_only_no_raw_source_body_payload_for_language_lane","Course/project TeX candidate; exact mathematical terminology requires content gate.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7GH009","Malay-Indonesian","Indonesian","invarian aljabar","skripsi-21 catatan TeX source","birrulwldain","thesis notes; physics; algebra/invariant term search hit","FALSE_POSITIVE_OR_CONTEXT_ONLY","GitHub TeX blob/tree metadata, no source body downloaded","https://github.com/birrulwldain/skripsi-21/blob/c762f609f30a55602a5679789415f0124e14a058/catatan.tex","birrulwldain/skripsi-21","c762f609f30a55602a5679789415f0124e14a058","catatan.tex","public GitHub repository; gh repo view MIT License; no downstream clearance claimed","github_tree_blob_sha:a6d8117827ec42b14e337d073624804a47508a10","44745","Indonesian signal from repo; physics thesis context","false_context_only","true","false","not_downloaded_manifest_only","manifest_only_no_raw_source_body_payload_for_language_lane","GitHub TeX source exists, but repo metadata indicates physics thesis; not algebra corpus authority without further content gate.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
"R7GH010","Malay-Indonesian","Indonesian","invarian aljabar","Undergraduate Thesis Backup Bab 2 TeX source","kurniawanchandraw","undergraduate thesis; algebra/invariant term search hit","GITHUB_TEX_SOURCE_CANDIDATE_LIMITED_TOPIC","GitHub TeX blob/tree metadata, no source body downloaded","https://github.com/kurniawanchandraw/Undergraduate_Thesis/blob/2f9688f6d832a373019b54bb7ad99136150f8c91/Backup%20Bab%202.tex","kurniawanchandraw/Undergraduate_Thesis","2f9688f6d832a373019b54bb7ad99136150f8c91","Backup Bab 2.tex","public GitHub repository; gh repo view licenseInfo null; no license clearance claimed","github_tree_blob_sha:dbc2a8524b58664d62679a25c554743c3d87e09a","213035","Indonesian signal from path/query","candidate_unverified_no_body_download","true","false","not_downloaded_manifest_only","manifest_only_no_raw_source_body_payload_for_language_lane","Thesis TeX candidate; exact algebra relevance and license require content/source gate.","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion"
