ledger_id,current_branch_head,prior_branch_head,scope_or_language,item_type,evidence_id,source_use_label,source_gate_decision,adverse_evidence_or_limit,branch_weight_update,marginal_intelligibility_update,source_use_update,do_not_use_guardrail,next_action,accepted_translation_evidence,promotion_allowed,native_review_claimed,boundary_note
R9-212DFB1-FABLE-CAPTURE-0001,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,AF05 South Sudan,source_witness_capture_form_and_render,R9-C7FB-CAPTURE-0001,source-witness-capture-kit,exact_phrase_capture_pending,render_ok_pypdfium2,0_until_exact_phrase_page_and_review_gate_closes,0_no_bridge_claim,render/form supports manual capture only; pypdfium2 render retry applied,do not use rendered page/form as accepted term or translation evidence,manual exact phrase/page/formula-neighbor capture,false,false,false,"source-use/recovery/generated-draft/non-canonical only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
R9-212DFB1-FABLE-CAPTURE-0002,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,AF05 South Sudan,source_witness_capture_form_and_render,R9-C7FB-CAPTURE-0002,source-witness-capture-kit,exact_phrase_capture_pending,render_ok_pypdfium2,0_until_exact_phrase_page_and_review_gate_closes,0_no_bridge_claim,render/form supports manual capture only; pypdfium2 render retry applied,do not use rendered page/form as accepted term or translation evidence,manual exact phrase/page/formula-neighbor capture,false,false,false,"source-use/recovery/generated-draft/non-canonical only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
R9-212DFB1-FABLE-CAPTURE-0003,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,AF06 Omotic/Southern Non-Bantu,source_witness_capture_form_and_render,R9-C7FB-CAPTURE-0003,source-witness-capture-kit,exact_phrase_capture_pending,render_ok_pypdfium2,0_until_exact_phrase_page_and_review_gate_closes,0_no_bridge_claim,render/form supports manual capture only; pypdfium2 render retry applied,do not use rendered page/form as accepted term or translation evidence,manual exact phrase/page/formula-neighbor capture,false,false,false,"source-use/recovery/generated-draft/non-canonical only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
R9-212DFB1-FABLE-CAPTURE-0004,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,AF06 Omotic/Southern Non-Bantu,source_witness_capture_form_and_render,R9-C7FB-CAPTURE-0004,source-witness-capture-kit,exact_phrase_capture_pending,render_ok_pypdfium2,0_until_exact_phrase_page_and_review_gate_closes,0_no_bridge_claim,render/form supports manual capture only; pypdfium2 render retry applied,do not use rendered page/form as accepted term or translation evidence,manual exact phrase/page/formula-neighbor capture,false,false,false,"source-use/recovery/generated-draft/non-canonical only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
R9-212DFB1-FABLE-CAPTURE-0005,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,Afar,source_witness_capture_form_and_render,R9-C7FB-CAPTURE-0005,source-witness-capture-kit,exact_phrase_capture_pending,render_ok_pypdfium2,0_until_exact_phrase_page_and_review_gate_closes,0_no_bridge_claim,render/form supports manual capture only; pypdfium2 render retry applied,do not use rendered page/form as accepted term or translation evidence,manual exact phrase/page/formula-neighbor capture,false,false,false,"source-use/recovery/generated-draft/non-canonical only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
R9-212DFB1-FABLE-CAPTURE-0006,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,Afar,source_witness_capture_form_and_render,R9-C7FB-CAPTURE-0006,source-witness-capture-kit,exact_phrase_capture_pending,render_ok_pypdfium2,0_until_exact_phrase_page_and_review_gate_closes,0_no_bridge_claim,render/form supports manual capture only; pypdfium2 render retry applied,do not use rendered page/form as accepted term or translation evidence,manual exact phrase/page/formula-neighbor capture,false,false,false,"source-use/recovery/generated-draft/non-canonical only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
R9-212DFB1-FABLE-CAPTURE-0007,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,Oromo,source_witness_capture_form_and_render,R9-C7FB-CAPTURE-0007,source-witness-capture-kit,exact_phrase_capture_pending,render_ok_pypdfium2,0_until_exact_phrase_page_and_review_gate_closes,0_no_bridge_claim,render/form supports manual capture only; pypdfium2 render retry applied,do not use rendered page/form as accepted term or translation evidence,manual exact phrase/page/formula-neighbor capture,false,false,false,"source-use/recovery/generated-draft/non-canonical only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
R9-212DFB1-FABLE-CAPTURE-0008,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,Oromo,source_witness_capture_form_and_render,R9-C7FB-CAPTURE-0008,source-witness-capture-kit,exact_phrase_capture_pending,render_ok_pypdfium2,0_until_exact_phrase_page_and_review_gate_closes,0_no_bridge_claim,render/form supports manual capture only; pypdfium2 render retry applied,do not use rendered page/form as accepted term or translation evidence,manual exact phrase/page/formula-neighbor capture,false,false,false,"source-use/recovery/generated-draft/non-canonical only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
R9-212DFB1-FABLE-CAPTURE-0009,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,Somali,source_witness_capture_form_and_render,R9-C7FB-CAPTURE-0009,source-witness-capture-kit,exact_phrase_capture_pending,render_ok_pypdfium2,0_until_exact_phrase_page_and_review_gate_closes,0_no_bridge_claim,render/form supports manual capture only; pypdfium2 render retry applied,do not use rendered page/form as accepted term or translation evidence,manual exact phrase/page/formula-neighbor capture,false,false,false,"source-use/recovery/generated-draft/non-canonical only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
R9-212DFB1-FABLE-CAPTURE-0010,212dfb1c7728f7c23274714434aa35d590e1aab7,c7fb7e644e04102b67cc5da379ba9d4226feaef8,Somali,source_witness_capture_form_and_render,R9-C7FB-CAPTURE-0010,source-witness-capture-kit,exact_phrase_capture_pending,render_ok_pypdfium2,0_until_exact_phrase_page_and_review_gate_closes,0_no_bridge_claim,render/form supports manual capture only; pypdfium2 render retry applied,do not use rendered page/form as accepted term or translation evidence,manual exact phrase/page/formula-neighbor capture,false,false,false,"source-use/recovery/generated-draft/non-canonical only; no native review, accepted terminology, approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
