path,bytes,sha256,source_use_label,role,promotion_allowed,accepted_translation_evidence
LOGBOOK_EXCERPT.md,999,5FE95B511DDEB09A9728A2DBDFC2B870F3546A9FD01B77916B9F1611184E1482,source-use/recovery/generated-draft-non-canonical,R9 212dfb1 package file,false,false
R9_212DFB1_B3_UPLOADER_READY_SUMMARY_20260706.csv,1070,F38FBB62887FC327C423A5FF200968007093ED0CDE072C3A2BC8340B11B28B5D,source-use/recovery/generated-draft-non-canonical,R9 212dfb1 package file,false,false
R9_212DFB1_BLOCKERS_RECOVERY_AND_NEXT_ACTIONS_20260706.csv,31634,8DB8A34A5D44266CC5FEE9C21A1FF7E8375E08DF883B9B23AA7ABC1F7ECA048A,source-use/recovery/generated-draft-non-canonical,R9 212dfb1 package file,false,false
R9_212DFB1_BRANCH_VISIBLE_R9_PATH_LEDGER_20260706.csv,138009,978315E5B68188673AA56089333AC296D3B7616878A047E6F31D8282E4C103EA,source-use/recovery/generated-draft-non-canonical,R9 212dfb1 package file,false,false
R9_212DFB1_FABLE_SOURCE_USE_ADVERSE_LEDGER_20260706.csv,40417,BDF3C56F0ED6393DD9BE4010424BDF5AE23BE53CFEAA2BDADC90BB82AFCDD0E7,source-use/recovery/generated-draft-non-canonical,R9 212dfb1 package file,false,false
R9_212DFB1_LOCAL_PACKAGE_VISIBILITY_AND_COUNTS_20260706.csv,5058,35AC4815905F0DD45077CCFD6C8F180DD10DDD73E2BEFDFAEC493D641FFC56E0,source-use/recovery/generated-draft-non-canonical,R9 212dfb1 package file,false,false
R9_212DFB1_MUTUAL_WATCH_RECHECK_20260706.csv,768,1805C9CC99BF6274C38801F0DFB574B4503E0BD41022816EE4A90C75A2ECE5CB,source-use/recovery/generated-draft-non-canonical,R9 212dfb1 package file,false,false
R9_212DFB1_PACKAGE_VALIDATION_20260706.csv,927,2F42BD2C33DB71FBFC9A1E9C3017A551B8B7A8BA47DF1EBAA5DA16C6050CD152,source-use/recovery/generated-draft-non-canonical,R9 212dfb1 package file,false,false
R9_212DFB1_REVIEWER_QUESTION_QUEUE_20260706.csv,12051,5F9775712E5E89552ED6158EE7C87B50AC0982A373A6522FE72DA9EB43C14C42,source-use/recovery/generated-draft-non-canonical,R9 212dfb1 package file,false,false
R9_212DFB1_SOURCE_GATED_DRAFT_PRETRANSLATION_INTERLINEAR_20260706.csv,16718,57F2C7A7922FD86A4EE9D7ADD56F05E7FA1FAA0E9C98D24A527BFCC36B9AF11F,source-use/recovery/generated-draft-non-canonical,R9 212dfb1 package file,false,false
R9_212DFB1_SOURCE_WITNESS_REVIEW_QUEUE_20260706.csv,22365,79F6FF1795C7CF3C8FBA2FEF0F1AEDD3671621DC1C9C102515749EBE89F9B24F,source-use/recovery/generated-draft-non-canonical,R9 212dfb1 package file,false,false
README.md,1494,E97D8BC1EB08FF2B397150BA643160B08639191FA97BC205094EE201FA71B73F,source-use/recovery/generated-draft-non-canonical,R9 212dfb1 package file,false,false
