"blocker_id","scope","blocker_class","exact_path_or_evidence","next_recovery_action","generated_support_status","authority_ethics_boundary"
"R6-INSUFFICIENT-R6-ACTIVE-002","Bislama, Papiamento/Papiamentu, Mauritian/Seychellois/Indian Ocean Creoles, Sranan/Guyanas, Jamaican Creole/Patois, Nigerian Pidgin, Krio, Tok Pisin, others","source_canon_insufficient","source_acquisition_or_gap_only","Kreyol, Mauritius, Krio, Tok Pisin, Nigerian Pidgin, and Cape Verdean Kriolu route/candidate-source addenda are metadata only; continue named-language mathematical source-archive discovery before any source-archive claim.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-003","Cape Verdean Kriolu / Belize Kriol / other T0 creole rows","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_CAPE_VERDEAN_KRIOLU_SOURCE_ROUTE_ADDENDUM_20260705.csv for Cape Verdean Kriolu route/context provenance; exact Kriolu mathematics/STEM body or validated mathematical source archive, source-owner/reviewer return, and reuse decision remain required. Belize Kriol and other T0 creole rows remain separate blockers.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-004","Jamaican Creole / Jamaican Patois","source_canon_insufficient","source_acquisition_or_gap_only","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | Find Jamaican Creole/Patois math/numeracy/literacy-STEM source or reviewer route; English curriculum remains comparator only.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-005","Jamaican Creole/Patois","source_canon_insufficient","source_acquisition_or_gap_only","Find Patois STEM/numeracy witness or reviewer route.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-007","Kreyol/Haitian Creole","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_KREYOL_MIT_AYITI_MENFP_SOURCE_ROUTE_ADDENDUM_20260705.csv for MIT-Ayiti route/context provenance; official MENFP-hosted Kreyol math body, source-owner/reviewer return, and reuse decision remain required.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-008","Kreyol/Haitian Creole, Bislama, Papiamento/Papiamentu, Mauritian/Seychellois/Indian Ocean Creoles, Jamaican Creole/Patois, Nigerian Pidgin, Krio, Tok Pisin, Sranan/Guyanas, and adjacent named creole/contact rows","source_canon_insufficient","source_acquisition_or_gap_only","Use Kreyol GitHub candidate rows, Nigerian Pidgin pcm source-file candidates, and Mauritius/Krio/Tok Pisin/Cape Verdean Kriolu official route captures as blocker metadata only; keep named creole/contact repositories separate and require file-level capture policy, license scope, mathematical content review, and reviewer/source-owner route.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-009","Krio","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_KRIO_SIERRA_LEONE_MBSSE_SOURCE_ROUTE_ADDENDUM_20260705.csv for Krio/Sierra Leone route/context provenance; exact Krio mathematics/STEM body, source-owner/reviewer return, and reuse decision remain required.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-010","Mauritian/Seychellois/Indian Ocean Creoles","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_MAURITIUS_KREOL_MIE_SOURCE_ROUTE_ADDENDUM_20260705.csv for MIE route/context provenance; exact named-language math/STEM body, source-owner/reviewer return, and reuse decision remain required.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-011","Nigerian Pidgin","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_NIGERIAN_PIDGIN_SOURCE_ROUTE_ADDENDUM_20260705.csv for Nigerian Pidgin route/context/candidate-source provenance; exact Nigerian Pidgin mathematics/STEM body or validated mathematical source archive, source-owner/reviewer return, and reuse decision remain required.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-012","Nigerian Pidgin/Krio/Tok Pisin/Cape Verdean/Belize","source_canon_insufficient","source_acquisition_or_gap_only","Nigerian Pidgin, Krio, Tok Pisin, and Cape Verdean Kriolu route contexts are now recorded in dated addenda; keep Belize Kriol and other rows separate and unresolved until exact named-language evidence lands.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-013","Papiamento/Papiamentu","source_canon_insufficient","source_acquisition_or_gap_only","Use the 20260705 Aruba route retry addendum for EA.AW blocker provenance; still split Aruba Papiamento vs Curacao Papiamentu and resolve exact source-body access before concept or support movement.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-014","Papiamento/Papiamentu - Aruba","source_canon_insufficient","source_acquisition_or_gap_only","Existing strict context rows do not close EA.AW catalog blockers. Use the 20260705 Aruba route retry addendum for Map/Rampa route evidence; resolve PDF source-body access, Aruba Papiamento reviewer/source-owner route, and reuse/license signal before source-authority or support movement.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-015","Sranan / Saramaccan / Ndyuka / Guyanese Creole","source_canon_insufficient","source_acquisition_or_gap_only","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | Find Suriname/Sranan or related named-language math/STEM source; keep Saramaccan/Ndyuka/Guyanese separate.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-016","Sranan/Saramaccan/Ndyuka/Guyanese","source_canon_insufficient","source_acquisition_or_gap_only","Find language-specific STEM sources; keep each named language separate.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-017","Tok Pisin","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_TOK_PISIN_PNG_FODE_SOURCE_ROUTE_ADDENDUM_20260705.csv for Tok Pisin/PNG route/context provenance; exact Tok Pisin mathematics/STEM body, source-owner/reviewer return, and reuse decision remain required.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-019","Ecuador EIB","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_ECUADOR_EIB_KICHWA_CNIB_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve official CNIB/Kichwa PDF source-body access or source-owner route before any support movement.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-020","Guarani/Paraguay","source_canon_insufficient","source_acquisition_or_gap_only","Resolve MEC page/direct file links through allowed browser/API/source-owner/manual route; if captured later, record exact URL, local path, byte count, SHA-256, language/topic tags, source-owner/reviewer route, and reuse/license signal before support movement.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-021","Krio/Sierra Leone","source_canon_insufficient","source_acquisition_or_gap_only","Retry via browser/manual stack; classify as national curriculum context, not Krio STEM witness until language-specific evidence exists.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-022","Mexico CONALITEG Indigenous books","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_MEXICO_CONALITEG_INDIGENOUS_ROUTE_RETRY_ADDENDUM_20260705.csv as catalogue-route blocker/provenance metadata only; resolve linked book/viewer/PDF source-body access or source-owner route before any support movement.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-023","Papiamento/Papiamentu - Aruba","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_ARUBA_PAPIAMENTO_SOURCE_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve EA.AW PDF source-body access, official mirror/archive, or source-owner route before any support movement.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-024","Quechua/Bolivia","source_canon_insufficient","source_acquisition_or_gap_only","Record Bolivia Quechua/EIB source-owner or qualified reviewer route plus reuse/license decision before source-authority, terms, excerpts, OCR reuse, translation, visual inventory, pilot, or package payload movement.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-025","Uspanteko/Guatemala","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_GUATEMALA_USPANTEKO_DIGEBI_SOURCE_CAPTURE_ADDENDUM_20260705.csv as capture provenance only; record DIGEBI/source-owner or qualified Uspanteko education reviewer route plus reuse/license decision before source-authority, terms, excerpts, translation, visual inventory, pilot, or package payload movement.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-026","Aymara","source_canon_insufficient","source_acquisition_or_gap_only","no Quechua/Aymara bridge, copied excerpt, term promotion, translation, constructed crosswalk, surface, or pilot | Retry through browser/manual/source-owner route before treating live URL as stable; do not change license/source-authority state.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-027","Bolivia Quechua","source_canon_insufficient","source_acquisition_or_gap_only","Record Bolivia Quechua/EIB source-owner or qualified reviewer route plus reuse/license decision before source-authority, terms, excerpts, OCR reuse, translation, visual inventory, pilot, or package payload movement.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-028","Bolivia Quechua candidate","source_canon_insufficient","source_acquisition_or_gap_only","no accepted source authority, crosswalk, terms, excerpts, reuse, translation, constructed surface, or pilot","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-029","Bolivia Quechua longitudes","source_canon_insufficient","source_acquisition_or_gap_only","Record Bolivia Quechua/EIB source-owner or qualified reviewer route plus reuse/license decision before source-authority, terms, excerpts, OCR reuse, translation, visual inventory, pilot, or package payload movement.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-030","Bolivia Red Minedu repository","source_canon_insufficient","source_acquisition_or_gap_only","Record Bolivia Quechua/EIB source-owner or qualified reviewer route plus reuse/license decision before source-authority, terms, excerpts, OCR reuse, translation, visual inventory, pilot, or package payload movement.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-031","Ecuador EIB","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_ECUADOR_EIB_KICHWA_CNIB_ROUTE_RETRY_ADDENDUM_20260705.csv as route blocker/provenance metadata only; resolve official CNIB/Kichwa PDF source-body access and keep each Ecuador CNIB language/level separate before support movement.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-032","Ecuador Ministry EIB pages","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_ECUADOR_EIB_KICHWA_CNIB_ROUTE_RETRY_ADDENDUM_20260705.csv for the CNIB/Kichwa route blocker; keep R6-IA-P3-005 unresolved separately until the EGB Intercultural Bilingue page is retried.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-INSUFFICIENT-R6-ACTIVE-033","Guatemala DIGEBI product pages","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_GUATEMALA_USPANTEKO_DIGEBI_SOURCE_CAPTURE_ADDENDUM_20260705.csv as capture provenance only; record DIGEBI/source-owner or qualified Uspanteko education reviewer route plus reuse/license decision before source-authority, terms, excerpts, translation, visual inventory, pilot, or package payload movement.","source_recovery_only_no_draft_support_from_this_row","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
