"Lane","RelativePath","Extension","SizeBytes","LastWriteTimeUtc","Category","IsBodyCandidate"
"noether-r9-africa-horn-west","R9_FABLE_INTERLANGUAGE_SOURCE_BODY_LEDGER_20260705\SHA256SUMS.txt",".txt","8558","2026-07-06T04:38:27.5492995Z","manifest_or_hash","True"
"noether-r9-africa-horn-west","R9_FABLE_INTERLANGUAGE_SOURCE_BODY_LEDGER_20260705\MANIFEST.csv",".csv","14316","2026-07-06T04:38:27.5492995Z","manifest_or_hash","True"
"noether-r9-africa-horn-west","R9_C7FB_AUTHORITY_FABLE_SYNC_20260706\MANIFEST.csv",".csv","1659","2026-07-06T04:38:26.3913369Z","manifest_or_hash","True"
"noether-r9-africa-horn-west","R9_C7FB_AUTHORITY_FABLE_SYNC_20260706\SHA256SUMS.txt",".txt","930","2026-07-06T04:38:26.3913369Z","manifest_or_hash","True"
"noether-r9-africa-horn-west","R9_8F7D1CB_BATCH1_EXTRACTION_ATTEMPT_20260706\SHA256SUMS.txt",".txt","829","2026-07-06T04:38:26.2449497Z","manifest_or_hash","True"
"noether-r9-africa-horn-west","R9_8F7D1CB_BATCH1_EXTRACTION_ATTEMPT_20260706\MANIFEST.csv",".csv","1576","2026-07-06T04:38:26.2439459Z","manifest_or_hash","True"
"noether-r9-africa-horn-west","R9_WHOLE_CORPUS_8F7D1CB_CONTINUATION_FOLLOWUP_20260706\SHA256SUMS.txt",".txt","803","2026-07-06T04:38:26.2241904Z","manifest_or_hash","True"
"noether-r9-africa-horn-west","R9_WHOLE_CORPUS_8F7D1CB_CONTINUATION_FOLLOWUP_20260706\MANIFEST.csv",".csv","1509","2026-07-06T04:38:26.2221822Z","manifest_or_hash","True"
"noether-r9-africa-horn-west","R9_8F7D_NEXT_RECOVERY_SCAFFOLD_20260706\MANIFEST.csv",".csv","2856","2026-07-06T04:38:26.2057088Z","manifest_or_hash","True"
"noether-r9-africa-horn-west","R9_8F7D_NEXT_RECOVERY_SCAFFOLD_20260706\SHA256SUMS.txt",".txt","1562","2026-07-06T04:38:26.2057088Z","manifest_or_hash","True"
"noether-github-pr-branch-steward","OLD_B_C7FB_STEWARD_ALIGNMENT_AUDIT_20260706T063651\SHA256SUMS.txt",".txt","2026","2026-07-06T04:37:54.1645725Z","manifest_or_hash","True"
"noether-github-pr-branch-steward","OLD_B_C7FB_STEWARD_ALIGNMENT_AUDIT_20260706T063651\MANIFEST.csv",".csv","2154","2026-07-06T04:37:54.0520063Z","manifest_or_hash","True"
"noether-github-pr-branch-steward","OLD_B_C7FB_STEWARD_ALIGNMENT_AUDIT_20260706T063651\B3_UPLOADER_READY_QUEUE_AND_DRIFT.csv",".csv","1020","2026-07-06T04:37:51.6794871Z","readme_logbook_heartbeat_queue","True"
"noether-github-package-steward-b3","B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706\B3_POST_C7FB7E_R6_PRIORITY_RETRY_ACTUAL_COMMITTED_FILES_SHA256SUMS_20260706.txt",".txt","3676","2026-07-06T04:37:51.2396750Z","manifest_or_hash","True"
"noether-github-package-steward-b3","B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706\B3_POST_C7FB7E_R6_PRIORITY_RETRY_ACTUAL_COMMITTED_FILES_MANIFEST_20260706.csv",".csv","11953","2026-07-06T04:37:51.1862873Z","manifest_or_hash","True"
"noether-github-package-steward-b3","B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706\B3_POST_C7FB7E_R6_PRIORITY_RETRY_UPLOAD_AUDIT_20260706.md",".md","1929","2026-07-06T04:37:51.1862873Z","readme_logbook_heartbeat_queue","True"
"noether-interlanguage-method-authority","INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_CONTINUATION_20260706\SHA256SUMS.txt",".txt","7401","2026-07-06T04:37:32.3978584Z","manifest_or_hash","True"
"noether-interlanguage-method-authority","INTERLANGUAGE_WHOLE_CORPUS_C7FB7E_CONTINUATION_20260706\MANIFEST.csv",".csv","7629","2026-07-06T04:37:32.3969537Z","manifest_or_hash","True"
"noether-github-pr-branch-steward","OLD_B_C7FB_STEWARD_ALIGNMENT_AUDIT_20260706T063651\LOCAL_OUTPUT_BODY_QUEUE_CANDIDATES_LATEST200.csv",".csv","0","2026-07-06T04:37:28.9583483Z","readme_logbook_heartbeat_queue","True"
"noether-github-pr-branch-steward","OLD_B_C7FB_STEWARD_ALIGNMENT_AUDIT_20260706T063651\LOCAL_NOETHER_OUTPUT_FILE_LEDGER_NO_HASH.csv",".csv","0","2026-07-06T04:37:28.9523212Z","manifest_or_hash","True"
"noether-github-pr-branch-steward","OLD_B_C7FB_STEWARD_ALIGNMENT_AUDIT_20260706T063651\DELTA_UPLOAD_READY_OR_DRIFT_PATHS.csv",".csv","17239","2026-07-06T04:37:22.5780635Z","other_branch_artifact","True"
"noether-github-pr-branch-steward","OLD_B_C7FB_STEWARD_ALIGNMENT_AUDIT_20260706T063651\DELTA_96325_TO_C7FB_FILE_LEDGER.csv",".csv","18218","2026-07-06T04:37:22.0993004Z","other_branch_artifact","True"
"noether-r9-africa-horn-west","R9_C7FB_AUTHORITY_FABLE_SYNC_20260706\LOGBOOK_EXCERPT.md",".md","694","2026-07-06T04:37:04.9819944Z","readme_logbook_heartbeat_queue","True"
"noether-r9-africa-horn-west","R9_C7FB_AUTHORITY_FABLE_SYNC_20260706\README.md",".md","1245","2026-07-06T04:37:04.9812536Z","readme_logbook_heartbeat_queue","True"
"noether-r9-africa-horn-west","R9_C7FB_AUTHORITY_FABLE_SYNC_20260706\R9_C7FB_B3_UPLOADER_READY_SUMMARY_20260706.csv",".csv","785","2026-07-06T04:37:04.9792492Z","fable_source_use_or_adverse_ledger","True"
"noether-r9-africa-horn-west","R9_C7FB_AUTHORITY_FABLE_SYNC_20260706\R9_C7FB_FABLE_BRANCH_WEIGHT_MARGINAL_SOURCE_USE_ADVERSE_LEDGER_20260706.csv",".csv","43142","2026-07-06T04:37:04.9792492Z","fable_source_use_or_adverse_ledger","True"
"noether-r9-africa-horn-west","R9_FABLE_INTERLANGUAGE_SOURCE_BODY_LEDGER_20260705\r9_c7fb_fable_branch_weight_marginal_source_use_adverse_ledger_20260706.csv",".csv","43142","2026-07-06T04:37:04.9792492Z","fable_source_use_or_adverse_ledger","True"
"noether-r9-africa-horn-west","R9_C7FB_AUTHORITY_FABLE_SYNC_20260706\R9_C7FB_VISIBLE_IDLE_SIBLING_WAKE_RECORD_20260706.csv",".csv","2336","2026-07-06T04:37:04.9760802Z","fable_source_use_or_adverse_ledger","True"
"noether-r9-africa-horn-west","R9_FABLE_INTERLANGUAGE_SOURCE_BODY_LEDGER_20260705\r9_c7fb_visible_idle_sibling_wake_record_20260706.csv",".csv","2336","2026-07-06T04:37:04.9760802Z","fable_source_use_or_adverse_ledger","True"
