"Lane","RelativePath","Extension","SizeBytes","LastWriteTimeUtc","Category","IsBodyCandidate"
"noether-arabic-rtl-source-evidence-draft-lane","ARABIC_RTL_8F7_FABLE_SOURCE_USE_NORMALIZATION_RECHECK_20260706\ARABIC_8F7_FABLE_NORMALIZATION_BLOCKERS_20260706.csv",".csv","692","2026-07-06T04:22:25.8776520Z","fable_source_use_or_adverse_ledger","True"
"noether-arabic-rtl-source-evidence-draft-lane","ARABIC_RTL_8F7_FABLE_SOURCE_USE_NORMALIZATION_RECHECK_20260706\ARABIC_8F7_FABLE_NORMALIZATION_SUMMARY_20260706.csv",".csv","582","2026-07-06T04:22:25.8756428Z","fable_source_use_or_adverse_ledger","True"
"noether-arabic-rtl-source-evidence-draft-lane","ARABIC_RTL_8F7_FABLE_SOURCE_USE_NORMALIZATION_RECHECK_20260706\ARABIC_8F7_NORMALIZATION_DO_NOT_USE_CHECK_20260706.csv",".csv","14379","2026-07-06T04:22:25.2332391Z","fable_source_use_or_adverse_ledger","True"
"noether-arabic-rtl-source-evidence-draft-lane","ARABIC_RTL_8F7_FABLE_SOURCE_USE_NORMALIZATION_RECHECK_20260706\B3_UPLOADER_ROUTE_8F7_FABLE_NORMALIZATION_20260706.csv",".csv","488","2026-07-06T04:22:25.8806670Z","fable_source_use_or_adverse_ledger","True"
"noether-arabic-rtl-source-evidence-draft-lane","ARABIC_RTL_8F7_FABLE_SOURCE_USE_NORMALIZATION_RECHECK_20260706\DO_NOT_USE_HIT_SUMMARY_20260706.csv",".csv","1234","2026-07-06T04:22:25.2846115Z","fable_source_use_or_adverse_ledger","True"
"noether-arabic-rtl-source-evidence-draft-lane","ARABIC_RTL_8F7_FABLE_SOURCE_USE_NORMALIZATION_RECHECK_20260706\FABLE_REQUIRED_LEDGER_FILE_RECHECK_20260706.csv",".csv","3699","2026-07-06T04:22:24.9756164Z","fable_source_use_or_adverse_ledger","True"
"noether-arabic-rtl-source-evidence-draft-lane","ARABIC_RTL_8F7_FABLE_SOURCE_USE_NORMALIZATION_RECHECK_20260706\FABLE_SOURCE_USE_MARGINAL_INTELLIGIBILITY_CROSSCHECK_20260706.csv",".csv","1106","2026-07-06T04:22:25.3418132Z","fable_source_use_or_adverse_ledger","True"
"noether-arabic-rtl-source-evidence-draft-lane","ARABIC_RTL_8F7_FABLE_SOURCE_USE_NORMALIZATION_RECHECK_20260706\LOGBOOK_EXCERPT_20260706.md",".md","785","2026-07-06T04:22:25.8927077Z","readme_logbook_heartbeat_queue","True"
"noether-arabic-rtl-source-evidence-draft-lane","ARABIC_RTL_8F7_FABLE_SOURCE_USE_NORMALIZATION_RECHECK_20260706\MANIFEST.csv",".csv","3920","2026-07-06T04:22:25.9815970Z","manifest_or_hash","True"
"noether-arabic-rtl-source-evidence-draft-lane","ARABIC_RTL_8F7_FABLE_SOURCE_USE_NORMALIZATION_RECHECK_20260706\README.md",".md","638","2026-07-06T04:22:25.8906995Z","readme_logbook_heartbeat_queue","True"
"noether-arabic-rtl-source-evidence-draft-lane","ARABIC_RTL_8F7_FABLE_SOURCE_USE_NORMALIZATION_RECHECK_20260706\SHA256SUMS.txt",".txt","1645","2026-07-06T04:22:26.0192044Z","manifest_or_hash","True"
"noether-arabic-rtl-source-evidence-draft-lane","ARABIC_RTL_8F7_SOURCE_BODY_LOCATOR_CODEPOINT_RECHECK_20260706\ARABIC_8F7_CODEPOINT_SOURCE_LOCATOR_SUMMARY_20260706.csv",".csv","810","2026-07-06T04:17:45.2694673Z","other_branch_artifact","True"
