"Lane","Files","Bytes","LatestWriteUtc","BodyQueueCandidateFiles","ManifestShaLike","GeneratedDraftLike","SourceBodyLike"
"noether-arabic-rtl-source-evidence-draft-lane","351","47740398","2026-07-06T04:22:26.0192044Z","310","80","13","26"
"noether-cjk-native-source-evidence","692","19063104","2026-07-06T04:24:00.1961558Z","632","221","17","18"
"noether-cjk-source-evidence-draft-lane","459","42028884","2026-07-06T04:30:55.4507949Z","387","137","20","33"
"noether-github-package-steward-b3","97","310000033","2026-07-06T04:37:51.2396750Z","64","25","5","1"
"noether-github-pr-branch-steward","136","11235051","2026-07-06T04:37:54.1645725Z","59","32","0","2"
"noether-interlanguage-method-authority","456","138732401","2026-07-06T04:37:43.4979720Z","309","58","44","26"
"noether-non-slavic-core-lane","162","3728505","2026-07-06T04:27:49.9416520Z","110","29","8","0"
"noether-olp-relation-function-support","334","4471949","2026-07-06T04:22:30.0513113Z","244","48","14","8"
"noether-persianate-tajik-source-evidence-draft-lane","321","81084563","2026-07-06T04:27:25.3983623Z","282","51","41","36"
"noether-r2-pan-turkic-hard-blockers","672","455273573","2026-07-06T04:26:13.2757898Z","600","127","3","18"
"noether-r3-arabic-persianate-linear-algebra","1297","355047891","2026-07-06T04:36:11.8903886Z","1149","408","7","48"
"noether-r6-indigenous-creole-sign","741","734959476","2026-07-06T04:31:54.4873875Z","678","63","33","299"
"noether-r7-malay-sea-pacific","512","285913147","2026-07-06T04:25:13.1939261Z","420","38","69","54"
"noether-r9-africa-horn-west","336","2650186756","2026-07-06T04:38:27.5492995Z","248","19","17","10"
"noether-romance-source-evidence-draft-lane","576","1171572620","2026-07-06T04:27:54.8709187Z","500","71","32","40"
"noether-slavic-canonical-baseline","968","218163868","2026-07-06T04:27:45.6123779Z","760","183","14","125"
