"Status","Path","Root","Extension","Category","SourceBodyish"
"M","handoff-bodies/olp-relation-function-support-20260705/README.md","handoff-bodies",".md","readme_logbook_heartbeat_queue","False"
"M","handoff-bodies/olp-relation-function-support-20260705/SOURCE_USE_LABELS.csv","handoff-bodies",".csv","fable_source_use_or_adverse_ledger","False"
"M","handoff-bodies/olp-relation-function-support-20260705/blockers/BLOCKERS.csv","handoff-bodies",".csv","blocker_recovery_or_uploader_route","False"
"M","handoff-bodies/olp-relation-function-support-20260705/bodies/aata/cache_manifest.json","handoff-bodies",".json","manifest_or_hash","False"
"M","handoff-bodies/olp-relation-function-support-20260705/bodies/dmoi/cache_manifest.json","handoff-bodies",".json","manifest_or_hash","False"
"M","handoff-bodies/olp-relation-function-support-20260705/bodies/dmoi/github_LICENSE_at_edition.txt","handoff-bodies",".txt","other_branch_artifact","False"
"M","handoff-bodies/olp-relation-function-support-20260705/bodies/dmoi/github_LICENSE_at_main.txt","handoff-bodies",".txt","other_branch_artifact","False"
"M","handoff-bodies/olp-relation-function-support-20260705/bodies/fcla/COPYING_at_master.txt","handoff-bodies",".txt","other_branch_artifact","False"
"M","handoff-bodies/olp-relation-function-support-20260705/bodies/fcla/cache_manifest.json","handoff-bodies",".json","manifest_or_hash","False"
"M","handoff-bodies/olp-relation-function-support-20260705/bodies/openlogic-olp/LICENSE.md","handoff-bodies",".md","other_branch_artifact","False"
"M","handoff-bodies/olp-relation-function-support-20260705/bodies/openlogic-olp/README.md","handoff-bodies",".md","readme_logbook_heartbeat_queue","False"
"M","handoff-bodies/olp-relation-function-support-20260705/bodies/openlogic-olp/open-logic-complete.tex","handoff-bodies",".tex","tex_family_body","False"
"M","handoff-bodies/olp-relation-function-support-20260705/bodies/openlogic-olp/sets-functions-relations-complete.tex","handoff-bodies",".tex","tex_family_body","False"
"M","handoff-bodies/olp-relation-function-support-20260705/bodies/openlogic-olp/sets-functions-relations.tex","handoff-bodies",".tex","tex_family_body","False"
"M","handoff-bodies/olp-relation-function-support-20260705/generated-draft/DRAFT_SUPPORT_SCAFFOLDS.csv","handoff-bodies",".csv","draft_noncanonical_support","False"
"M","handoff-bodies/olp-relation-function-support-20260705/generated-draft/README.md","handoff-bodies",".md","draft_noncanonical_support","False"
"M","handoff-bodies/olp-relation-function-support-20260705/logbook/LOGBOOK_EXCERPT.md","handoff-bodies",".md","readme_logbook_heartbeat_queue","False"
"M","interlanguage-sidecar/fable-ledger-block-20260705/MANIFEST.csv","interlanguage-sidecar",".csv","manifest_or_hash","False"
"M","interlanguage-sidecar/fable-ledger-block-20260705/SHA256SUMS.txt","interlanguage-sidecar",".txt","manifest_or_hash","False"
"M","language-source-bodies/arabic-rtl-source-bodies-20260705/ar/MANIFEST.csv","language-source-bodies",".csv","source_body_or_witness","True"
"M","language-source-bodies/arabic-rtl-source-bodies-20260705/ar/SHA256SUMS.txt","language-source-bodies",".txt","source_body_or_witness","True"
"M","language-source-bodies/arabic-rtl-source-bodies-20260705/ar/extracted-ocr-witnesses/20260705T035500Z_arabic_official_pdf_probe/downloads/damascus_algebraic_structures_2_ring_theory.first5.txt","language-source-bodies",".txt","source_body_or_witness","True"
"M","language-source-bodies/arabic-rtl-source-bodies-20260705/ar/extracted-ocr-witnesses/20260705T035500Z_arabic_official_pdf_probe/downloads/ksu_group_theory_course_spec.first5.txt","language-source-bodies",".txt","source_body_or_witness","True"
"M","language-source-bodies/arabic-rtl-source-bodies-20260705/ar/extracted-ocr-witnesses/20260705T035500Z_arabic_official_pdf_probe/downloads/uotelafer_group_theory_lectures.first5.txt","language-source-bodies",".txt","source_body_or_witness","True"
