"rel_path","line","severity","excerpt"
"PACKAGE_VALIDATION.json","24","review-context","  ""variable_placeholder_scan"": ""clean for shell/PowerShell variable-placeholder patterns; validation note avoids literal token spellings"","
"R3_0D148231_BLOCKERS_ACTIVE_RECOVERY_ROWS.csv","1","review-context","""current_head"",""prior_source_head"",""source_table"",""source_packet"",""source_use_label_5dcc"",""source_row_head"",""source_use_label_963f"",""source_use_label_e58"",""blocker_id"",""lane"",""category"",""gap_or_blocker"",""priority"",""observed_evidence"",""requi"
"R3_0D148231_BLOCKERS_ACTIVE_RECOVERY_ROWS.csv","2","review-context","""0d148231ec91503b4083a187a738ddaf3a0abeae"",""9bbcb11b3e68d29ab98d3dee20ebf27855aed936"",""R3_9BBCB11B_COMBINED_BLOCKERS_ACTIVE_RECOVERY.csv"",""R3_5DCC7BF5_E58_PACKET_VISIBILITY_20260706T122646Z"",""active-recovery-blocker-branch-visible-carry-for"
"R3_0D148231_BLOCKERS_ACTIVE_RECOVERY_ROWS.csv","3","review-context","""0d148231ec91503b4083a187a738ddaf3a0abeae"",""9bbcb11b3e68d29ab98d3dee20ebf27855aed936"",""R3_9BBCB11B_COMBINED_BLOCKERS_ACTIVE_RECOVERY.csv"",""R3_5DCC7BF5_E58_PACKET_VISIBILITY_20260706T122646Z"",""active-recovery-blocker-branch-visible-carry-for"
"R3_0D148231_BLOCKERS_ACTIVE_RECOVERY_ROWS.csv","4","review-context","""0d148231ec91503b4083a187a738ddaf3a0abeae"",""9bbcb11b3e68d29ab98d3dee20ebf27855aed936"",""R3_9BBCB11B_COMBINED_BLOCKERS_ACTIVE_RECOVERY.csv"",""R3_5DCC7BF5_E58_PACKET_VISIBILITY_20260706T122646Z"",""active-recovery-blocker-branch-visible-carry-for"
"R3_0D148231_BLOCKERS_ACTIVE_RECOVERY_ROWS.csv","5","review-context","""0d148231ec91503b4083a187a738ddaf3a0abeae"",""9bbcb11b3e68d29ab98d3dee20ebf27855aed936"",""R3_9BBCB11B_COMBINED_BLOCKERS_ACTIVE_RECOVERY.csv"",""R3_5DCC7BF5_E58_PACKET_VISIBILITY_20260706T122646Z"",""active-recovery-blocker-branch-visible-carry-for"
"R3_0D148231_BLOCKERS_ACTIVE_RECOVERY_ROWS.csv","6","review-context","""0d148231ec91503b4083a187a738ddaf3a0abeae"",""9bbcb11b3e68d29ab98d3dee20ebf27855aed936"",""R3_9BBCB11B_COMBINED_BLOCKERS_ACTIVE_RECOVERY.csv"",""R3_5DCC7BF5_E58_PACKET_VISIBILITY_20260706T122646Z"",""active-recovery-blocker-branch-visible-carry-for"
"R3_0D148231_BLOCKERS_ACTIVE_RECOVERY_ROWS.csv","7","review-context","""0d148231ec91503b4083a187a738ddaf3a0abeae"",""9bbcb11b3e68d29ab98d3dee20ebf27855aed936"",""R3_9BBCB11B_COMBINED_BLOCKERS_ACTIVE_RECOVERY.csv"",""R3_5DCC7BF5_E58_PACKET_VISIBILITY_20260706T122646Z"",""active-recovery-blocker-branch-visible-carry-for"
"R3_0D148231_BLOCKERS_ACTIVE_RECOVERY_ROWS.csv","8","review-context","""0d148231ec91503b4083a187a738ddaf3a0abeae"",""9bbcb11b3e68d29ab98d3dee20ebf27855aed936"",""R3_9BBCB11B_COMBINED_BLOCKERS_ACTIVE_RECOVERY.csv"",""R3_5DCC7BF5_E58_PACKET_VISIBILITY_20260706T122646Z"",""active-recovery-blocker-branch-visible-carry-for"
"R3_0D148231_BLOCKERS_ACTIVE_RECOVERY_ROWS.csv","9","review-context","""0d148231ec91503b4083a187a738ddaf3a0abeae"",""9bbcb11b3e68d29ab98d3dee20ebf27855aed936"",""R3_9BBCB11B_COMBINED_BLOCKERS_ACTIVE_RECOVERY.csv"",""R3_5DCC7BF5_E58_PACKET_VISIBILITY_20260706T122646Z"",""active-recovery-blocker-branch-visible-carry-for"
