"root","path","line","text","classification"
"R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION_20260706\R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION_20260706_20260706T131552Z\R3_8E491924_SOURCE_WITNESS_INDEX_CARRYFORWARD.csv","1113","8e49192488fe23517eda3c58e5a7e1b7abf82bd0,9bbcb11b3e68d29ab98d3dee20ebf27855aed936,R3_9BBCB11B_ZIP_SOURCE_BODY_WITNESS_ROUTING.csv,modern-latex-manuscripts-20260609-174659/sources/classical/cayley-current-slice-and-source-rebuild-2026-05-29/cayley_clean_per_volume_public/sources_tex_Vol_VIII/_gap_placeholders/gap_217_241.tex,R3 review,consume only as source witness after independent gate check; title/path-only evidence remains blocker,zip-source-corpus-routing,carried forward under 8E491924 after branch-visible corrected CF4E package; source-use boundaries unchanged","source-path-or-lane-literal-review"
"R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION_20260706\R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION_20260706_20260706T131552Z\R3_8E491924_SOURCE_WITNESS_INDEX_CARRYFORWARD.csv","1114","8e49192488fe23517eda3c58e5a7e1b7abf82bd0,9bbcb11b3e68d29ab98d3dee20ebf27855aed936,R3_9BBCB11B_ZIP_SOURCE_BODY_WITNESS_ROUTING.csv,modern-latex-manuscripts-20260609-174659/sources/classical/cayley-current-slice-and-source-rebuild-2026-05-29/cayley_clean_per_volume_public/sources_tex_Vol_VIII/_gap_placeholders/gap_292_316.tex,R3 review,consume only as source witness after independent gate check; title/path-only evidence remains blocker,zip-source-corpus-routing,carried forward under 8E491924 after branch-visible corrected CF4E package; source-use boundaries unchanged","source-path-or-lane-literal-review"
"R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION_20260706\R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION_20260706_20260706T131552Z\R3_8E491924_SOURCE_WITNESS_INDEX_CARRYFORWARD.csv","1115","8e49192488fe23517eda3c58e5a7e1b7abf82bd0,9bbcb11b3e68d29ab98d3dee20ebf27855aed936,R3_9BBCB11B_ZIP_SOURCE_BODY_WITNESS_ROUTING.csv,modern-latex-manuscripts-20260609-174659/sources/classical/cayley-current-slice-and-source-rebuild-2026-05-29/cayley_clean_per_volume_public/sources_tex_Vol_VIII/_gap_placeholders/gap_517_566.tex,R3 review,consume only as source witness after independent gate check; title/path-only evidence remains blocker,zip-source-corpus-routing,carried forward under 8E491924 after branch-visible corrected CF4E package; source-use boundaries unchanged","source-path-or-lane-literal-review"
"R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION_20260706\R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION_20260706_20260706T131552Z\R3_8E491924_SOURCE_WITNESS_INDEX_CARRYFORWARD.csv","1750","8e49192488fe23517eda3c58e5a7e1b7abf82bd0,9bbcb11b3e68d29ab98d3dee20ebf27855aed936,R3_9BBCB11B_ZIP_SOURCE_BODY_WITNESS_ROUTING.csv,modern-latex-manuscripts-20260609-174659/sources/dirichlet/Dirichlet_R22_XXXVII_XLI_20260604/cum/index/order_I-XLI.csv,R3 review,consume only as source witness after independent gate check; title/path-only evidence remains blocker,zip-source-corpus-routing,carried forward under 8E491924 after branch-visible corrected CF4E package; source-use boundaries unchanged","source-path-or-lane-literal-review"
"R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION_20260706\R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION_20260706_20260706T131552Z\R3_8E491924_SOURCE_WITNESS_INDEX_CARRYFORWARD.csv","1751","8e49192488fe23517eda3c58e5a7e1b7abf82bd0,9bbcb11b3e68d29ab98d3dee20ebf27855aed936,R3_9BBCB11B_ZIP_SOURCE_BODY_WITNESS_ROUTING.csv,modern-latex-manuscripts-20260609-174659/sources/dirichlet/Dirichlet_R22_XXXVII_XLI_20260604/cum/index/order_I-XLI.md,R3 review,consume only as source witness after independent gate check; title/path-only evidence remains blocker,zip-source-corpus-routing,carried forward under 8E491924 after branch-visible corrected CF4E package; source-use boundaries unchanged","source-path-or-lane-literal-review"
"R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION_20260706\R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION_20260706_20260706T131552Z\R3_8E491924_SOURCE_WITNESS_INDEX_CARRYFORWARD.csv","1752","8e49192488fe23517eda3c58e5a7e1b7abf82bd0,9bbcb11b3e68d29ab98d3dee20ebf27855aed936,R3_9BBCB11B_ZIP_SOURCE_BODY_WITNESS_ROUTING.csv,modern-latex-manuscripts-20260609-174659/sources/dirichlet/Dirichlet_R22_XXXVII_XLI_20260604/new/en/tex/37_kronecker_en.tex,R3 review,consume only as source witness after independent gate check; title/path-only evidence remains blocker,zip-source-corpus-routing,carried forward under 8E491924 after branch-visible corrected CF4E package; source-use boundaries unchanged","source-path-or-lane-literal-review"
"R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION_20260706\R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION_20260706_20260706T131552Z\R3_8E491924_SOURCE_WITNESS_INDEX_CARRYFORWARD.csv","1753","8e49192488fe23517eda3c58e5a7e1b7abf82bd0,9bbcb11b3e68d29ab98d3dee20ebf27855aed936,R3_9BBCB11B_ZIP_SOURCE_BODY_WITNESS_ROUTING.csv,modern-latex-manuscripts-20260609-174659/sources/dirichlet/Dirichlet_R22_XXXVII_XLI_20260604/new/en/tex/38_humboldt_en.tex,R3 review,consume only as source witness after independent gate check; title/path-only evidence remains blocker,zip-source-corpus-routing,carried forward under 8E491924 after branch-visible corrected CF4E package; source-use boundaries unchanged","source-path-or-lane-literal-review"
"R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION_20260706\R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION_20260706_20260706T131552Z\R3_8E491924_SOURCE_WITNESS_INDEX_CARRYFORWARD.csv","1754","8e49192488fe23517eda3c58e5a7e1b7abf82bd0,9bbcb11b3e68d29ab98d3dee20ebf27855aed936,R3_9BBCB11B_ZIP_SOURCE_BODY_WITNESS_ROUTING.csv,modern-latex-manuscripts-20260609-174659/sources/dirichlet/Dirichlet_R22_XXXVII_XLI_20260604/new/en/tex/39_dedekind_note_en.tex,R3 review,consume only as source witness after independent gate check; title/path-only evidence remains blocker,zip-source-corpus-routing,carried forward under 8E491924 after branch-visible corrected CF4E package; source-use boundaries unchanged","source-path-or-lane-literal-review"
"R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION_20260706\R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION_20260706_20260706T131552Z\R3_8E491924_SOURCE_WITNESS_INDEX_CARRYFORWARD.csv","1755","8e49192488fe23517eda3c58e5a7e1b7abf82bd0,9bbcb11b3e68d29ab98d3dee20ebf27855aed936,R3_9BBCB11B_ZIP_SOURCE_BODY_WITNESS_ROUTING.csv,modern-latex-manuscripts-20260609-174659/sources/dirichlet/Dirichlet_R22_XXXVII_XLI_20260604/new/orig/tex/37_kronecker_de.tex,R3 review,consume only as source witness after independent gate check; title/path-only evidence remains blocker,zip-source-corpus-routing,carried forward under 8E491924 after branch-visible corrected CF4E package; source-use boundaries unchanged","source-path-or-lane-literal-review"
"R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION_20260706\R3_8E491924_CURRENT_HEAD_SOURCE_GATED_CONTINUATION_20260706_20260706T131552Z\R3_8E491924_SOURCE_WITNESS_INDEX_CARRYFORWARD.csv","1756","8e49192488fe23517eda3c58e5a7e1b7abf82bd0,9bbcb11b3e68d29ab98d3dee20ebf27855aed936,R3_9BBCB11B_ZIP_SOURCE_BODY_WITNESS_ROUTING.csv,modern-latex-manuscripts-20260609-174659/sources/dirichlet/Dirichlet_R22_XXXVII_XLI_20260604/new/orig/tex/38_humboldt_mixed.tex,R3 review,consume only as source witness after independent gate check; title/path-only evidence remains blocker,zip-source-corpus-routing,carried forward under 8E491924 after branch-visible corrected CF4E package; source-use boundaries unchanged","source-path-or-lane-literal-review"
