"packet","relative_path","expected_sha256","actual_sha256","exists","ok"
"R6_81DB4BA9_ACTIVE_URL_ACCESS_CHECK","b3\B3_ROUTE.csv","56EF15BDBE67976B2478A90D562357D4EC607EF0CD2F3058BD2664D2FE70A055","56EF15BDBE67976B2478A90D562357D4EC607EF0CD2F3058BD2664D2FE70A055","True","True"
"R6_81DB4BA9_ACTIVE_URL_ACCESS_CHECK","blockers\R6_81DB4BA9_ACTIVE_URL_EXACT_BLOCKERS.csv","B6F9A838D5735D329DF4DC3D95F453C2225647F3943F7A483B34B24758A585E8","B6F9A838D5735D329DF4DC3D95F453C2225647F3943F7A483B34B24758A585E8","True","True"
"R6_81DB4BA9_ACTIVE_URL_ACCESS_CHECK","branch-current\R6_81DB4BA9_BRANCH_CHECK.csv","1B8569C4ABBFB2415D6C7C9C9A56F5709BCDFB6A865AD0C3EC2105CEDEE4D56C","1B8569C4ABBFB2415D6C7C9C9A56F5709BCDFB6A865AD0C3EC2105CEDEE4D56C","True","True"
"R6_81DB4BA9_ACTIVE_URL_ACCESS_CHECK","http-checks\R6_81DB4BA9_ACTIVE_URL_ACCESS_CHECKS.csv","4210881FC194730B29994B647ACCAD3CE5D2CE5AB5C8D7075DD9693C336D8F9D","4210881FC194730B29994B647ACCAD3CE5D2CE5AB5C8D7075DD9693C336D8F9D","True","True"
"R6_81DB4BA9_ACTIVE_URL_ACCESS_CHECK","logs\LOGBOOK_EXCERPT_20260706.md","CE1205CB244F1FE06D65F3F6C42AA6FEE94CF03E6EC5B2BCD6221B93A49FA222","CE1205CB244F1FE06D65F3F6C42AA6FEE94CF03E6EC5B2BCD6221B93A49FA222","True","True"
"R6_81DB4BA9_ACTIVE_URL_ACCESS_CHECK","MANIFEST.csv","72E11CC2A053D6F246A170D103C4856CEB72174C1B856BA3E413B9A2415949CB","72E11CC2A053D6F246A170D103C4856CEB72174C1B856BA3E413B9A2415949CB","True","True"
"R6_81DB4BA9_ACTIVE_URL_ACCESS_CHECK","R6_81DB4BA9_ACTIVE_URL_ACCESS_CHECK_COUNTS.csv","A7CF836FE60DD8FF1BE7A3E1953CF1F93856AA174C96FC6F02E30386DDFC3F04","A7CF836FE60DD8FF1BE7A3E1953CF1F93856AA174C96FC6F02E30386DDFC3F04","True","True"
"R6_81DB4BA9_ACTIVE_URL_ACCESS_CHECK","README.md","65386F11B7E3D6A233374D45E275C48B4807F178A98FE38093B5931F47CE6CF5","65386F11B7E3D6A233374D45E275C48B4807F178A98FE38093B5931F47CE6CF5","True","True"
"R6_81DB4BA9_ACTIVE_URL_ACCESS_CHECK","source-use\R6_81DB4BA9_ACTIVE_URL_SOURCE_USE_GAP_LEDGER.csv","58641FED2A62FF701E5FD64A8F91F6305F8E8A6A459A6DA912B6AFA8F8905113","58641FED2A62FF701E5FD64A8F91F6305F8E8A6A459A6DA912B6AFA8F8905113","True","True"
"R6_81DB4BA9_ACTIVE_URL_ACCESS_CHECK","verification\INPUT_81DB_RETRY_SHA_VERIFICATION.csv","D688EF2426BEDFEE9EB6695D8A10622BE0AB35E695FAA0AF427DB80A67ADC40A","D688EF2426BEDFEE9EB6695D8A10622BE0AB35E695FAA0AF427DB80A67ADC40A","True","True"
"OLD_B_81DB4BA9_STILL_CURRENT_BODY_METADATA_AUDIT","BLOCKERS_AND_B3_ACTIONS.csv","BB9F807DB8B54C75A6CFEEE32D97627B2A63581E5730DCD9CF5A71B83CF500B0","BB9F807DB8B54C75A6CFEEE32D97627B2A63581E5730DCD9CF5A71B83CF500B0","True","True"
"OLD_B_81DB4BA9_STILL_CURRENT_BODY_METADATA_AUDIT","BRANCH_PR_STATE.csv","104F3E4C7851B21F46BCAB9F31846D6086FD427F321CA9491D136FBB4ECEA3A6","104F3E4C7851B21F46BCAB9F31846D6086FD427F321CA9491D136FBB4ECEA3A6","True","True"
"OLD_B_81DB4BA9_STILL_CURRENT_BODY_METADATA_AUDIT","COMMITTED_LOGBOOK_HEARTBEAT_PATH_STATE.csv","ADFC0B2D2AE21616241151CE9B63509B594F2765ED82A22E9CB9A86AF4D3D9A1","ADFC0B2D2AE21616241151CE9B63509B594F2765ED82A22E9CB9A86AF4D3D9A1","True","True"
"OLD_B_81DB4BA9_STILL_CURRENT_BODY_METADATA_AUDIT","LOCAL_HEARTBEAT_LOGBOOK_FILE_STATE.csv","E192712521CD60DA1DD056E242899F07313FEEAD127EE6B20A41FD80F6429F2F","E192712521CD60DA1DD056E242899F07313FEEAD127EE6B20A41FD80F6429F2F","True","True"
"OLD_B_81DB4BA9_STILL_CURRENT_BODY_METADATA_AUDIT","MANIFEST.csv","7F422F6FE6B4B4CBA819FF4FAE57BE5B668F9B06741BB69269486577A8C650E9","7F422F6FE6B4B4CBA819FF4FAE57BE5B668F9B06741BB69269486577A8C650E9","True","True"
"OLD_B_81DB4BA9_STILL_CURRENT_BODY_METADATA_AUDIT","OLD_B_LOCAL_AUDIT_ARTIFACT_STATE.csv","18462CFFEF9F58839F3F9843FE984C1CA7B78EB80E7535985EB00AAC7B4CC2FF","18462CFFEF9F58839F3F9843FE984C1CA7B78EB80E7535985EB00AAC7B4CC2FF","True","True"
"OLD_B_81DB4BA9_STILL_CURRENT_BODY_METADATA_AUDIT","PACKAGE_BODY_METADATA_CLASSIFICATION.csv","98167D216B15F1365BAA65BC8203CACB70200021C4795DB78DB0C4BBA8F43488","98167D216B15F1365BAA65BC8203CACB70200021C4795DB78DB0C4BBA8F43488","True","True"
"OLD_B_81DB4BA9_STILL_CURRENT_BODY_METADATA_AUDIT","PACKAGE_BODY_OR_SOURCE_BEARING_ROOTS.csv","2A48A5E87969CAA74A66C249A76D32F8B7C85159B88572E0A0C0942E96714CDA","2A48A5E87969CAA74A66C249A76D32F8B7C85159B88572E0A0C0942E96714CDA","True","True"
"OLD_B_81DB4BA9_STILL_CURRENT_BODY_METADATA_AUDIT","PACKAGE_CLASSIFICATION_SUMMARY.csv","7F6F89D1B9C0BF4921A6AFB37C0DD005A37AC57F5318E67C2D6E5729EB4725C3","7F6F89D1B9C0BF4921A6AFB37C0DD005A37AC57F5318E67C2D6E5729EB4725C3","True","True"
"OLD_B_81DB4BA9_STILL_CURRENT_BODY_METADATA_AUDIT","PACKAGE_FRONTIER_637_BODY_METADATA_CLASSIFICATION.csv","AD12904B4345B41B50494C394AEC0C08D31458411642EAC2F216EA91931C6D01","AD12904B4345B41B50494C394AEC0C08D31458411642EAC2F216EA91931C6D01","True","True"
"OLD_B_81DB4BA9_STILL_CURRENT_BODY_METADATA_AUDIT","PACKAGE_FRONTIER_637_FILE_SIGNALS.csv","37395BE1E82FC47C60303DC7F3F2ECD9EB588F3EF9D6676849ACADF365BA556A","37395BE1E82FC47C60303DC7F3F2ECD9EB588F3EF9D6676849ACADF365BA556A","True","True"
"OLD_B_81DB4BA9_STILL_CURRENT_BODY_METADATA_AUDIT","PACKAGE_METADATA_ONLY_ROOTS.csv","3BF2782D39BEA2F7140C6455CECADDD32144E8C3BF379121DBFF60F8AD24E1E9","3BF2782D39BEA2F7140C6455CECADDD32144E8C3BF379121DBFF60F8AD24E1E9","True","True"
"OLD_B_81DB4BA9_STILL_CURRENT_BODY_METADATA_AUDIT","README.md","D1901D6066E19A4C3437C343A2CD0A88CC9D7E0923E890D9B49D1B8465F47419","D1901D6066E19A4C3437C343A2CD0A88CC9D7E0923E890D9B49D1B8465F47419","True","True"
