"extension","count","uncompressed_bytes","compressed_bytes"
".pdf","2379","3870158600","3575448779"
".tex","1769","241744086","65968723"
"","1433","3049238","2947281"
".txt","313","28687403","8388195"
".md","278","688593","278165"
".json","244","45049199","10439803"
".ts","235","171465","56275"
".html","202","32414572","6027528"
".csv","200","29564983","9863451"
".mdx","152","924280","339756"
".tsx","48","159488","42453"
".scss","48","38672","14785"
".zip","36","1897515247","1896169706"
".predelim_bak","33","2509359","661308"
".sty","32","1509570","331109"
".svg","28","184960","46240"
".py","23","109020","41769"
".png","22","1575037","1421427"
".docx","15","1960323","1616265"
".js","14","905030","289426"
".yml","9","12580","4464"
".css","9","58513","12614"
".bin","9","1744641","1730484"
".xml","7","10179","4511"
".wave2_bak","7","734770","238564"
".rtf","6","13535118","690135"
".decompressed","5","519894","360532"
".source","5","360174","360294"
".jpg","5","1365539","1160667"
".gitignore","4","834","547"
".diff","4","44301","11353"
".patch","4","252678","76436"
".xls","3","2439168","664506"
".bmp","3","6010866","114447"
".ods","3","46233","39432"
".odt","3","100431","94182"
".apk","3","132086466","93373944"
".apkg","3","4296378","3770091"
".log","3","939","624"
".sh","3","3277","1532"
".doc","3","972288","135927"
".nojekyll","2","0","4"
".jpeg","2","192244","191916"
".ico","2","7252","2736"
".def","2","90266","18605"
".cff","1","675","406"
".paper445_bak","1","93339","21779"
".nvmrc","1","9","11"
".npmrc","1","37","34"
".mjs","1","3667","1266"
".cfg","1","27642","5888"
".bib","1","5722","1926"
".tsv","1","9464","2816"
".wget-hsts","1","347","243"
".gitattributes","1","170","70"
".exe","1","5037400","2308468"
".ps1","1","14582","2058"
".pd","1","279747","274697"
