"packet","source_root","destination_root","file_count","bytes","large_files","archive_files"
"ARABIC_RTL_FAA2C330_TOKEN_RESET_RECOVERY_CONTINUATION_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\ARABIC_RTL_FAA2C330_TOKEN_RESET_RECOVERY_CONTINUATION_20260706","interlanguage-sidecar/arabic-rtl-faa2c330-token-reset-recovery-continuation-20260706","30","6549778","0","0"
"CJK_NATIVE_FAA2C330_BRANCH_ADVANCE_SOURCE_BOUNDARY_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_FAA2C330_BRANCH_ADVANCE_SOURCE_BOUNDARY_20260706","interlanguage-sidecar/cjk-native-faa2c330-branch-advance-source-boundary-20260706","15","178971","0","0"
"CJK_NATIVE_FAA2C330_SOURCE_GATED_DRAFT_SUPPORT_REFRESH_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_FAA2C330_SOURCE_GATED_DRAFT_SUPPORT_REFRESH_20260706","interlanguage-sidecar/cjk-native-faa2c330-source-gated-draft-support-refresh-20260706","19","1256051","0","0"
"OLD_B_FAA2C330_READONLY_DELTA_AUDIT_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-pr-branch-steward\outputs\OLD_B_FAA2C330_READONLY_DELTA_AUDIT_20260706","transfer-audits/old-b","20","5693060","0","0"
"INTERLANGUAGE_FABLE_FAA2C330_MUTUAL_WAKE_STANDARDIZATION_REFRESH_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_FAA2C330_MUTUAL_WAKE_STANDARDIZATION_REFRESH_20260706","interlanguage-sidecar/interlanguage-fable-faa2c330-mutual-wake-standardization-refresh-20260706","69","2071328","0","0"
"INTERLANGUAGE_FABLE_FAA2C330_R6_ETHICS_AUTHORITY_WAKE_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_FAA2C330_R6_ETHICS_AUTHORITY_WAKE_20260706","interlanguage-sidecar/interlanguage-fable-faa2c330-r6-ethics-authority-wake-20260706","51","930218","0","0"
"NON_SLAVIC_CORE_FAA2C330_CJK_DRAFT_MUTUAL_WAKE_ROUTE_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_FAA2C330_CJK_DRAFT_MUTUAL_WAKE_ROUTE_20260706","coordination/non-slavic-core-faa2c330-cjk-draft-mutual-wake-route-20260706","8","12450","0","0"
"NON_SLAVIC_CORE_FAA2C330_HEARTBEAT_BRANCH_ADVANCE_QUEUE_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_FAA2C330_HEARTBEAT_BRANCH_ADVANCE_QUEUE_20260706","coordination/non-slavic-core-faa2c330-heartbeat-branch-advance-queue-20260706","9","210559","0","0"
"NON_SLAVIC_CORE_FAA2C330_R6_SOURCE_START_ROUTE_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_FAA2C330_R6_SOURCE_START_ROUTE_20260706","coordination/non-slavic-core-faa2c330-r6-source-start-route-20260706","9","19006","0","0"
"OLP_FAA2_RELATION_FUNCTION_SOURCE_USE_EXTENSION_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_FAA2_RELATION_FUNCTION_SOURCE_USE_EXTENSION_20260706","uploader-transfer/olp-faa2-relation-function-source-use-extension-20260706","14","83087","0","0"
"OLP_FAA2C330_CURRENT_HEAD_SUPPORT_ACCOUNTING_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_FAA2C330_CURRENT_HEAD_SUPPORT_ACCOUNTING_20260706","uploader-transfer/olp-faa2c330-current-head-support-accounting-20260706","12","80228","0","0"
