"thread","thread_id","relevant_zip_scope","action"
"Slavic canonical baseline","019f2b1c-9b41-71b3-8924-5d774941fb10","slavic-reference-lanes/, Interslavic/Panslavic entries","read relevant ZIP subpaths directly; update Slavic/Interslavic source-use, correction, pretranslation/interlinear, and blocker ledgers; hand packageable outputs to B3"
"Interlanguage method authority","019f2b1a-e5f6-7603-95c8-138242581298","slavic-reference-lanes/, modern-latex-manuscripts, zenodo records, Fable/branch-weight related entries","use as additional source-corpus witness and update authority routing/gap/recovery ledgers; do not claim final authority"
"CJK native/source evidence","019f2b1b-09a8-7861-aa25-c87b6d5adf16","Japanese/Chinese/Korean hits and modern-latex-manuscripts TeX/PDF contexts","extract CJK-relevant source witnesses and produce source-gated draft/noncanonical pretranslation/interlinear artifacts or exact blockers"
"Romance lane","019f2b3c-6c21-7013-9928-855d3ec34bd4","French/Spanish/Romance hits, Noether/SGA/Gauss source contexts","route French/Spanish source-backed draft and weighted Romance/interlanguage heuristics with manifests and SHA"
"R3 Arabic/Persianate/LA","019f2b1b-443f-7d12-94b2-234a0710581e","Arabic/Persian/linear-algebra hits plus TeX/PDF source contexts","read relevant bodies from ZIP and refresh source-context/micro-evidence/pretranslation rows where evidence exists"
"R6 Indigenous/Creole/Sign","019f2b1b-e4a7-7911-a401-1f277bf7368a","Indigenous/creole/sign access hits if any; otherwise negative evidence","inspect and preserve exact source-use/gap/recovery rows; no draft widening without source and authority"
"R2 Pan-Turkic","019f2b1c-0b86-7ef0-a2c0-54ba67a9ef0e","Turkic/Ottoman/Tatar/Kyrgyz/Bashkir/Turkmen hits if any","inspect for blocker rows and source-body recovery; keep Pan-Turkic source-gated labels"
"Non-Slavic Core","019f2b1a-c368-7072-a0b6-eb61614a7580","all non-Slavic target language hits and lane coordination records","coordinate child lane source-corpus use and package summaries for B3"
"R7 Malay SEA Pacific","019f2b1b-76eb-76b2-9994-605163fe315b","Malay/SEA/Pacific hits if any","inspect and produce source-use or blocker rows"
"R9 Africa Horn West","019f2b1b-b71d-7a13-8daa-f60f930faf65","Africa/Horn/West hits if any","inspect and produce source-use or blocker rows"
"OLP relation/function support","019f2b1c-6412-7630-a8d7-11bd75a54bb9","Noether/SGA/Gauss TeX/PDF terminology contexts","extract relation/function support contexts and blockers"
