"zip_entry","extension","category","compressed_bytes","uncompressed_bytes","is_directory","is_tex_family","is_pdf","is_archive_like","mentions_slavic","mentions_interslavic","mentions_russian","mentions_ukrainian","mentions_french","mentions_spanish","mentions_japanese","mentions_chinese","mentions_korean","mentions_arabic","mentions_persian","mentions_tajik","mentions_turkic","mentions_noether","mentions_gauss","mentions_sga","mentions_zenodo"
"zenodo-records-wget/20412587_20612539_noether-main/80 Noether - TeX Sources, Component PDFs, and Provenance.zip",".zip","zenodo-records-wget","474376725","474584608","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","True"
"zenodo-records-wget/20520501_20520501_noether-linked-multilingual/80 Noether - TeX Sources, Component PDFs, and Provenance.zip",".zip","zenodo-records-wget","474376725","474584608","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","True"
"slavic-reference-lanes/panslavic-interslavic-raw-20260609/Interslavic Math Sidecar Handoff Zips 20260608/Interslavic_Math_Sidecar_Starter_Resources_20260608.zip",".zip","slavic-reference-lanes","323893890","324145034","False","False","False","True","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"zenodo-records-wget/20412587_20612539_noether-main/95 Emmy Noether - Update Packets 2026-06-07.zip",".zip","zenodo-records-wget","128474968","128436276","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","True"
"zenodo-records-wget/20412587_20612539_noether-main/N_FRZH_P17a_20260609.zip",".zip","zenodo-records-wget","108487433","108519522","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","True"
"modern-latex-manuscripts-20260609-174659/reader-pdfs/non-european/50-04 Indian Original - Brahmagupta - Brahmasphutasiddhanta, part 01 of 02.pdf",".pdf","modern-latex-manuscripts","88970141","91936634","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"modern-latex-manuscripts-20260609-174659/reader-pdfs/non-european/50-04 Indian Original - Brahmagupta - Brahmasphutasiddhanta, part 02 of 02.pdf",".pdf","modern-latex-manuscripts","86885376","89721489","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"modern-latex-manuscripts-20260609-174659/reader-pdfs/gauss/02 Carl Friedrich Gauss - Werke, Band II - Modern LaTeX Working Edition.pdf",".pdf","modern-latex-manuscripts","86535873","87837320","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False"
"modern-latex-manuscripts-20260609-174659/sources/gauss/gauss-current-cumulative-rebuild-2026-05-30/gauss_cumulative_public/Gauss_Werke_Band_II.pdf",".pdf","modern-latex-manuscripts","86535873","87837320","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False"
"modern-latex-manuscripts-20260609-174659/sources/gauss/source_tex_and_component_pdfs/16_Gauss_Werke_Band02/gauss_b02_ch10.pdf",".pdf","modern-latex-manuscripts","84289372","85204123","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False"
"modern-latex-manuscripts-20260609-174659/sources/steinitz/Steinitz_21/06_1905_polyhedron/source/source_1905_polyhedron_p281-307.pdf",".pdf","modern-latex-manuscripts","53284983","59402981","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"modern-latex-manuscripts-20260609-174659/reader-pdfs/sga/49 SGA 5 - French Reference PDF.pdf",".pdf","modern-latex-manuscripts","49473167","59033040","False","False","True","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","True","False"
"modern-latex-manuscripts-20260609-174659/reader-pdfs/steinitz/17 Ernst Steinitz - 1905 One-Sided Polyhedron - Source Scan Slice.pdf",".pdf","modern-latex-manuscripts","53085632","58210376","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"slavic-reference-lanes/panslavic-interslavic-raw-20260609/Interslavic Math Sidecar 20260608/manual_facebook_group_downloads/by_inferred_year/unknown_year/Давидовичъ. Любомудръ словѣнский.pdf",".pdf","slavic-reference-lanes","53933525","57013122","False","False","True","False","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"slavic-reference-lanes/panslavic-interslavic-starter-resources-20260608/manual_facebook_group_downloads/by_inferred_year/unknown_year/Давидовичъ. Любомудръ словѣнский.pdf",".pdf","slavic-reference-lanes","53933525","57013122","False","False","True","False","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"slavic-reference-lanes/panslavic-interslavic-raw-20260609/interslav/Давидовичъ. Любомудръ словѣнский.pdf",".pdf","slavic-reference-lanes","53933525","57013122","False","False","True","False","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"modern-latex-manuscripts-20260609-174659/reader-pdfs/sga/50 SGA 6 - French Reference PDF.pdf",".pdf","modern-latex-manuscripts","50333228","54325694","False","False","True","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","True","False"
