"packet","source_root","destination_root","file_count","bytes","large_files","archive_files"
"R3_FAA2C330_FIVE_HOUR_TOKEN_RESET_RECOVERY_AUDIT_20260706_20260706T151115Z","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_FAA2C330_FIVE_HOUR_TOKEN_RESET_RECOVERY_AUDIT_20260706\R3_FAA2C330_FIVE_HOUR_TOKEN_RESET_RECOVERY_AUDIT_20260706_20260706T151115Z","interlanguage-sidecar/rtl-persianate-arabic-faa2c330-five-hour-token-reset-recovery-audit-20260706","13","20282","0","0"
"NON_SLAVIC_CORE_FAA2C330_PACKAGE_R2_MUTUAL_WAKE_ROUTE_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_FAA2C330_PACKAGE_R2_MUTUAL_WAKE_ROUTE_20260706","coordination/non-slavic-core-faa2c330-package-r2-mutual-wake-route-20260706","12","48175","0","0"
"ARABIC_RTL_FD3754D1_HEARTBEAT_FABLE_SOURCE_CANON_REFRESH_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\ARABIC_RTL_FD3754D1_HEARTBEAT_FABLE_SOURCE_CANON_REFRESH_20260706","interlanguage-sidecar/arabic-rtl-fd3754d1-heartbeat-fable-source-canon-refresh-20260706","19","296518","0","0"
"R6_FD3754D1_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r6-indigenous-creole-sign\outputs\R6_FD3754D1_CURRENT_HEAD_SOURCE_START_CONTINUATION_20260706","uploader-transfer/r6-fd3754d1-current-head-source-start-continuation-20260706","16","303522","0","0"
"R9_FD3754D1_SYSTEMERROR_RECOVERY_LEDGER_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_FD3754D1_SYSTEMERROR_RECOVERY_LEDGER_20260706","uploader-transfer/r9-fd3754d1-systemerror-recovery-ledger-20260706","14","259835","0","0"
"NON_SLAVIC_CORE_FD3754D1_CURRENT_HEAD_MUTUAL_WAKE_ROUTE_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_FD3754D1_CURRENT_HEAD_MUTUAL_WAKE_ROUTE_20260706","coordination/non-slavic-core-fd3754d1-current-head-mutual-wake-route-20260706","12","692879","0","0"
"INTERLANGUAGE_FABLE_FD3754D1_WHOLE_CORPUS_RECOVERY_AUTHORITY_REFRESH_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_FD3754D1_WHOLE_CORPUS_RECOVERY_AUTHORITY_REFRESH_20260706","interlanguage-sidecar/interlanguage-fable-fd3754d1-whole-corpus-recovery-authority-refresh-20260706","40","1594735","0","0"
"CJK_NATIVE_FD3754D1_TOKEN_RESET_RECOVERY_DELTA_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_FD3754D1_TOKEN_RESET_RECOVERY_DELTA_20260706","interlanguage-sidecar/cjk-native-fd3754d1-token-reset-recovery-delta-20260706","23","564339","0","0"
"R2_FD3754D1_CURRENT_FRONTIER_RECOVERY_SEARCH_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_FD3754D1_CURRENT_FRONTIER_RECOVERY_SEARCH_20260706","language-source-bodies/pan-turkic-fd3754d1-current-frontier-recovery-search-20260706","21","436102","0","0"
"OLD_B_FD3754D1_READONLY_DELTA_AUDIT_20260706","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-pr-branch-steward\outputs\OLD_B_FD3754D1_READONLY_DELTA_AUDIT_20260706","transfer-audits/old-b","21","5918806","0","0"
