"language_code","language_name","total_candidates","already_in_payload","open_license_download_candidates","url_only_or_unclear_license_candidates","status"
"be","Belarusian","23","11","0","12","below_hundreds_per_language_target"
"bg","Bulgarian","75","13","0","62","below_hundreds_per_language_target"
"bs","Bosnian","21","6","0","15","below_hundreds_per_language_target"
"cnr","Montenegrin","21","6","0","15","below_hundreds_per_language_target"
"cs","Czech","36","8","0","28","below_hundreds_per_language_target"
"dsb","Lower Sorbian","34","14","0","20","below_hundreds_per_language_target"
"hr","Croatian","22","9","0","13","below_hundreds_per_language_target"
"hsb","Upper Sorbian","14","3","0","11","below_hundreds_per_language_target"
"mk","Macedonian","28","2","2","24","below_hundreds_per_language_target"
"pl","Polish","34","5","2","27","below_hundreds_per_language_target"
"sk","Slovak","36","9","0","27","below_hundreds_per_language_target"
"sl","Slovene","33","8","0","25","below_hundreds_per_language_target"
"sr","Serbian","22","9","0","13","below_hundreds_per_language_target"
