"evidence_id","evidence_type","query_or_url","local_evidence_path","result_count","status","source_use_label","next_action","sha256","non_claim_boundary"
"gh_arabic_abstract_algebra_tex","github_code_search","""الجبر التجريدي"" extension:tex","sources/non_slavic_reference_corpus/20260705T235000Z_arabic_algebra_tex_source_recovery_round3/search-results/gh_arabic_abstract_algebra_tex.json","0","zero_direct_tex_hits","pointer-only","Retry with new spellings/repos if external hints appear","37517E5F3DC66819F61F5A7BB8ACE1921282415F10551D2DEFA5C3EB0985B570","source-canon search evidence only; no source certification, license clearance, accepted terminology, or completion claim"
"gh_ring_field_arabic_tex","github_code_search","""حلقة"" ""حقل"" extension:tex","sources/non_slavic_reference_corpus/20260705T235000Z_arabic_algebra_tex_source_recovery_round3/search-results/gh_ring_field_arabic_tex.json","0","zero_direct_tex_hits","pointer-only","Retry with new spellings/repos if external hints appear","37517E5F3DC66819F61F5A7BB8ACE1921282415F10551D2DEFA5C3EB0985B570","source-canon search evidence only; no source certification, license clearance, accepted terminology, or completion claim"
"gh_hom_iso_arabic_tex","github_code_search","""تشاكل"" ""تماثل"" extension:tex","sources/non_slavic_reference_corpus/20260705T235000Z_arabic_algebra_tex_source_recovery_round3/search-results/gh_hom_iso_arabic_tex.json","0","zero_direct_tex_hits","pointer-only","Retry with new spellings/repos if external hints appear","37517E5F3DC66819F61F5A7BB8ACE1921282415F10551D2DEFA5C3EB0985B570","source-canon search evidence only; no source certification, license clearance, accepted terminology, or completion claim"
"gh_artinian_arabic_tex","github_code_search","""آرتيني"" extension:tex","sources/non_slavic_reference_corpus/20260705T235000Z_arabic_algebra_tex_source_recovery_round3/search-results/gh_artinian_arabic_tex.json","0","zero_direct_tex_hits","pointer-only","Retry with new spellings/repos if external hints appear","37517E5F3DC66819F61F5A7BB8ACE1921282415F10551D2DEFA5C3EB0985B570","source-canon search evidence only; no source certification, license clearance, accepted terminology, or completion claim"
"gh_noether_arabic_tex","github_code_search","""نويثر"" extension:tex","sources/non_slavic_reference_corpus/20260705T235000Z_arabic_algebra_tex_source_recovery_round3/search-results/gh_noether_arabic_tex.json","0","zero_direct_tex_hits","pointer-only","Retry with new spellings/repos if external hints appear","37517E5F3DC66819F61F5A7BB8ACE1921282415F10551D2DEFA5C3EB0985B570","source-canon search evidence only; no source certification, license clearance, accepted terminology, or completion claim"
"gh_invariant_arabic_tex","github_code_search","""ثابت"" ""جبر"" extension:tex","sources/non_slavic_reference_corpus/20260705T235000Z_arabic_algebra_tex_source_recovery_round3/search-results/gh_invariant_arabic_tex.json","0","zero_direct_tex_hits","pointer-only","Retry with new spellings/repos if external hints appear","37517E5F3DC66819F61F5A7BB8ACE1921282415F10551D2DEFA5C3EB0985B570","source-canon search evidence only; no source certification, license clearance, accepted terminology, or completion claim"
"gh_arabic_algebra_latex","github_code_search","""الجبر"" ""LaTeX"" ""حلقة""","sources/non_slavic_reference_corpus/20260705T235000Z_arabic_algebra_tex_source_recovery_round3/search-results/gh_arabic_algebra_latex.json","0","zero_direct_tex_hits","pointer-only","Retry with new spellings/repos if external hints appear","37517E5F3DC66819F61F5A7BB8ACE1921282415F10551D2DEFA5C3EB0985B570","source-canon search evidence only; no source certification, license clearance, accepted terminology, or completion claim"
"gh_arabic_math_tex_source","github_code_search","""Arabic"" ""algebra"" ""حلقة"" extension:tex","sources/non_slavic_reference_corpus/20260705T235000Z_arabic_algebra_tex_source_recovery_round3/search-results/gh_arabic_math_tex_source.json","0","zero_direct_tex_hits","pointer-only","Retry with new spellings/repos if external hints appear","37517E5F3DC66819F61F5A7BB8ACE1921282415F10551D2DEFA5C3EB0985B570","source-canon search evidence only; no source certification, license clearance, accepted terminology, or completion claim"
"gh_repo_arabic_algebra","github_repo_search","arabic algebra latex","sources/non_slavic_reference_corpus/20260705T235000Z_arabic_algebra_tex_source_recovery_round3/search-results/gh_repo_arabic_algebra.json","0","zero_repository_hits","pointer-only","Search non-GitHub academic/source archives and named course repositories","37517E5F3DC66819F61F5A7BB8ACE1921282415F10551D2DEFA5C3EB0985B570","repository search evidence only; no source certification, license clearance, accepted terminology, or completion claim"
"gh_repo_arabic_math_tex","github_repo_search","arabic math tex","sources/non_slavic_reference_corpus/20260705T235000Z_arabic_algebra_tex_source_recovery_round3/search-results/gh_repo_arabic_math_tex.json","0","zero_repository_hits","pointer-only","Search non-GitHub academic/source archives and named course repositories","37517E5F3DC66819F61F5A7BB8ACE1921282415F10551D2DEFA5C3EB0985B570","repository search evidence only; no source certification, license clearance, accepted terminology, or completion claim"
"gh_repo_arabic_latex","github_repo_search","arabic latex mathematics","sources/non_slavic_reference_corpus/20260705T235000Z_arabic_algebra_tex_source_recovery_round3/search-results/gh_repo_arabic_latex.json","0","zero_repository_hits","pointer-only","Search non-GitHub academic/source archives and named course repositories","37517E5F3DC66819F61F5A7BB8ACE1921282415F10551D2DEFA5C3EB0985B570","repository search evidence only; no source certification, license clearance, accepted terminology, or completion claim"
"gh_repo_jabr_tex","github_repo_search","جبر tex","sources/non_slavic_reference_corpus/20260705T235000Z_arabic_algebra_tex_source_recovery_round3/search-results/gh_repo_jabr_tex.json","0","zero_repository_hits","pointer-only","Search non-GitHub academic/source archives and named course repositories","37517E5F3DC66819F61F5A7BB8ACE1921282415F10551D2DEFA5C3EB0985B570","repository search evidence only; no source certification, license clearance, accepted terminology, or completion claim"
"gh_repo_halqa_haql","github_repo_search","حلقة حقل رياضيات","sources/non_slavic_reference_corpus/20260705T235000Z_arabic_algebra_tex_source_recovery_round3/search-results/gh_repo_halqa_haql.json","0","zero_repository_hits","pointer-only","Search non-GitHub academic/source archives and named course repositories","37517E5F3DC66819F61F5A7BB8ACE1921282415F10551D2DEFA5C3EB0985B570","repository search evidence only; no source certification, license clearance, accepted terminology, or completion claim"
"ctan_arabtex_pkg","web_provenance_download","https://ctan.org/pkg/arabtex","sources/non_slavic_reference_corpus/20260705T235000Z_arabic_algebra_tex_source_recovery_round3/downloads/ctan_arabtex_pkg.html","1","CTAN ArabTeX package page; Arabic/Hebrew TeX macros and fonts; not algebra prose","pointer-only","Use as RTL/TeX tooling provenance only; do not treat as algebra prose body","8FD12978DAB1923A82012C5ABEB3D1A81ADBD0A5301387C9D7EC53A2B40CFB42","provenance/pointer only unless separately verified; no source certification, license clearance, accepted terminology, or completion claim"
"ctan_arabluatex_pkg","web_provenance_download","https://ctan.org/pkg/arabluatex","sources/non_slavic_reference_corpus/20260705T235000Z_arabic_algebra_tex_source_recovery_round3/downloads/ctan_arabluatex_pkg.html","1","CTAN ArabLuaTeX package page; source/package metadata; not algebra prose","pointer-only","Use as RTL/TeX tooling provenance only; do not treat as algebra prose body","4ADF098F388635717CACD4569957922991AF39F11379446FB9336DC9E86D0582","provenance/pointer only unless separately verified; no source certification, license clearance, accepted terminology, or completion claim"
"ctan_arabic_topic","web_provenance_download","https://ctan.org/topic/arabic","sources/non_slavic_reference_corpus/20260705T235000Z_arabic_algebra_tex_source_recovery_round3/downloads/ctan_arabic_topic.html","1","CTAN Arabic topic page; package discovery only","pointer-only","Use as RTL/TeX tooling provenance only; do not treat as algebra prose body","19A0E6DE5F9F01D4950AB2E0C10FAD7249C9A200D8EAB86F3EA093CC53EE9707","provenance/pointer only unless separately verified; no source certification, license clearance, accepted terminology, or completion claim"
"tex_stack_arabic_math_symbols","web_provenance_download","https://tex.stackexchange.com/questions/503995/how-can-i-write-arabic-mathematical-symbols-in-latex","sources/non_slavic_reference_corpus/20260705T235000Z_arabic_algebra_tex_source_recovery_round3/downloads/tex_stack_arabic_math_symbols.html","1","TeX StackExchange page on Arabic mathematical symbols; Q&A provenance only","pointer-only","Use as RTL/TeX tooling provenance only; do not treat as algebra prose body","4A45BE910221660BE0C45333907B991314BB374EFFEED7AAC37563A4052D3EC5","provenance/pointer only unless separately verified; no source certification, license clearance, accepted terminology, or completion claim"
"khatt_arabic_math_notation","web_provenance_download","https://khatt.org/","sources/non_slavic_reference_corpus/20260705T235000Z_arabic_algebra_tex_source_recovery_round3/downloads/khatt_arabic_math_notation.html","1","Arabic mathematical notation system page if reachable; not algebra source body","pointer-only","Use as RTL/TeX tooling provenance only; do not treat as algebra prose body","C4DFD81C5E2CB21916C74D9336409286517A6AF096E41DAF30614621E9887A2F","provenance/pointer only unless separately verified; no source certification, license clearance, accepted terminology, or completion claim"
"local_tex_yraffah_arabic_latex_book","local_tex_inventory","local package inventory","language-source-bodies/rtl-persianate-arabic/ar/source-bodies/native-tex/20260705T203500Z_arabic_fable_source_recovery_probe/downloads/yraffah_arabic_latex_book.tex","1","arabic_tex_technical_source_not_algebra_specific","native-source-body","Keep as partial RTL/TeX support, not algebra-specific closure","7024EF38569832AFF7555EE8D5E430C6A598318D14F283E02B9B714CACD44E77","local inventory only; no source certification, accepted terminology, or completion claim"
"local_dtx_nagwa_arabic_math","local_tex_inventory","local package inventory","language-source-bodies/rtl-persianate-arabic/ar/source-bodies/native-tex/20260705T213000Z_arabic_source_canon_round2/downloads/nagwa_arabic_math.dtx","1","arabic_math_rendering_source_not_algebra_prose","native-source-body","Keep as partial RTL/TeX support, not algebra-specific closure","B52FA1D955D30E7B847800E470C1F30663113874CE9771EB2A32B4E5DA79846B","local inventory only; no source certification, accepted terminology, or completion claim"
"blocker_arabic_algebra_specific_tex_source_package","gap_blocker","combined GitHub code/repo + web provenance + local inventory","interlanguage-sidecar/20260705/arabic_algebra_tex_source_recovery_round3_20260705/ROUND3_ARABIC_ALGEBRA_TEX_SOURCE_RECOVERY_LEDGER_20260705.csv","0","direct algebra-specific Arabic TeX/LaTeX/arXiv/e-print source package not recovered in this round","audit-ledger","Search named Arabic university course repositories, author pages for PDF source zips, arXiv/e-print uploads with Arabic source, and contact/metadata trails for HIAST/Tiaret/Damascus algebra sources","","blocker evidence only; not completion, not source certification, not accepted terminology"
