"root_name","kind","file","line_number","detail"
"INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707","held_blocker_context_placeholder","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0032_c0909f372f_HELD_ROOTS.csv","2","ROMANCE_761BEC88_FRONTIER_SOURCE_USE_GAP_20260707,C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\ROMANCE_761BEC88_FRONTIER_SOURCE_USE_GAP_20260707,held,literal $newFull placeholder residue"
"INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707","held_blocker_context_placeholder","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0032_c0909f372f_HELD_ROOTS.csv","4","CJK_NATIVE_761BEC88_FRONTIER_RECOVERY_SOURCE_USE_CODEPOINT_FABLE_20260707,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_761BEC88_FRONTIER_RECOVERY_SOURCE_USE_CODEPOINT_FABLE_20260707,held,literal $frontier placeholder residue; later 19B2 correction also held"
"INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707","held_blocker_context_placeholder","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0032_c0909f372f_HELD_ROOTS.csv","5","ROMANCE_761BEC88_SAME_FRONTIER_DEDUP_RECOVERY_20260707,C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\ROMANCE_761BEC88_SAME_FRONTIER_DEDUP_RECOVERY_20260707,held,literal $frontier placeholder residue"
"INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707","held_blocker_context_placeholder","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0032_c0909f372f_HELD_ROOTS.csv","6","ARABIC_RTL_761BEC88_LIVE_HEAD_AFTER_4065F6A4_SOURCE_USE_GAP_RECOVERY_20260707,C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\ARABIC_RTL_761BEC88_LIVE_HEAD_AFTER_4065F6A4_SOURCE_USE_GAP_RECOVERY_20260707,held,manifest/SHA mismatch on BRANCH_761BEC88_DELTA_CLASSIFIED_20260707.csv plus literal $CurrentHead residue"
"INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707","held_blocker_context_placeholder","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0032_c0909f372f_HELD_ROOTS.csv","7","CJK_NATIVE_19B2AB4B_FRONTIER_CORRECTION_SOURCE_USE_CODEPOINT_FABLE_20260707,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_19B2AB4B_FRONTIER_CORRECTION_SOURCE_USE_CODEPOINT_FABLE_20260707,held,literal $frontier placeholder residue in README/ACTIVE_SESSION_STATE"
"INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707","held_blocker_context_placeholder","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0037_a4482d6e27_README.md","7","Interlanguage main packet includes a held-root blocker CSV containing literal placeholder names; B3 classifies that row as blocker/provenance context, not unreplaced generated-template residue. Arabic RTL is held because manifest/SHA replay fails and literal `$CurrentHead` residue remains. Romance and CJK Native roots with `$frontier`/`$newFull` residue remain held."
"INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707","held_blocker_context_placeholder","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0049_16036fc0f5_SAFETY_SCAN_HITS.csv","2","ROMANCE_761BEC88_FRONTIER_SOURCE_USE_GAP_20260707,placeholder,README.md,3,This package reheads the latest verified Romance French/Spanish source-use surfaces to requested frontier $newFull."
"INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707","held_blocker_context_placeholder","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0049_16036fc0f5_SAFETY_SCAN_HITS.csv","3","ROMANCE_761BEC88_FRONTIER_SOURCE_USE_GAP_20260707,placeholder,SESSION_LOGBOOK_20260707.md,4,- Verified requested frontier $newFull in safe checkout; origin head after fetch matched requested frontier at verification time."
"INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707","held_blocker_context_placeholder","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0049_16036fc0f5_SAFETY_SCAN_HITS.csv","5","CJK_NATIVE_761BEC88_FRONTIER_RECOVERY_SOURCE_USE_CODEPOINT_FABLE_20260707,placeholder,README.md,31,Incoming split CJK lane wake at $frontier was recorded as same-frontier dedup because the branch remained unchanged and local scan showed split CJK active/unread. Constrained 761 recovery prompts were"
"INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707","held_blocker_context_placeholder","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_6034C6B4_CURRENT_FRONTIER_AUTHORITY_ROUTING_20260707\source_artifacts\0049_16036fc0f5_SAFETY_SCAN_HITS.csv","6","ROMANCE_761BEC88_SAME_FRONTIER_DEDUP_RECOVERY_20260707,placeholder,ACTIVE_SESSION_STATE.md,3,Current verified frontier: $frontier"
