record_id,concept_id,channel,form_or_issue,scope,evidence_or_reason,disposition
KO-P27-A01,noe.p27.hilbert_numbers,absence,힐베르트 수,Recovered Korean native/example corpus and bounded local document search,No exact independent Korean occurrence was returned,Keep German control visible and hold promotion
KO-P27-A02,noe.p27.hilbert_numbers,candidate,힐베르트 다항식,Korean flat-module source body,Near Hilbert-family terminology but not the historical Anzahlen concept,Do not count as exact support
KO-P27-A03,noe.p27.characteristic_function,adverse,특성 함수,Modern mathematical register,May be read as an indicator function rather than Noether's quoted historical function,Keep German control visible and ask reviewer
KO-P27-A04,noe.p27.residue_class,candidate,잉여류,Korean group-theory source body,Attested for group cosets but not independently for ideal residue classes,Use as context-checked candidate only
KO-P27-A05,noe.p27.residue_field,absence,잉여류체,Recovered Korean native/example corpus,No exact occurrence returned,Keep English and German controls visible
KO-P27-A06,noe.p27.irreducible_components,adverse,기약 성분,General mathematical register,May suggest geometric irreducible components while the historical passage may concern composition factors,Keep German control and require historical-algebra review
KO-P27-A07,noe.p27.finite_order,adverse,유한 오더,Algebraic-number-theory register,Order is polysemous across cardinality degree ordering and ring-theoretic senses,Keep English control and held status
KO-P27-A08,noe.p27.korean_standard,absence,North-Korean terminology,Bounded CJK lane corpus,No DPRK mathematical-standard witness or reviewer return was recovered,Make no North-Korean localization claim
KO-P27-A09,noe.p27.generating_function,absence,생성 함수,Recovered Korean native/example corpus and bounded local document search,No exact row-level occurrence was returned in the bounded search,Retain as held working mathematical rendering pending Korean evidence
KO-P27-V01,noe.p27.korean_authority,veto,Cross-CJK inheritance,CJK governance,Chinese and Japanese forms cannot authorize Korean terminology,Use Korean evidence or retain a held control
KO-P27-V02,noe.p27.korean_authority,veto,Mandarin-Simplified dominance,CJKV comparison shelf,Mandarin-Simplified evidence cannot fill Korean support or erase Korean/DPRK evidence debt,Record qualitative risk/debt per row; compute no scalar penalty
