concept_id,german_form,korean_selected,hangul_policy,hanja_policy,south_korean_policy,north_korean_policy,status,evidence_ids,adverse_or_gap,reviewer_question
noe.p27.hilbert_numbers,Hilbertsche Anzahlen,힐베르트 수 (Hilbertsche Anzahlen),Hangul-first with German control,None asserted,Working specialist rendering,Not audited,held,KO-P27-E04,No exact Korean occurrence found; 힐베르트 다항식 is near evidence only,Is 힐베르트 수 the accepted historical-algebra term or should the German label remain primary?
noe.p27.characteristic_function,charakteristische Funktion,특성 함수 (charakteristische Funktion),Hangul-first with German control,None asserted,Working rendering,Not audited,held,,Potential collision with the modern indicator/characteristic-function sense,How should Noether's quoted historical label be distinguished from the modern indicator function?
noe.p27.residue_class,Restklasse,잉여류,Hangul-first,None asserted,Working rendering,Not audited,candidate_after_context_check,KO-P27-E06,Local hit is group-theory coset usage rather than ideal-theory usage,Is 잉여류 preferred over residue-class alternatives in Korean historical ideal theory?
noe.p27.polynomial_domain,Polynombereich,다항식환,Hangul-first,None asserted,Contemporary South-Korean term,Not audited,row_verified_witness,KO-P27-E08,None in checked context,None
noe.p27.generating_function,erzeugende Funktion,생성 함수,Hangul-first,None asserted,Working mathematical rendering,Not audited,held,KO-P27-A09,No row-level local source returned in the bounded corpus search,Confirm the conventional Korean term in Hilbert-function history.
noe.p27.primary_ideal,Primärideal,으뜸 아이디얼,Hangul-first,None asserted,Contemporary South-Korean corpus form,Not audited,internally_reviewed_for_use,KO-P27-E01,No exact historical Noether-context reviewer return,Does the modern 으뜸 아이디얼 term remain appropriate for Noether's 1925 usage?
noe.p27.prime_ideal,Primideal,소 아이디얼,Hangul-first,Hanja gloss not required in prose,Contemporary South-Korean corpus form,Not audited,internally_reviewed_for_use,KO-P27-E01;KO-P27-E02,None in checked context,None
noe.p27.residue_field,Restklassenkörper,잉여류체 (residue field; Restklassenkörper),Hangul-first with English and German controls,None asserted,Working historical-algebra rendering,Not audited,held,,No exact Korean corpus occurrence returned,What is the preferred Korean term for Restklassenkörper in this ideal-theory sense?
noe.p27.irreducible_components,irreduzible Komponenten,기약 성분 (irreduzible Komponenten),Hangul-first with German control,None asserted,Working rendering,Not audited,held,,Possible collision with geometric irreducible components; no exact local hit,Does this 1925 passage mean composition factors and require a different Korean term?
noe.p27.composition_series,Kompositionsreihe,합성열,Hangul-first,None asserted,Contemporary South-Korean corpus form,Not audited,row_verified_witness,KO-P27-E03,None in checked module-theory context,None
noe.p27.finite_order,endliche Ordnung,유한 오더 (order),Hangul-first with English control,None asserted,Carried as held from Korean Paper 26,Not audited,held,,Order can collide with cardinality degree and ordering senses,What is the accepted Korean algebraic-number-theory term for finite order here?
noe.p27.macaulay_name,Macaulay,매콜리,Hangul-first,None asserted,Locally attested spelling,Not audited,candidate_after_context_check,KO-P27-E05,Attestation is in 코언-매콜리 rather than a biography,None
noe.p27.ostrowski_name,Ostrowski,오스트롭스키,Hangul-first,None asserted,Locally attested spelling,Not audited,row_verified_witness,KO-P27-E07,None,None
