"PackageNumber","PackageRoot","RootDigestSHA256","FileCount","TotalBytes","BodySignalCount","SourceSignalCount","ManifestSignalCount","LogSignalCount","ZipCount","Classification"
"149","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE149_20260704T062951_ROLLING_SNAPSHOT","DB46687BD3DB44B6B42AA1586DDFBF1850747F75D501358238A9E525A8F731CC","2","44291","2","1","0","0","0","body-or-source-bearing"
"324","interlanguage-sidecar/20260704/noether_pc_packages_324_325_20260704/noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE324_20260704T215004_ROLLING_DELTA_AFTER_PACKAGE323","76E74DB13C3A45D2A4A76E441CD245CB6B5B90A3BD52EFE011330D912A8A693D","15","675328","0","7","6","1","0","body-or-source-bearing"
"325","interlanguage-sidecar/20260704/noether_pc_packages_324_325_20260704/noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE325_20260704T215157_ROLLING_DELTA_AFTER_PACKAGE324","A71507B4FDBAD9F6B3B91FE65589026C3A4E27F69D1A7F510036997AA1EE5FA9","7","34567","0","0","4","0","0","metadata-support-only"
"326","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE326_20260704T221012_ROLLING_DELTA_AFTER_PACKAGE325","67990D076DD1E87AC3D14925079E7F525C3422EDD37A84A77BF0D34CFACBAC3F","96","2231282","0","62","21","12","0","body-or-source-bearing"
"327","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE327_20260704T221228_ROLLING_DELTA_AFTER_PACKAGE326","928AE1EEFEB759C9E33E1D6EF073BCF72E82FAC620EAF01D484003B7E69B5801","33","418268","0","17","18","4","0","body-or-source-bearing"
"328","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE328_20260704T221405_ROLLING_DELTA_AFTER_PACKAGE327","84BE4703A08A60FD30AEE27BE52F55141E194FEACDB73C771432A31B241E8144","43","1081526","0","32","13","3","0","body-or-source-bearing"
"329","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE329_20260704T221650_ROLLING_DELTA_AFTER_PACKAGE328","2C1E88F69CE4DF46BBB7B95693040E73831E05693BF3685A8AA51B3EF4D1EC63","38","400013","0","23","11","4","0","body-or-source-bearing"
"330","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE330_20260704T221924_ROLLING_DELTA_AFTER_PACKAGE329","13E6A9D9BF9209D1E48EE686F94129F15F688AD9F1E32F5FD699C4568E794D67","42","569064","0","20","13","3","0","body-or-source-bearing"
"331","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE331_20260704T222125_ROLLING_DELTA_AFTER_PACKAGE330","7C2F000C426BD492AFDA6B62AD2B5372ACFB2604BB663FDE69F98CBF4D715345","29","392350","0","17","10","2","0","body-or-source-bearing"
"332","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE332_20260704T222401_ROLLING_DELTA_AFTER_PACKAGE331","041F7270A36AF8E9B435C1A36EEDF11A260526618ECE74D1B193BDD01EDCC5F4","42","531473","0","22","13","9","0","body-or-source-bearing"
"333","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE333_20260704T222545_ROLLING_DELTA_AFTER_PACKAGE332","14C797E50462F2C8FF8CA979E7C40BF1F0BC8CFDB0FDDDFC42DD9D18B00F7183","28","362705","0","13","13","2","0","body-or-source-bearing"
"334","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE334_20260704T222716_ROLLING_DELTA_AFTER_PACKAGE333","458155A8E4D63CB01C9E8C9046198841BDDC42856B20DA39F0C47F8A285DB153","30","318958","0","22","9","2","0","body-or-source-bearing"
"335","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE335_20260704T222849_ROLLING_DELTA_AFTER_PACKAGE334","3EC5815AF4A4BA7ADE60B41A5053663DA2CC64FED01A60D8EF343D0374E6596D","30","494760","0","17","11","3","0","body-or-source-bearing"
"336","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE336_20260704T223008_ROLLING_DELTA_AFTER_PACKAGE335","1CAE963FDA25BE309CDBA7DE03795E568FAFBEEB0A21AD1E52412F22935E670C","29","567861","0","15","9","3","0","body-or-source-bearing"
"337","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE337_20260704T223134_ROLLING_DELTA_AFTER_PACKAGE336","6E59D78D118FB251EEC43FDEA6B15E5F210954A960E1A9310F8FEC7E0EB74F67","30","876039","0","18","10","1","0","body-or-source-bearing"
"338","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE338_20260704T223301_ROLLING_DELTA_AFTER_PACKAGE337","BD811789DE257625BE39D4DD20B2CDA078560733F7D62A3F74B061DFFA8062AF","23","802813","0","11","6","1","0","body-or-source-bearing"
"339","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE339_20260704T223611_ROLLING_DELTA_AFTER_PACKAGE338","E1124F1AA77224DD7D1ED4C00F0189684E2B29BD3D1A4A2F33757922ECF108D1","37","827459","0","16","8","5","0","body-or-source-bearing"
"340","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE340_20260704T223745_ROLLING_DELTA_AFTER_PACKAGE339","343EE892D96A7BD21545575E56A5BECB9FE0E6A8D2249392A10F71DF24E29BA3","19","207582","0","5","7","3","0","body-or-source-bearing"
"341","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE341_20260704T223918_ROLLING_DELTA_AFTER_PACKAGE340","D816A97B98C8567D1A9EAF4D0163D4DEC4EE73914BFC88D0EDA48055A9C72D1E","37","544329","0","22","11","4","0","body-or-source-bearing"
"342","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE342_20260704T224057_ROLLING_DELTA_AFTER_PACKAGE341","4F74C33A1F47EC9330FA169FD81D02E0F2C7A54177B6461ACADCA2CA6FA7CCFE","33","369759","0","19","12","6","0","body-or-source-bearing"
"343","noether-slavic-handoff/20260629/cross-session-coordination/20260704/NOETHER_SESSION_OUTPUT_PACKAGE343_20260704T224220_ROLLING_DELTA_AFTER_PACKAGE342","14C443E613D03613F5C6A85718E0347DA279B337466D0E949F01DE718C1A9671","39","1197245","0","28","7","1","0","body-or-source-bearing"
