stable_id,volume,authority_sha256,pdf_physical_page,printed_page,french_source_file,french_source_line,french_source_text,english_source_file,english_source_sha256,english_source_line,english_current_text,source_backed_disposition,status
EG-EGA-I-INTRO-P8-CHAP-IX-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,7,8,source/ega1/intro-fr.tex,98,"un exemple typique en sera fourni au chap.~IX, dans l'étude du groupe fondamental",<REDACTED_USER_HOME>/Documents/Papors/modern-latex-manuscripts-github/sources/ega/intro.tex,689728EC580A480A69A5B6814B8FEA283FAC8637E099FDDA640AA950C8A98109,99,"a typical example of which will be given in Chapter~XI, in the study of the fundamental group",English must read Chapter IX; canonical French remains byte-faithful to the printed source,CONFIRMED_ENGLISH_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P25-GAMMA-U-V-SRC-TYPO-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,24,25,source/ega1/ega0-1-fr.tex,1030-1032,"Si alors u:F->G ... on écrira u(s) au lieu de u_V(s) pour tout s\in\Gamma(U,F)",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA0_EGAIII_English_complete_readers_reference_v2_20260730_r1/source/ega0/ega0-3.tex,FD364A7F2E967C4B2F05745CD70F73BA9057F3DCB609CDB7061B0FB4D287A9AB,140-141,"we will write u(s) instead of u_V(s) for all [erratum II] s\in\Gamma(V,F)",Direct NUMDAM image prints U although the component is u_V; English correction to V is source-justified and canonical French retains printed U,CONFIRMED_FRENCH_SOURCE_TYPO_ENGLISH_CORRECTION_JUSTIFIED
EG-EGA-I-P27-BASE-X-VS-U-SRC-TYPO-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,26,27,source/ega1/ega0-1-fr.tex,1166-1170,"la sous-famille B' ... est encore une base de la topologie de X",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA0_EGAIII_English_complete_readers_reference_v2_20260730_r1/source/ega0/ega0-3.tex,FD364A7F2E967C4B2F05745CD70F73BA9057F3DCB609CDB7061B0FB4D287A9AB,240-248,"B' is the subfamily ... it is clear that B' is still a basis of the topology of U",Direct NUMDAM image prints X although B' consists of basis opens lying in the covering of U; English correction to U is source-justified and canonical French retains printed X,CONFIRMED_FRENCH_SOURCE_TYPO_ENGLISH_CORRECTION_JUSTIFIED
EG-EGA-I-P28-THETA-CODOMAIN-MISSING-LAMBDA-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,27,28,source/ega1/ega0-1-fr.tex,1277-1280,"theta_lambda_mu maps F_mu on the overlap isomorphically to F_lambda on the overlap",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-3.tex,4A999C21EA00458A1C3B5537F17858B6E89FF598357BFF083DC31B05FA0C3A3A,332-333,"theta_lambda_mu maps F_mu on the overlap isomorphically to F on the overlap (lambda omitted)",Direct NUMDAM image unambiguously prints F_lambda as the codomain; the English omission changes the mathematical object and requires an append-only English successor; canonical French transcribes F_lambda,CONFIRMED_ENGLISH_MATHEMATICAL_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P33-SECOND-RESTRICTION-U-V-SRC-TYPO-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,32,33,source/ega1/ega0-1-fr.tex,1819-1820,"F(X)->F(U)->F(U intersection V) and F(X)->F(U) being isomorphisms",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-3.tex,4A999C21EA00458A1C3B5537F17858B6E89FF598357BFF083DC31B05FA0C3A3A,740-742,"F(X)->F(U)->F(U intersection V) and F(X)->F(U) being isomorphisms",Direct NUMDAM confirms the repeated second map to F(U); the following comparison requires the second restriction from F(X) to F(V), so canonical French retains printed U while an append-only English successor should transparently correct the second target to V,CONFIRMED_FRENCH_SOURCE_TYPO_ENGLISH_CORRECTION_PENDING
EG-EGA-I-P34-GPRIME-LOCAL-SECTION-PSI-Z-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,33,34,source/ega1/ega0-1-fr.tex,1858,"s'_z=s_{psi(z)} pour tout z in W",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-3.tex,4A999C21EA00458A1C3B5537F17858B6E89FF598357BFF083DC31B05FA0C3A3A,775,"s'_z=s_{psi(x)} for all z in W",Direct NUMDAM unambiguously varies the representative with z; the English psi(x) changes the family and must be restored to psi(z) in an append-only English successor,CONFIRMED_ENGLISH_MATHEMATICAL_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P34-USHARP-LOCAL-SECTION-PSI-Z-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,33,34,source/ega1/ega0-1-fr.tex,1867,"s'_z=s_{psi(z)} pour z dans un voisinage de x",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-3.tex,4A999C21EA00458A1C3B5537F17858B6E89FF598357BFF083DC31B05FA0C3A3A,783,"s'_z=s_{psi(x)} for z in a neighbourhood of x",Direct NUMDAM again varies the local representative with z; the English psi(x) is source-inexact and must be restored to psi(z) in an append-only English successor,CONFIRMED_ENGLISH_MATHEMATICAL_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P34-W-PRESHEAVES-VS-SHEAVES-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,33,34,source/ega1/ega0-1-fr.tex,1882-1883,"w:G_1->G_2 est un homomorphisme de prefaisceaux d'ensembles sur Y",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-3.tex,4A999C21EA00458A1C3B5537F17858B6E89FF598357BFF083DC31B05FA0C3A3A,796-797,"w:G_1->G_2 is a homomorphism of sheaves of sets on Y",Direct NUMDAM says presheaves; the English narrowing to sheaves is not source-faithful and must read presheaves in an append-only English successor,CONFIRMED_ENGLISH_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P36-THETA-GF-VS-BA-SRC-TYPO-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,35,36,source/ega1/ega0-1-fr.tex,2023-2026,"pour (X,A)->(Y,B), un psi-morphisme theta:G->F de faisceaux d'anneaux",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-4.tex,598BFADD2F888BA48703D8F7182D5D266A54894114CCCF99E57D19E8D572CC23,27-30,"for (X,A)->(Y,B), a psi-morphism theta:B->A of sheaves of rings",Direct NUMDAM literally prints G->F despite the newly named structure sheaves A and B; the morphism data require B->A, so the inherited English erratum is source-justified while canonical French retains printed G->F,CONFIRMED_FRENCH_SOURCE_TYPO_ENGLISH_CORRECTION_JUSTIFIED
EG-EGA-I-P37-SHHOM-F-F-VS-F-G-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,36,37,source/ega1/ega0-1-fr.tex,2168-2172,"les bifoncteurs F tensor_A G, sheaf-Hom_A(F,G) et Hom_A(F,G)",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-4.tex,598BFADD2F888BA48703D8F7182D5D266A54894114CCCF99E57D19E8D572CC23,140-143,"the bifunctors F tensor_A G, sheaf-Hom_A(F,F), and Hom_A(F,G)",Direct NUMDAM unambiguously prints sheaf-Hom_A(F,G); the English repeated F changes the bifunctor and requires G in a no-overwrite successor,CONFIRMED_ENGLISH_MATHEMATICAL_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P38-FINITE-DIRECT-SUMS-VS-LIMITS-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,37,38,source/ega1/ega0-1-fr.tex,2189-2192,"commutent aux sommes directes finies",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-4.tex,598BFADD2F888BA48703D8F7182D5D266A54894114CCCF99E57D19E8D572CC23,150-152,"commute with finite direct limits",The printed French says finite direct sums; direct limits is not a faithful translation and must read finite direct sums in a no-overwrite successor,CONFIRMED_ENGLISH_MATHEMATICAL_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
