crop_file,pdf_page,printed_page,dpi,purpose,bytes,sha256
qa/ega1_chapter0_authority_5000dpi_details/p13-relation-equivalence.png,12,13,5000,"1.2.2 equivalence relation",174534,25DA848FA5C0B5A44B91C064B5C762E05CE5359BE296EC68B2ABAC06FA30C593
qa/ega1_chapter0_authority_5000dpi_details/p13-addition-law.png,12,13,5000,"1.2.2 addition law",236348,1EE06792D7985C4FDAF499A4763E4A26E9FA3926B0E3CA04F195AF274A4D442B
qa/ega1_chapter0_authority_5000dpi_details/p13-universal-factorization-u.png,12,13,5000,"1.2.4 universal factorization for u",140992,32351C926997E448C5FA52F3B01E7502ED6D22447824B7E257EF7A6B454F5AA1
qa/ega1_chapter0_authority_5000dpi_details/p14-universal-factorization-v.png,13,14,5000,"1.2.4 universal factorization for v",183139,D9C97A0F3696BF2C98D9DD43AC25B884928354D249F547DA4D1FF985CBCFC46B
qa/ega1_chapter0_authority_5000dpi_details/p14-125-tensor-isomorphism.png,13,14,5000,"1.2.5 tensor isomorphism",321203,B225E2F4695A10572C483A6D7F09B10F0AC1CBA13E4329F624D5D7A6553E6A11
qa/ega1_chapter0_authority_5000dpi_details/p14-126-ideal-map-a.png,13,14,5000,"1.2.6 ideal inverse-image notation",298172,9A6DCD10D0863005368A74BB73FC347A0CA435611F6FAA1FC611514DC0B450BA
qa/ega1_chapter0_authority_5000dpi_details/p14-126-prime-localization.png,13,14,5000,"1.2.6 prime localization and empty intersection",304255,29DDCB139ED87090244B0DD2CB4C30DBB6DBADE6D12BACFC8DFB53DC48087AA7
qa/ega1_chapter0_authority_5000dpi_details/p14-132-exact-sequence-a.png,13,14,5000,"1.3.2 source exact sequence",207542,8D1958F2868580E080410F9477859E9CE60C58DA98DC6DAD45F7A7C2EC8B275B
qa/ega1_chapter0_authority_5000dpi_details/p14-132-exact-sequence-b.png,13,14,5000,"1.3.2 localized exact sequence",205243,18B7F90403DC5BE0B58F93BFEF4953B74E7D7497A7693717B3B68AC104049E24
qa/ega1_chapter0_authority_5000dpi_details/p15-132-sum-intersection.png,14,15,5000,"1.3.2 sum and intersection identities",220778,F3BD4DFC5941210079CA45F1A0C2530470C02A22FA5232BFA4E00E093C969FA0
qa/ega1_chapter0_authority_5000dpi_details/p15-133-direct-limit.png,14,15,5000,"1.3.3 direct-limit isomorphism",231750,4CDE037E420D751768118651B363ACC5FB913EA6645B5089829B13692AB4DBF5
qa/ega1_chapter0_authority_5000dpi_details/p15-134-tensor-isomorphism.png,14,15,5000,"1.3.4 localized tensor isomorphism",353283,89E4138BC2DB8932BB88ABCDCF5F466B83F2EA54DCA196184335E1CFAD688E90
qa/ega1_chapter0_authority_5000dpi_details/p15-135-hom-isomorphism.png,14,15,5000,"1.3.5 localized Hom morphism",312134,71A2C16C368361A669C48E858F17D71E3B7C883D82A13541663508862498EAB4
