"queue_id","category","volume","authority_locator","authority_sha256","english_source_locator","claimed_authority_reading","current_english_claim","evidence_locator","evidence_sha256","stable_id","status"
"EGA0-SR-001","SUBSTANTIVE_SOURCE_READING","EGA_0_IV","0_IV-1 printed p.67","DF11AFC6B6318FC491032B1239CD4AF9CBC2A7C73219DCC49BF65E5EE6C13140","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-18.tex:773","Printed locator (18.3.9)","English visibly redirects to (18.3.8)","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-18.tex","9A7190BD80D381C21A2B8D749165F5F834992F4C0089A01DBA1D50F9DAFAF3E6","","PENDING_DIRECT_NUMDAM_RECHECK"
"EGA0-SR-002","SUBSTANTIVE_SOURCE_READING","EGA_0_IV","0_IV-1 printed p.146","DF11AFC6B6318FC491032B1239CD4AF9CBC2A7C73219DCC49BF65E5EE6C13140","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-20.tex:1680","Printed locator (18.3.4.2)","English visibly redirects to (18.3.6.4) and (18.3.6.2)","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-20.tex","02E346B9DFAC83D691F799152222B69FBC6FEE37467C636BC4715B6D30A01DC9","","PENDING_DIRECT_NUMDAM_RECHECK"
"EGA0-SR-003","SUBSTANTIVE_SOURCE_READING","EGA_0_IV","0_IV-1 printed p.171","DF11AFC6B6318FC491032B1239CD4AF9CBC2A7C73219DCC49BF65E5EE6C13140","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-21.tex:918","Printed locator (20.6.3.2)","English visibly redirects to (20.6.5.2)","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-21.tex","6BEFA8BCEB1B1254A276BC92AA768A351C8490EBA2AEB226118669431FDF8D4F","","PENDING_DIRECT_NUMDAM_RECHECK"
"EGA0-SR-004","SUBSTANTIVE_SOURCE_READING","EGA_0_IV","0_IV-1 printed p.177","DF11AFC6B6318FC491032B1239CD4AF9CBC2A7C73219DCC49BF65E5EE6C13140","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-21.tex:1181","Printed locator (20.14.4)","English visibly redirects to (20.7.14.4)","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-21.tex","6BEFA8BCEB1B1254A276BC92AA768A351C8490EBA2AEB226118669431FDF8D4F","","PENDING_DIRECT_NUMDAM_RECHECK"
"EGA0-SR-005","SUBSTANTIVE_SOURCE_READING","EGA_0_IV","0_IV-1 printed p.217","DF11AFC6B6318FC491032B1239CD4AF9CBC2A7C73219DCC49BF65E5EE6C13140","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-23.tex:185","Printed locator (23.1.8.1)","English visibly redirects to (23.2.3.1)","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-23.tex","F24571ADF74949A9DF10E848BEAAD1D77B51317DB073A47C1C69F8356606336A","","PENDING_DIRECT_NUMDAM_RECHECK"
"EGA1-SR-001","SUBSTANTIVE_SOURCE_READING","EGA_I","printed p.93 / PDF physical 92","9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega1/ega1-1.tex:804","Visible French corollary number recorded as 1.5.3","English uses Corollary 1.5.2 in the coherent-sheaf-of-rings passage","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/ega1_english_source_aligned_successor_20260730_r1/qa/source_authority_5000dpi/p092_152_5000.png","69E6301F48D75D7C80A9719AB0B088E570A1813F0E76E46CDF238BCE20F7351C","","PENDING_DIRECT_NUMDAM_RECHECK"
"EGA1-SR-002","SUBSTANTIVE_SOURCE_READING","EGA_I","printed p.96 / PDF physical 95","9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega1/ega1-1.tex:982","French heading (2.6.9)","English heading 1.6.9","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/ega1_english_source_aligned_successor_20260730_r1/qa/source_authority_5000dpi/authority_physical095_printed096_envs169_1610_5000dpi.png","E83684AE23D24754E92649343675D52A72E324F6ECD654DC85E7F5B3A081BE98","","PENDING_DIRECT_NUMDAM_RECHECK"
"EGA1-SR-003","SUBSTANTIVE_SOURCE_READING","EGA_I","printed p.96 / PDF physical 95","9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega1/ega1-1.tex:992","French heading (s.6.10)","English heading 1.6.10","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/ega1_english_source_aligned_successor_20260730_r1/qa/source_authority_5000dpi/authority_physical095_printed096_env1610_5000dpi.png","65C719B3AFEA34F14DF55662A66DD6CE3B8E8E1888DB259BB6EE840C52D1A3C2","","PENDING_DIRECT_NUMDAM_RECHECK"
"EGA1-SR-004","SUBSTANTIVE_SOURCE_READING","EGA_I","EGA II witness printed p.219 / PDF physical 216 for EGA I item","111834EFFFE9E90D068389D418F08925A82B4A54AE2957F080712D4180E032EB","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega1/ega1-1.tex:1154","Printed X to Spec(A)","English uses Y to Spec(A)","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/ega1_english_source_aligned_successor_20260730_r1/qa/source_authority_5000dpi/ega2_authority_physical216_printed219_cor183_proof_vectorcrop_mutool_5000dpi.png","9412DDA2E2DB295F0C33417249272F274077CAD370E037971D856F30C4411146","","PENDING_DIRECT_NUMDAM_RECHECK"
"EGA1-SR-005","SUBSTANTIVE_SOURCE_READING","EGA_I","EGA II witness printed p.221 for EGA I item","111834EFFFE9E90D068389D418F08925A82B4A54AE2957F080712D4180E032EB","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_PUBLICATION_STAGING>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega1/ega1-1.tex:1256","French reference 1.8.8.1","English uses 1.8.9.1","<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/ega1_english_source_aligned_successor_20260730_r1/SOURCE_ALIGNMENT_LOG.md","8F52B76B68747ED10483BE0A9B30DDBEDEC7C7E21BEF30B7AAFB518A04C736B4","","PENDING_DIRECT_NUMDAM_RECHECK"
